# lat,lng,id,name,building_type,type,url,page_type
# Montechiarugolo -- Tutti
44.733291,10.401499,ov_ospedale_maria_luigia_psichiatria_e_riab_44.7333_10.4015,Ospedale Maria Luigia Psichiatria e Riabilitazione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ospedale_maria_luigia_psichiatria_e_riab_44.7333_10.4015.json,custom
44.693493,10.422835,ov_ristorante_al_castello_di_montechiarugol_44.6935_10.4228,Ristorante al castello di Montechiarugolo di Candita Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_al_castello_di_montechiarugol_44.6935_10.4228.json,custom
44.694820,10.421714,ov_ristorante_pantarei_44.6948_10.4217,Ristorante PantaRei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_pantarei_44.6948_10.4217.json,custom
44.679660,10.412684,ov_ristorante_campanini_44.6797_10.4127,Ristorante Campanini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_campanini_44.6797_10.4127.json,custom
44.680355,10.411994,ov_osteria_pecora_nera_44.6804_10.4120,Osteria Pecora Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/osteria_pecora_nera_44.6804_10.4120.json,custom
44.678610,10.357563,ov_trattoria_casale_mariposa_44.6786_10.3576,Trattoria Casale Mariposa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/trattoria_casale_mariposa_44.6786_10.3576.json,custom
44.696634,10.422040,osm_il_baccanale_osteria_pizzeria_44.6966_10.4220,Il Baccanale Osteria Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/il_baccanale_osteria_pizzeria_44.6966_10.4220.json,custom
44.693118,10.422453,osm_ristorante_al_castello_44.6931_10.4225,Ristorante al Castello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ristorante_al_castello_44.6931_10.4225.json,custom
44.698084,10.424519,osm_la_fratta_44.6981_10.4245,La Fratta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/la_fratta_44.6981_10.4245.json,custom
44.694164,10.362529,osm_mulino_di_casa_sforza_44.6942_10.3625,Mulino Di Casa Sforza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/mulino_di_casa_sforza_44.6942_10.3625.json,custom
44.694838,10.421577,osm_pantarei_bar_spaghetteria_44.6948_10.4216,Pantarei Bar Spaghetteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/pantarei_bar_spaghetteria_44.6948_10.4216.json,custom
44.724865,10.397748,ov_carapils_44.7249_10.3977,CaraPils,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/carapils_44.7249_10.3977.json,custom
44.729393,10.397405,ov_bar_le_rose_44.7294_10.3974,Bar Le Rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/bar_le_rose_44.7294_10.3974.json,custom
44.727269,10.393358,ov_bar_angela_44.7273_10.3934,Bar Angela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/bar_angela_44.7273_10.3934.json,custom
44.727432,10.394110,ov_bar_gran_caffe_europa_44.7274_10.3941,Bar Gran Caffe Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/bar_gran_caffe_europa_44.7274_10.3941.json,custom
44.706412,10.405350,ov_cafeteria_la_villa_giovanna_44.7064_10.4054,Cafeteria La Villa Giovanna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/cafeteria_la_villa_giovanna_44.7064_10.4054.json,custom
44.696555,10.353430,ov_cherry_bar_44.6966_10.3534,Cherry Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/cherry_bar_44.6966_10.3534.json,custom
44.693906,10.354023,ov_arca_di_no__birreria_44.6939_10.3540,Arca di Noè Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/arca_di_no_birreria_44.6939_10.3540.json,custom
44.696289,10.353574,ov_cafe_story_44.6963_10.3536,Cafe Story,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/cafe_story_44.6963_10.3536.json,custom
44.698306,10.424932,ov_piscina_beach_la_fratta_44.6983_10.4249,Piscina Beach La Fratta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/piscina_beach_la_fratta_44.6983_10.4249.json,custom
44.688909,10.418324,ov_armeno_caff__44.6889_10.4183,Armeno Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/armeno_caff_44.6889_10.4183.json,custom
44.764885,10.592998,ov_bonaccini_bevande_44.7649_10.5930,Bonaccini Bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/bonaccini_bevande_44.7649_10.5930.json,custom
44.680315,10.410362,osm_circolo_arci_tortiano___la_ricreativa_44.6803_10.4104,Circolo Arci Tortiano - La Ricreativa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/circolo_arci_tortiano_-_la_ricreativa_44.6803_10.4104.json,custom
44.679357,10.411083,osm_bar_cars_and_coffee_44.6794_10.4111,Bar Cars And Coffee,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/bar_cars_and_coffee_44.6794_10.4111.json,custom
44.696908,10.353457,osm_maria_luigia_44.6969_10.3535,Maria Luigia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/maria_luigia_44.6969_10.3535.json,custom
44.702272,10.352172,ov_asd_showtime_44.7023_10.3522,ASD Showtime,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/asd_showtime_44.7023_10.3522.json,custom
44.697128,10.427011,ov_ippodromo_del_castello_44.6971_10.4270,Ippodromo del Castello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/ippodromo_del_castello_44.6971_10.4270.json,custom
44.716611,10.383639,ov_castello_di_monticelli_44.7166_10.3836,Castello di Monticelli,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/castello_di_monticelli_44.7166_10.3836.json,custom
44.692914,10.423337,ov_castello_di_montechiarugolo_44.6929_10.4233,Castello di Montechiarugolo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/castello_di_montechiarugolo_44.6929_10.4233.json,custom
44.693248,10.422665,osm_montechiarugolo_44.6932_10.4227,Montechiarugolo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/montechiarugolo_44.6932_10.4227.json,custom
44.728039,10.397642,ov_biblioteca_comunale_44.7280_10.3976,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/biblioteca_comunale_44.7280_10.3976.json,custom
44.697440,10.351040,ov_centro_le_ghiare___ludoteca_e_biblioteca_44.6974_10.3510,Centro Le Ghiare - Ludoteca e Biblioteca ragazzi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montechiarugolo/pages/centro_le_ghiare_-_ludoteca_e_biblioteca_44.6974_10.3510.json,custom
