# lat,lng,id,name,building_type,type,url,page_type
# Montalto Uffugo -- Tutti
39.432432,16.231267,ov_montalto_soccorso_39.4324_16.2313,Montalto Soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/montalto_soccorso_39.4324_16.2313.json,custom
39.382035,16.225242,ov_acqua_pazza_pesce_e_pizza_contemporanea_39.3820_16.2252,Acqua Pazza pesce e pizza contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/acqua_pazza_pesce_e_pizza_contemporanea_39.3820_16.2252.json,custom
39.384240,16.231957,ov_la_fenice_ristorante_2003_39.3842_16.2320,La Fenice ristorante 2003,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_fenice_ristorante_2003_39.3842_16.2320.json,custom
39.383460,16.232730,ov_pizzeria_rosticceria_tavola_calda_i_due__39.3835_16.2327,Pizzeria Rosticceria Tavola Calda I Due Monelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pizzeria_rosticceria_tavola_calda_i_due__39.3835_16.2327.json,custom
39.388748,16.236754,ov_la_ciambotta_39.3887_16.2368,La Ciambotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_ciambotta_39.3887_16.2368.json,custom
39.388892,16.237120,ov_settimo_caff__39.3889_16.2371,Settimo Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/settimo_caff_39.3889_16.2371.json,custom
39.390892,16.236586,ov_ristopasto_39.3909_16.2366,Ristopasto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ristopasto_39.3909_16.2366.json,custom
39.389877,16.237303,ov_fish___wine_39.3899_16.2373,Fish & Wine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/fish_wine_39.3899_16.2373.json,custom
39.391198,16.237984,ov_ristorante_elefante_rosso_39.3912_16.2380,Ristorante Elefante Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ristorante_elefante_rosso_39.3912_16.2380.json,custom
39.402020,16.261905,ov_melograno_restaurant_39.4020_16.2619,Melograno Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/melograno_restaurant_39.4020_16.2619.json,custom
39.417575,16.250309,ov_agriturismo_locanda_dei_cocomeri_39.4176_16.2503,Agriturismo Locanda Dei Cocomeri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/agriturismo_locanda_dei_cocomeri_39.4176_16.2503.json,custom
39.423748,16.245041,ov_taverna_di_montalto_uffugo__cosenza_39.4237_16.2450,"Taverna di Montalto Uffugo, Cosenza",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/taverna_di_montalto_uffugo_cosenza_39.4237_16.2450.json,custom
39.418511,16.233190,ov_villa_santa_caterina_39.4185_16.2332,Villa Santa Caterina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/villa_santa_caterina_39.4185_16.2332.json,custom
39.410228,16.238567,ov_ristorante_il_rombo_39.4102_16.2386,Ristorante il Rombo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ristorante_il_rombo_39.4102_16.2386.json,custom
39.411393,16.238824,ov_pizzeria_l_arcobaleno_39.4114_16.2388,Pizzeria L'Arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pizzeria_larcobaleno_39.4114_16.2388.json,custom
39.410419,16.243484,ov_ricevimenti_les_amis_39.4104_16.2435,Ricevimenti Les Amis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ricevimenti_les_amis_39.4104_16.2435.json,custom
39.412000,16.254240,ov_orto_biologico_coretto_km_0_39.4120_16.2542,Orto Biologico Coretto km 0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/orto_biologico_coretto_km_0_39.4120_16.2542.json,custom
39.408026,16.252796,ov_baccus_catering_39.4080_16.2528,Baccus Catering,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/baccus_catering_39.4080_16.2528.json,custom
39.408879,16.253169,ov_caffetteria_daily_break_39.4089_16.2532,Caffetteria Daily Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/caffetteria_daily_break_39.4089_16.2532.json,custom
39.394711,16.238514,ov_il_cedro_39.3947_16.2385,Il Cedro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_cedro_39.3947_16.2385.json,custom
39.402169,16.238402,ov_pepe_pescheria_schiavonea_39.4022_16.2384,Pepe Pescheria Schiavonea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pepe_pescheria_schiavonea_39.4022_16.2384.json,custom
39.403460,16.238830,ov_la_corte_dei_vip_39.4035_16.2388,La corte dei vip,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_corte_dei_vip_39.4035_16.2388.json,custom
39.406621,16.238999,ov_griglieria_i_sapori_di_un_tempo_39.4066_16.2390,Griglieria I Sapori di un Tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/griglieria_i_sapori_di_un_tempo_39.4066_16.2390.json,custom
39.406230,16.239770,ov_agriturismo_santa_rita_39.4062_16.2398,Agriturismo Santa Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/agriturismo_santa_rita_39.4062_16.2398.json,custom
39.405811,16.239723,ov_todis_39.4058_16.2397,Todis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/todis_39.4058_16.2397.json,custom
39.408792,16.239029,ov_damario_pizzeria_39.4088_16.2390,DaMario_pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/damariopizzeria_39.4088_16.2390.json,custom
39.428036,16.203533,ov_garritano_1908_39.4280_16.2035,Garritano 1908,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/garritano_1908_39.4280_16.2035.json,custom
39.430568,16.215303,ov_blue_palace_39.4306_16.2153,Blue Palace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/blue_palace_39.4306_16.2153.json,custom
39.431240,16.206460,ov_cuore_italiano_promotion_srl_39.4312_16.2065,cuore italiano promotion srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/cuore_italiano_promotion_srl_39.4312_16.2065.json,custom
39.433260,16.228352,ov_pizzeria_da_gino_39.4333_16.2284,Pizzeria DA GINO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pizzeria_da_gino_39.4333_16.2284.json,custom
39.432301,16.230220,ov_giancaleone_39.4323_16.2302,Giancaleone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/giancaleone_39.4323_16.2302.json,custom
39.432920,16.228914,ov_il_pizzaiolo_matto_by_ciotone_39.4329_16.2289,Il Pizzaiolo Matto By Ciotone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_pizzaiolo_matto_by_ciotone_39.4329_16.2289.json,custom
39.432237,16.227335,ov_flamengo___ristorante_39.4322_16.2273,Flamengo - Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/flamengo_-_ristorante_39.4322_16.2273.json,custom
39.430492,16.229715,ov_la_ruota_39.4305_16.2297,La Ruota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/la_ruota_39.4305_16.2297.json,custom
39.430440,16.229963,ov_blue_palace_di_vincenzo_pastina_39.4304_16.2300,Blue Palace di Vincenzo Pastina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/blue_palace_di_vincenzo_pastina_39.4304_16.2300.json,custom
39.430440,16.229963,ov_blue_palace_ristorante_pizzeria_sala_ric_39.4304_16.2300,Blue Palace Ristorante Pizzeria Sala Ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/blue_palace_ristorante_pizzeria_sala_ric_39.4304_16.2300.json,custom
39.432200,16.226530,ov_ristorante_pizzeria_al_borgo_39.4322_16.2265,Ristorante Pizzeria Al Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ristorante_pizzeria_al_borgo_39.4322_16.2265.json,custom
39.430290,16.217190,ov_ghula___gourmet_burger___lounge_bar_39.4303_16.2172,Ghula - Gourmet Burger & Lounge Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ghula_-_gourmet_burger_lounge_bar_39.4303_16.2172.json,custom
39.427692,16.236780,ov_trattoria_canovaccio_39.4277_16.2368,Trattoria Canovaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/trattoria_canovaccio_39.4277_16.2368.json,custom
39.428983,16.234129,ov_moriremo__ma_non_di_fame__39.4290_16.2341,"Moriremo, ma non di fame.",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/moriremo_ma_non_di_fame_39.4290_16.2341.json,custom
39.429982,16.233784,ov_mister_pizza_take_away_39.4300_16.2338,Mister Pizza Take Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/mister_pizza_take_away_39.4300_16.2338.json,custom
39.430531,16.232966,ov_taverna_di_montalto_uffugo_39.4305_16.2330,Taverna di Montalto Uffugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/taverna_di_montalto_uffugo_39.4305_16.2330.json,custom
39.430890,16.231540,ov_lavanderia_terr__39.4309_16.2315,Lavanderia Terrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/lavanderia_terr_39.4309_16.2315.json,custom
39.433135,16.233610,ov_crispizza_39.4331_16.2336,Crispizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/crispizza_39.4331_16.2336.json,custom
39.433390,16.230680,ov_il_buongustaio_39.4334_16.2307,Il Buongustaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/il_buongustaio_39.4334_16.2307.json,custom
39.431380,16.192810,ov________________________39.4314_16.1928,𝐂𝐚𝐟𝐟𝐞̀ 𝐃𝐨𝐝𝐚𝐫𝐨 𝐝𝐚𝐥 𝟏𝟗𝟓𝟑,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/__39.4314_16.1928.json,custom
39.407568,16.157339,ov_deejay_bar_39.4076_16.1573,Deejay BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/deejay_bar_39.4076_16.1573.json,custom
39.407210,16.157197,ov_scalino_cafe_39.4072_16.1572,Scalino Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/scalino_cafe_39.4072_16.1572.json,custom
39.405550,16.156600,ov_bar_giochiamo_39.4055_16.1566,Bar GiochiAmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_giochiamo_39.4055_16.1566.json,custom
39.382580,16.131190,ov_jamaica_caf__39.3826_16.1312,Jamaica Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/jamaica_caf_39.3826_16.1312.json,custom
39.410770,16.136140,ov_bar_u_caf__39.4108_16.1361,Bar u cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_u_caf_39.4108_16.1361.json,custom
39.420400,16.160830,ov_birrificio_artigianale_aufugum_39.4204_16.1608,Birrificio Artigianale Aufugum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/birrificio_artigianale_aufugum_39.4204_16.1608.json,custom
39.382691,16.230064,ov_barfe_coffee_and_lounge_bar_39.3827_16.2301,Barfe Coffee and Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/barfe_coffee_and_lounge_bar_39.3827_16.2301.json,custom
39.390120,16.237090,ov_little_havana_39.3901_16.2371,Little Havana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/little_havana_39.3901_16.2371.json,custom
39.389754,16.237305,ov_caff__trieste_39.3898_16.2373,Caffè Trieste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/caff_trieste_39.3898_16.2373.json,custom
39.390429,16.237944,ov_bar_delizie_39.3904_16.2379,Bar Delizie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_delizie_39.3904_16.2379.json,custom
39.403074,16.261774,ov_glamour_cafe__39.4031_16.2618,Glamour Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/glamour_cafe_39.4031_16.2618.json,custom
39.410846,16.238504,ov_bar_annaro_39.4108_16.2385,Bar Annaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_annaro_39.4108_16.2385.json,custom
39.407786,16.249267,ov_secaff__srl_39.4078_16.2493,Secaffè Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/secaff_srl_39.4078_16.2493.json,custom
39.394052,16.237750,ov_nox_caf__39.3941_16.2378,Nox Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/nox_caf_39.3941_16.2378.json,custom
39.394845,16.238197,ov_santiago_caf__39.3948_16.2382,Santiago café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/santiago_caf_39.3948_16.2382.json,custom
39.396431,16.238391,ov_bar_gambilongo_39.3964_16.2384,Bar Gambilongo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_gambilongo_39.3964_16.2384.json,custom
39.405049,16.239656,ov_officine_caffe_39.4050_16.2397,Officine Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/officine_caffe_39.4050_16.2397.json,custom
39.431690,16.213720,ov_ginkgo_bar_18_11_39.4317_16.2137,Ginkgo Bar 18.11,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/ginkgo_bar_1811_39.4317_16.2137.json,custom
39.432943,16.228692,ov_snai_39.4329_16.2287,SNAI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/snai_39.4329_16.2287.json,custom
39.430576,16.230340,ov_smoking_cafe_39.4306_16.2303,Smoking Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/smoking_cafe_39.4306_16.2303.json,custom
39.429670,16.224732,ov_exotic_39.4297_16.2247,Exotic,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/exotic_39.4297_16.2247.json,custom
39.430687,16.220061,ov_enercaffeonecoffee_39.4307_16.2201,EnercaffeoneCoffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/enercaffeonecoffee_39.4307_16.2201.json,custom
39.430290,16.217150,ov_red_wine_bar_39.4303_16.2171,Red Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/red_wine_bar_39.4303_16.2171.json,custom
39.429666,16.221003,ov_boutique_del_dolce_39.4297_16.2210,Boutique del Dolce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/boutique_del_dolce_39.4297_16.2210.json,custom
39.428133,16.236321,ov_vaniglia_cafe_39.4281_16.2363,Vaniglia Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/vaniglia_cafe_39.4281_16.2363.json,custom
39.430885,16.231195,ov_caffe_rouge_39.4309_16.2312,Caffe Rouge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/caffe_rouge_39.4309_16.2312.json,custom
39.430739,16.230668,ov_i_coffee___cake_house_39.4307_16.2307,I Coffee & Cake House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/i_coffee_cake_house_39.4307_16.2307.json,custom
39.426658,16.238333,ov_royal_ceres_pub_39.4267_16.2383,Royal Ceres Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/royal_ceres_pub_39.4267_16.2383.json,custom
39.425450,16.240210,ov_bar_del_parco_39.4254_16.2402,BAR del PARCO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/bar_del_parco_39.4254_16.2402.json,custom
39.434734,16.233081,ov_framboise_39.4347_16.2331,Framboise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/framboise_39.4347_16.2331.json,custom
39.410186,16.159549,ov_a_s_d_felicia_dance_studio_39.4102_16.1595,A.S.D Felicia Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/asd_felicia_dance_studio_39.4102_16.1595.json,custom
39.409284,16.156638,ov_centro_danza_giselle_39.4093_16.1566,Centro Danza Giselle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/centro_danza_giselle_39.4093_16.1566.json,custom
39.402240,16.154590,ov_centro_danza_giselle_39.4022_16.1546,Centro danza Giselle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/centro_danza_giselle_39.4022_16.1546.json,custom
39.393030,16.162870,ov_cardinali_poligono_39.3930_16.1629,Cardinali Poligono,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/cardinali_poligono_39.3930_16.1629.json,custom
39.357223,16.176424,ov_lux_montalto_scalo_39.3572_16.1764,Lux Montalto Scalo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/lux_montalto_scalo_39.3572_16.1764.json,custom
39.381291,16.234048,ov_pavaro_fe_39.3813_16.2340,Pavaro FE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/pavaro_fe_39.3813_16.2340.json,custom
39.390171,16.237372,ov_mida_club_palestra_39.3902_16.2374,Mida Club Palestra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/mida_club_palestra_39.3902_16.2374.json,custom
39.391542,16.243925,ov_palestra_millennium_39.3915_16.2439,Palestra Millennium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/palestra_millennium_39.3915_16.2439.json,custom
39.407120,16.246537,ov_motus_asd_fitness_center_39.4071_16.2465,Motus ASD Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/motus_asd_fitness_center_39.4071_16.2465.json,custom
39.404869,16.248159,ov_sant_antonello_39.4049_16.2482,Sant'Antonello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/santantonello_39.4049_16.2482.json,custom
39.394621,16.243688,ov_elite_fitness_montalto_39.3946_16.2437,Elite Fitness Montalto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/montalto_uffugo/pages/elite_fitness_montalto_39.3946_16.2437.json,custom
