# lat,lng,id,name,building_type,type,url,page_type
# camogli -- Tutti
44.350687,9.160704,ov_istituto_cardiovascolare_camogli_casa_di_44.3507_9.1607,Istituto Cardiovascolare Camogli Casa di Cura Privata (con A,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/istituto_cardiovascolare_camogli_casa_di_44.3507_9.1607.json,custom
44.346739,9.157107,ov_pizzeria_trattoria_del_duca_44.3467_9.1571,Pizzeria Trattoria Del Duca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/pizzeria_trattoria_del_duca_44.3467_9.1571.json,custom
44.343948,9.170770,ov_ruta_bistrot_44.3439_9.1708,Ruta Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ruta_bistrot_44.3439_9.1708.json,custom
44.343915,9.170779,ov_bar_trattoria_da_egidio_44.3439_9.1708,Bar Trattoria da egidio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bar_trattoria_da_egidio_44.3439_9.1708.json,custom
44.339312,9.172484,ov_terra_mantra_he_restaurant_44.3393_9.1725,Terra Mantra HE Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/terra_mantra_he_restaurant_44.3393_9.1725.json,custom
44.335988,9.159263,ov_tucca_e_leva_44.3360_9.1593,Tucca e Leva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/tucca_e_leva_44.3360_9.1593.json,custom
44.335544,9.159959,ov_la_cucina_di_nonna_nina_44.3355_9.1600,La Cucina di Nonna Nina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_cucina_di_nonna_nina_44.3355_9.1600.json,custom
44.325658,9.150439,ov_trattoria_da_spadin_44.3257_9.1504,Trattoria da Spadin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/trattoria_da_spadin_44.3257_9.1504.json,custom
44.316095,9.174753,ov_da_giovanni_ristorante_44.3161_9.1748,Da Giovanni Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/da_giovanni_ristorante_44.3161_9.1748.json,custom
44.316119,9.175264,ov_da_giorgio_44.3161_9.1753,Da Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/da_giorgio_44.3161_9.1753.json,custom
44.316208,9.174887,ov_la_marina_44.3162_9.1749,La Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_marina_44.3162_9.1749.json,custom
44.316339,9.174981,ov_da_laura_44.3163_9.1750,Da Laura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/da_laura_44.3163_9.1750.json,custom
44.315974,9.176427,ov_la_cantina_44.3160_9.1764,La Cantina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_cantina_44.3160_9.1764.json,custom
44.315966,9.175093,ov_ristorantedagiovanni_san_fruttuoso_44.3160_9.1751,RistorantedaGiovanni San Fruttuoso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ristorantedagiovanni_san_fruttuoso_44.3160_9.1751.json,custom
44.348492,9.154892,osm_ostaia_da___sig__44.3485_9.1549,Ostaia da ö Sigù,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/ostaia_da_sig_44.3485_9.1549.json,custom
44.336332,9.158166,ov_dai_muagetti_44.3363_9.1582,dai Muagetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/dai_muagetti_44.3363_9.1582.json,custom
44.345649,9.158269,ov_bocciofila_di_camogli_44.3456_9.1583,Bocciofila di Camogli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bocciofila_di_camogli_44.3456_9.1583.json,custom
44.349398,9.154337,ov_wine_bar_44.3494_9.1543,Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/wine_bar_44.3494_9.1543.json,custom
44.349636,9.154044,ov_pateka___camogli_44.3496_9.1540,Pateka - Camogli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/pateka_-_camogli_44.3496_9.1540.json,custom
44.350610,9.152182,ov_la_cage_aux_folles_pub_44.3506_9.1522,La Cage Aux Folles Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_cage_aux_folles_pub_44.3506_9.1522.json,custom
44.350744,9.153027,ov_dragun_pub_44.3507_9.1530,Dragun Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/dragun_pub_44.3507_9.1530.json,custom
44.350873,9.152951,ov_the_living_room_44.3509_9.1530,The Living Room,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/the_living_room_44.3509_9.1530.json,custom
44.350919,9.151995,ov_fatamorgana_44.3509_9.1520,Fatamorgana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/fatamorgana_44.3509_9.1520.json,custom
44.350888,9.152105,ov_hook_44.3509_9.1521,Hook,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/hook_44.3509_9.1521.json,custom
44.351012,9.152615,ov_hollydays_lab_44.3510_9.1526,Hollydays lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/hollydays_lab_44.3510_9.1526.json,custom
44.351258,9.152012,ov_patchanka_44.3513_9.1520,Patchanka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/patchanka_44.3513_9.1520.json,custom
44.351151,9.152185,ov_il_pirata_44.3512_9.1522,Il Pirata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/il_pirata_44.3512_9.1522.json,custom
44.348313,9.155898,ov_bar_baby_44.3483_9.1559,Bar Baby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bar_baby_44.3483_9.1559.json,custom
44.348646,9.154706,ov_il_barcollo_camogli_44.3486_9.1547,IL Barcollo Camogli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/il_barcollo_camogli_44.3486_9.1547.json,custom
44.348870,9.155135,ov_cafe_photo_44.3489_9.1551,Cafe Photo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/cafe_photo_44.3489_9.1551.json,custom
44.348840,9.155224,ov_il_pontile_44.3488_9.1552,Il Pontile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/il_pontile_44.3488_9.1552.json,custom
44.348723,9.154627,ov_bar_barracuda_food_and_drink_44.3487_9.1546,Bar Barracuda Food and Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bar_barracuda_food_and_drink_44.3487_9.1546.json,custom
44.343523,9.170482,ov_bar_da_nicco_44.3435_9.1705,Bar Da Nicco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bar_da_nicco_44.3435_9.1705.json,custom
44.341935,9.169401,ov_dancing_paradise_44.3419_9.1694,Dancing Paradise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/dancing_paradise_44.3419_9.1694.json,custom
44.335695,9.159820,ov_pippi_44.3357_9.1598,Pippi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/pippi_44.3357_9.1598.json,custom
44.335972,9.157883,ov_bar_nicco_44.3360_9.1579,bar nicco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bar_nicco_44.3360_9.1579.json,custom
44.324659,9.149529,ov_capitan_mugugno_44.3247_9.1495,Capitan Mugugno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/capitan_mugugno_44.3247_9.1495.json,custom
44.348670,9.154712,osm_il_barcollo_44.3487_9.1547,Il barcollo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/il_barcollo_44.3487_9.1547.json,custom
44.335799,9.157977,osm_dai_m_agetti_44.3358_9.1580,Dai Müagetti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/dai_magetti_44.3358_9.1580.json,custom
44.313269,9.174989,ov_cristo_degli_abissi_44.3133_9.1750,Cristo degli Abissi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/cristo_degli_abissi_44.3133_9.1750.json,custom
44.351841,9.151180,ov_vela_kayak_sup_camogli_44.3518_9.1512,Vela Kayak Sup Camogli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/vela_kayak_sup_camogli_44.3518_9.1512.json,custom
44.350165,9.153764,ov_centro_subacqueo_mediterraneo_duilio_mar_44.3502_9.1538,Centro Subacqueo Mediterraneo Duilio Marcante Camogli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/centro_subacqueo_mediterraneo_duilio_mar_44.3502_9.1538.json,custom
44.351504,9.152274,ov_b_b_diving_2_0_44.3515_9.1523,B&B Diving 2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/bb_diving_20_44.3515_9.1523.json,custom
44.351460,9.151765,ov_club_vela_camogli_44.3515_9.1518,Club Vela Camogli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/club_vela_camogli_44.3515_9.1518.json,custom
44.348170,9.155290,ov_wheelsport_italia_44.3482_9.1553,WheelSport Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/wheelsport_italia_44.3482_9.1553.json,custom
44.343424,9.162872,ov_asd_bluexperience_44.3434_9.1629,ASD BluExperience,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/asd_bluexperience_44.3434_9.1629.json,custom
44.315900,9.175010,ov_dragone_dive_site_44.3159_9.1750,Dragone dive site,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/dragone_dive_site_44.3159_9.1750.json,custom
44.350472,9.151157,ov_castel_dragone_44.3505_9.1512,Castel Dragone,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/castel_dragone_44.3505_9.1512.json,custom
44.350507,9.151519,ov_castello_di_camogli_44.3505_9.1515,Castello Di Camogli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/castello_di_camogli_44.3505_9.1515.json,custom
44.347539,9.156574,ov_civic_maritime_museum_gio_bono_ferrari_44.3475_9.1566,Civic Maritime Museum Gio Bono Ferrari,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/civic_maritime_museum_gio_bono_ferrari_44.3475_9.1566.json,custom
44.347501,9.156681,ov_civico_museo_marinaro__gio_bono_ferrari__44.3475_9.1567,Civico Museo Marinaro „Gio Bono Ferrari“,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/civico_museo_marinaro_gio_bono_ferrari_44.3475_9.1567.json,custom
44.347370,9.156670,ov_biblioteca_niccol__cuneo_di_camogli_44.3474_9.1567,Biblioteca Niccolò Cuneo di Camogli,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/biblioteca_niccol_cuneo_di_camogli_44.3474_9.1567.json,custom
44.344321,9.171553,ov_biblioteca_di_ruta_la_millenaria_44.3443_9.1716,Biblioteca di Ruta La Millenaria,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/biblioteca_di_ruta_la_millenaria_44.3443_9.1716.json,custom
44.347546,9.156685,osm_biblioteca_civica_niccol__cuneo_44.3475_9.1567,Biblioteca civica Niccolò Cuneo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/biblioteca_civica_niccol_cuneo_44.3475_9.1567.json,custom
44.344321,9.171554,osm_la_millenaria_44.3443_9.1716,La Millenaria,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/camogli/pages/la_millenaria_44.3443_9.1716.json,custom
