# lat,lng,id,name,building_type,type,url,page_type
# seveso -- Tutti
45.644705,9.135613,ov_la_rustica_45.6447_9.1356,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/la_rustica_45.6447_9.1356.json,custom
45.644723,9.135709,ov____b__thun_l_nh_45.6447_9.1357,Đồ Bộ Thun Lạnh,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/_b_thun_lnh_45.6447_9.1357.json,custom
45.640677,9.162457,ov_fuori_orario_45.6407_9.1625,Fuori Orario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/fuori_orario_45.6407_9.1625.json,custom
45.639580,9.164259,ov_pizza_ok_45.6396_9.1643,Pizza Ok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/pizza_ok_45.6396_9.1643.json,custom
45.638183,9.169892,ov_pizzeria_da_aldo_seveso_45.6382_9.1699,Pizzeria da Aldo Seveso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/pizzeria_da_aldo_seveso_45.6382_9.1699.json,custom
45.760760,8.562110,ov_perbacco_45.7608_8.5621,PerBacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/perbacco_45.7608_8.5621.json,custom
45.650317,9.140474,osm_mir__45.6503_9.1405,Mirò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/mir_45.6503_9.1405.json,custom
45.642719,9.140563,osm_farghin_ristorante_pizzeria_45.6427_9.1406,Farghin Ristorante Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/farghin_ristorante_pizzeria_45.6427_9.1406.json,custom
45.642584,9.130449,osm_altamarea_pizzera_ristorante_45.6426_9.1304,Altamarea Pizzera Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/altamarea_pizzera_ristorante_45.6426_9.1304.json,custom
45.638696,9.160678,osm_pizzeria_champion_45.6387_9.1607,Pizzeria Champion,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/pizzeria_champion_45.6387_9.1607.json,custom
45.637801,9.143113,osm_spizzicapizza_2_45.6378_9.1431,Spizzicapizza 2,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/spizzicapizza_2_45.6378_9.1431.json,custom
45.638554,9.175142,osm_il_belpaese_45.6386_9.1751,Il Belpaese,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/il_belpaese_45.6386_9.1751.json,custom
45.642347,9.138942,osm_o_sole_mio_45.6423_9.1389,O sole mio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/o_sole_mio_45.6423_9.1389.json,custom
45.642141,9.146163,osm_antica_pizzeria_napoletana_45.6421_9.1462,Antica pizzeria napoletana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/antica_pizzeria_napoletana_45.6421_9.1462.json,custom
45.640317,9.139303,osm_spicy_bites_restaurant_45.6403_9.1393,Spicy bites restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/spicy_bites_restaurant_45.6403_9.1393.json,custom
45.647823,9.168100,osm_pinsamore_45.6478_9.1681,Pinsamore,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/pinsamore_45.6478_9.1681.json,custom
45.647354,9.139451,osm_fratelli_diversi_45.6474_9.1395,Fratelli diversi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/fratelli_diversi_45.6474_9.1395.json,custom
45.644950,9.167238,osm_pizza_party_45.6450_9.1672,Pizza party,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/pizza_party_45.6450_9.1672.json,custom
45.643120,9.139097,osm_istanbulls_45.6431_9.1391,Istanbulls,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/istanbulls_45.6431_9.1391.json,custom
45.651965,9.143769,ov_bar_movida_45.6520_9.1438,Bar Movida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_movida_45.6520_9.1438.json,custom
45.646242,9.139022,ov_nuovo_caffe_manzoni_45.6462_9.1390,Nuovo Caffe Manzoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/nuovo_caffe_manzoni_45.6462_9.1390.json,custom
45.645991,9.139195,ov_torrefazione_griso_45.6460_9.1392,Torrefazione Griso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/torrefazione_griso_45.6460_9.1392.json,custom
45.647651,9.141960,ov_madinseveso_45.6477_9.1420,Madinseveso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/madinseveso_45.6477_9.1420.json,custom
45.647723,9.141779,ov_myhouse_drinkfood_fun_45.6477_9.1418,Myhouse drinkfood&fun,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/myhouse_drinkfoodfun_45.6477_9.1418.json,custom
45.647637,9.139792,ov_prestige_caf__45.6476_9.1398,Prestige Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/prestige_caf_45.6476_9.1398.json,custom
45.647988,9.140029,ov_bar_della_stazione_seveso_realta__virtua_45.6480_9.1400,Bar della stazione seveso realta' virtuale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_della_stazione_seveso_realta_virtual_45.6480_9.1400.json,custom
45.650080,9.142383,ov_varna_cafe__45.6501_9.1424,Varna Cafe’,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/varna_cafe_45.6501_9.1424.json,custom
45.647970,9.143571,ov_bar_trattoria_sole_45.6480_9.1436,Bar Trattoria Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_trattoria_sole_45.6480_9.1436.json,custom
45.649770,9.155470,ov_corpo_musicale_la_cittadina_s__pietro_ma_45.6498_9.1555,Corpo Musicale La Cittadina S. Pietro Martire APS di Seveso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/corpo_musicale_la_cittadina_s_pietro_mar_45.6498_9.1555.json,custom
45.644347,9.143581,ov_bar_jolly_45.6443_9.1436,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_jolly_45.6443_9.1436.json,custom
45.644239,9.141831,ov_bar_arnold_s_45.6442_9.1418,Bar Arnold's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_arnolds_45.6442_9.1418.json,custom
45.643231,9.138680,ov_il_massimo_caffe_45.6432_9.1387,Il Massimo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/il_massimo_caffe_45.6432_9.1387.json,custom
45.642245,9.145524,ov_bar_del_corso_seveso_45.6422_9.1455,Bar del Corso Seveso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/seveso/pages/bar_del_corso_seveso_45.6422_9.1455.json,custom
