# lat,lng,id,name,building_type,type,url,page_type
# brusson -- Tutti
45.759956,7.731839,osm_continuit__assistenziale__ex_guardia_med_45.7600_7.7318,Continuità Assistenziale (Ex Guardia Medica) ASL-Ambulatorio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/continuit_assistenziale_ex_guardia_medic_45.7600_7.7318.json,custom
45.780769,7.700485,osm_la_ruota_45.7808_7.7005,La Ruota,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/la_ruota_45.7808_7.7005.json,custom
45.783889,7.698429,osm_ristorante_cafe_camping_monterosa_45.7839_7.6984,Ristorante Cafe Camping Monterosa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/ristorante_cafe_camping_monterosa_45.7839_7.6984.json,custom
45.781000,7.699230,ov_music_bar_monterosa_45.7810_7.6992,MUSIC BAR Monterosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/music_bar_monterosa_45.7810_7.6992.json,custom
45.756103,7.735780,ov_bar_alimentari_arcesaz_45.7561_7.7358,Bar Alimentari Arcesaz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/bar_alimentari_arcesaz_45.7561_7.7358.json,custom
45.758400,7.730960,ov_il_chiosco_del_ruet_45.7584_7.7310,Il chiosco del Ruet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/il_chiosco_del_ruet_45.7584_7.7310.json,custom
45.758267,7.731374,ov_woodland_45.7583_7.7314,Woodland,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/woodland_45.7583_7.7314.json,custom
45.757947,7.765544,ov_bar_ristoro_bieteron_45.7579_7.7655,Bar Ristoro Bieteron,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/bar_ristoro_bieteron_45.7579_7.7655.json,custom
45.739010,7.746567,osm_bar_croce_bianca_45.7390_7.7466,Bar Croce Bianca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/bar_croce_bianca_45.7390_7.7466.json,custom
45.757858,7.732239,osm_bar_creperie_le_mignon_45.7579_7.7322,Bar Creperie Le Mignon,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/bar_creperie_le_mignon_45.7579_7.7322.json,custom
45.766006,7.713490,osm_the_silly_monkey_snack_bar_45.7660_7.7135,The Silly Monkey Snack Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/the_silly_monkey_snack_bar_45.7660_7.7135.json,custom
45.758451,7.763550,ov_estoul_ski_school_45.7585_7.7636,Estoul Ski School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/estoul_ski_school_45.7585_7.7636.json,custom
45.759239,7.763806,ov_scuola_di_sci_brusson_palasinaz_45.7592_7.7638,Scuola di Sci Brusson-Palasinaz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/scuola_di_sci_brusson-palasinaz_45.7592_7.7638.json,custom
45.738227,7.753977,ov_castello_di_graines_45.7382_7.7540,Castello di Graines,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/castello_di_graines_45.7382_7.7540.json,custom
45.759050,7.734360,ov_biblioteca_brusson_45.7591_7.7344,Biblioteca Brusson,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/brusson/pages/biblioteca_brusson_45.7591_7.7344.json,custom
