# lat,lng,id,name,building_type,type,url,page_type
# Chiampo -- Tutti
45.544050,11.285168,ov_anthea_centro_medico_45.5440_11.2852,Anthea Centro Medico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/anthea_centro_medico_45.5440_11.2852.json,custom
45.539241,11.287057,ov_ristorante_bar_al_pellegrino_45.5392_11.2871,Ristorante Bar Al Pellegrino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ristorante_bar_al_pellegrino_45.5392_11.2871.json,custom
45.563728,11.266920,ov_bar_ristorante_stanghellini_45.5637_11.2669,Bar Ristorante Stanghellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_ristorante_stanghellini_45.5637_11.2669.json,custom
45.556179,11.268645,ov_ristorante_al_torcio_45.5562_11.2686,Ristorante Al Torcio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ristorante_al_torcio_45.5562_11.2686.json,custom
45.556080,11.271633,ov_illory24_45.5561_11.2716,illory24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/illory24_45.5561_11.2716.json,custom
45.553219,11.274093,ov_ristorante_pizzeria_cheope_45.5532_11.2741,Ristorante Pizzeria Cheope,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ristorante_pizzeria_cheope_45.5532_11.2741.json,custom
45.541399,11.285884,osm_la_pieve_45.5414_11.2859,La Pieve,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/la_pieve_45.5414_11.2859.json,custom
45.545183,11.278181,osm_al_cervo_45.5452_11.2782,Al cervo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/al_cervo_45.5452_11.2782.json,custom
45.542365,11.283843,osm_al_ponte_45.5424_11.2838,Al Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/al_ponte_45.5424_11.2838.json,custom
45.553174,11.274336,osm_cheope_45.5532_11.2743,Cheope,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/cheope_45.5532_11.2743.json,custom
45.576264,11.262087,osm_bar_pizzeria_marilyn_45.5763_11.2621,Bar Pizzeria Marilyn,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_pizzeria_marilyn_45.5763_11.2621.json,custom
45.549243,11.277450,ov_madison_bar_45.5492_11.2774,Madison Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/madison_bar_45.5492_11.2774.json,custom
45.550316,11.274834,ov_osteria_centomo_45.5503_11.2748,Osteria Centomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/osteria_centomo_45.5503_11.2748.json,custom
45.540821,11.285411,ov_l_enoteca_45.5408_11.2854,L'Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/lenoteca_45.5408_11.2854.json,custom
45.543435,11.278657,ov_ritrovo_giovanile_arnold_s_aps_45.5434_11.2787,Ritrovo giovanile Arnold's APS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ritrovo_giovanile_arnolds_aps_45.5434_11.2787.json,custom
45.544644,11.280944,ov_la_bottega_del_caff__dersut_45.5446_11.2809,La Bottega del Caffè Dersut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/la_bottega_del_caff_dersut_45.5446_11.2809.json,custom
45.544690,11.281379,ov_old_station_45.5447_11.2814,Old Station,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/old_station_45.5447_11.2814.json,custom
45.544388,11.279158,ov_caff__al_corso_45.5444_11.2792,Caffè al Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/caff_al_corso_45.5444_11.2792.json,custom
45.544163,11.280513,ov_ilcentrale_chiampo_45.5442_11.2805,ilcentrale_chiampo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/ilcentralechiampo_45.5442_11.2805.json,custom
45.544111,11.280526,ov_pasticceria_caffetteria_dirupo_45.5441_11.2805,Pasticceria Caffetteria Dirupo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/pasticceria_caffetteria_dirupo_45.5441_11.2805.json,custom
45.543857,11.280027,ov_bar_centrale_45.5439_11.2800,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_centrale_45.5439_11.2800.json,custom
45.543917,11.282049,ov_bar_lucy_s_45.5439_11.2820,Bar Lucy's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_lucys_45.5439_11.2820.json,custom
45.544630,11.284068,ov_bar_marconi_45.5446_11.2841,Bar Marconi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_marconi_45.5446_11.2841.json,custom
45.540882,11.289763,ov_bottega_del_caffe_dersut_45.5409_11.2898,Bottega del Caffe Dersut,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bottega_del_caffe_dersut_45.5409_11.2898.json,custom
45.538118,11.293610,ov_fly_cafe_45.5381_11.2936,Fly Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/fly_cafe_45.5381_11.2936.json,custom
45.535889,11.297864,ov_44_road_bar_45.5359_11.2979,44 Road Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/44_road_bar_45.5359_11.2979.json,custom
45.534901,11.299663,ov_street_bar_45.5349_11.2997,Street Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/street_bar_45.5349_11.2997.json,custom
45.571036,11.262645,ov_pegnata_bar_45.5710_11.2626,Pegnata Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/pegnata_bar_45.5710_11.2626.json,custom
45.544593,11.280729,osm_bottega_del_caff__dersut_45.5446_11.2807,Bottega del caffè Dersut,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bottega_del_caff_dersut_45.5446_11.2807.json,custom
45.540364,11.288420,osm_bar_florindo_45.5404_11.2884,Bar Florindo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/bar_florindo_45.5404_11.2884.json,custom
45.563669,11.266775,osm_stanghellini_45.5637_11.2668,Stanghellini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/stanghellini_45.5637_11.2668.json,custom
45.530500,11.307391,ov_fit_garage_chiampo_45.5305_11.3074,Fit Garage Chiampo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/fit_garage_chiampo_45.5305_11.3074.json,custom
45.541358,11.289455,ov_palasport_mondelange_45.5414_11.2895,Palasport Mondelange,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/palasport_mondelange_45.5414_11.2895.json,custom
45.540651,11.292176,ov_chiampo_calcio_45.5407_11.2922,Chiampo Calcio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/chiampo_calcio_45.5407_11.2922.json,custom
45.540240,11.291310,ov_asd_altavalle_del_chiampo_45.5402_11.2913,ASD Altavalle del Chiampo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/asd_altavalle_del_chiampo_45.5402_11.2913.json,custom
45.535773,11.301567,ov_a_s_d__body_line_45.5358_11.3016,A.s.d. Body Line,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/asd_body_line_45.5358_11.3016.json,custom
45.529638,11.305274,ov_gurdwara_sri_guru_ram_das_niwas_45.5296_11.3053,Gurdwara Sri Guru Ram Das Niwas,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/gurdwara_sri_guru_ram_das_niwas_45.5296_11.3053.json,custom
45.544446,11.270722,ov_vignaga_hills_45.5444_11.2707,Vignaga Hills,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/vignaga_hills_45.5444_11.2707.json,custom
45.541700,11.279070,ov_campanile_45.5417_11.2791,Campanile,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/campanile_45.5417_11.2791.json,custom
45.537513,11.286233,ov_museo_padre_aurelio_menin_45.5375_11.2862,Museo Padre Aurelio Menin,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/chiampo/pages/museo_padre_aurelio_menin_45.5375_11.2862.json,custom
