# lat,lng,id,name,building_type,type,url,page_type
# Castel del Piano -- Tutti
42.889875,11.534834,ov_ospedale_civile_di_castel_del_piano_42.8899_11.5348,Ospedale Civile di Castel Del Piano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ospedale_civile_di_castel_del_piano_42.8899_11.5348.json,custom
42.893923,11.540718,ov_casa_corsini_42.8939_11.5407,Casa Corsini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/casa_corsini_42.8939_11.5407.json,custom
42.893797,11.540597,ov_kruger_di_mastacchini_simone_42.8938_11.5406,Kruger di Mastacchini Simone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/kruger_di_mastacchini_simone_42.8938_11.5406.json,custom
42.894184,11.562025,ov_ristorante_da_bimboli_42.8942_11.5620,Ristorante Da Bimboli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ristorante_da_bimboli_42.8942_11.5620.json,custom
42.893537,11.550622,ov_ristorante_i_lecci_42.8935_11.5506,Ristorante I Lecci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ristorante_i_lecci_42.8935_11.5506.json,custom
42.891212,11.536583,ov_bar_pizzeria_il_muretto_42.8912_11.5366,Bar Pizzeria Il Muretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/bar_pizzeria_il_muretto_42.8912_11.5366.json,custom
42.889491,11.536111,ov_fabbrini_la_casereccia_42.8895_11.5361,Fabbrini La Casereccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/fabbrini_la_casereccia_42.8895_11.5361.json,custom
42.887174,11.535311,ov_ristorante_impero_42.8872_11.5353,Ristorante Impero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ristorante_impero_42.8872_11.5353.json,custom
42.887273,11.535160,ov_ristorante_22_posti_42.8873_11.5352,Ristorante 22 Posti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/ristorante_22_posti_42.8873_11.5352.json,custom
43.069826,12.323734,ov_electrolux_professional___g_i_s__grandi__43.0698_12.3237,Electrolux Professional - G.I.S. Grandi Impianti Service srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/electrolux_professional_-_gis_grandi_imp_43.0698_12.3237.json,custom
42.943655,11.472245,ov_circolo_arci_montenero_42.9437_11.4722,Circolo Arci Montenero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/circolo_arci_montenero_42.9437_11.4722.json,custom
42.892209,11.536885,ov_aroma_de_caf__di_borges_yamilet_c__piano_42.8922_11.5369,AROMA De CAFÉ di Borges Yamilet C. Piano GR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/aroma_de_caf_di_borges_yamilet_c_piano_g_42.8922_11.5369.json,custom
42.893061,11.536630,ov_bar_mammeglio_42.8931_11.5366,Bar Mammeglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/bar_mammeglio_42.8931_11.5366.json,custom
42.893310,11.540050,ov_sottosopra_42.8933_11.5401,SottoSopra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/sottosopra_42.8933_11.5401.json,custom
42.893390,11.540190,ov_street_food_incanto_42.8934_11.5402,Street food Incanto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/street_food_incanto_42.8934_11.5402.json,custom
42.893061,11.536091,ov_bar_italia_42.8931_11.5361,bar italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/bar_italia_42.8931_11.5361.json,custom
42.896953,11.557985,ov_collevergari_42.8970_11.5580,Collevergari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/collevergari_42.8970_11.5580.json,custom
42.889366,11.536099,ov_la_lucciola_42.8894_11.5361,La Lucciola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/la_lucciola_42.8894_11.5361.json,custom
42.890546,11.535569,ov_amiata_bar___bistrot_42.8905_11.5356,Amiata Bar & Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/amiata_bar_bistrot_42.8905_11.5356.json,custom
42.886706,11.531678,ov_good_luck_42.8867_11.5317,Good Luck,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/good_luck_42.8867_11.5317.json,custom
42.890566,11.535614,osm_amiata_caf__42.8906_11.5356,Amiata Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/amiata_caf_42.8906_11.5356.json,custom
42.909920,11.517902,ov_safiro_palestre_e_fitness_42.9099_11.5179,Safiro Palestre e Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/safiro_palestre_e_fitness_42.9099_11.5179.json,custom
42.869145,11.543276,ov_bodylife_arcidosso_42.8691_11.5433,Bodylife Arcidosso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/bodylife_arcidosso_42.8691_11.5433.json,custom
42.893110,11.527970,ov_slow_horse_42.8931_11.5280,Slow Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/slow_horse_42.8931_11.5280.json,custom
42.887926,11.537479,ov_la_luce_in_noi_42.8879_11.5375,la luce in noi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/la_luce_in_noi_42.8879_11.5375.json,custom
42.886789,11.538998,ov_stadio_comunale_42.8868_11.5390,Stadio Comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/stadio_comunale_42.8868_11.5390.json,custom
42.884055,11.529638,ov_safiro_palestre_e_fitness_42.8841_11.5296,Safiro Palestre e Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/safiro_palestre_e_fitness_42.8841_11.5296.json,custom
42.890770,11.606532,ov_amiata_freeride_42.8908_11.6065,Amiata Freeride,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/amiata_freeride_42.8908_11.6065.json,custom
42.944257,11.472844,ov_museo_della_vite_e_del_vino_42.9443_11.4728,Museo della Vite e del Vino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/museo_della_vite_e_del_vino_42.9443_11.4728.json,custom
42.893389,11.538864,ov_palazzo_nerucci___collezioni_d_arte_42.8934_11.5389,Palazzo Nerucci - Collezioni d'arte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/palazzo_nerucci_-_collezioni_darte_42.8934_11.5389.json,custom
42.943897,11.472154,osm_poste_italiane_42.9439_11.4722,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/poste_italiane_42.9439_11.4722.json,custom
42.893424,11.538919,osm_centro_culture_agricole_ildebrando_imber_42.8934_11.5389,Centro Culture Agricole Ildebrando Imberciadori,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/centro_culture_agricole_ildebrando_imber_42.8934_11.5389.json,custom
42.893152,11.537769,osm_biblioteca_comunale_luigi_santucci_42.8932_11.5378,Biblioteca comunale Luigi Santucci,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castel_del_piano/pages/biblioteca_comunale_luigi_santucci_42.8932_11.5378.json,custom
