# lat,lng,id,name,building_type,type,url,page_type
# castelfiorentino -- Tutti
43.610059,10.969314,ov_ex_ospedale_di_castelfiorentino_43.6101_10.9693,Ex Ospedale di Castelfiorentino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/ex_ospedale_di_castelfiorentino_43.6101_10.9693.json,custom
43.601275,10.966554,ov_pizzeria_italia_dallo_zio_43.6013_10.9666,Pizzeria Italia dallo Zio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pizzeria_italia_dallo_zio_43.6013_10.9666.json,custom
43.603039,10.963296,ov_pinsalab_43.6030_10.9633,PinsaLab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pinsalab_43.6030_10.9633.json,custom
43.600341,10.968115,ov_ristorante_pizzeria_il_tulipano_43.6003_10.9681,Ristorante Pizzeria Il Tulipano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/ristorante_pizzeria_il_tulipano_43.6003_10.9681.json,custom
43.597166,10.966703,ov_volterrani_43.5972_10.9667,Volterrani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/volterrani_43.5972_10.9667.json,custom
43.593098,10.974286,ov_borgo_alla_vigna_43.5931_10.9743,Borgo alla Vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/borgo_alla_vigna_43.5931_10.9743.json,custom
43.589902,10.988461,ov_frantoio_goccia_d_oro_43.5899_10.9885,Frantoio Goccia d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/frantoio_goccia_doro_43.5899_10.9885.json,custom
43.587907,10.991707,ov_linger_on_sushi_castelfiorentino_43.5879_10.9917,Linger On Sushi Castelfiorentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/linger_on_sushi_castelfiorentino_43.5879_10.9917.json,custom
43.588090,10.991854,ov_issho_asian_fusion_castelfiorentino_43.5881_10.9919,Issho Asian Fusion Castelfiorentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/issho_asian_fusion_castelfiorentino_43.5881_10.9919.json,custom
43.588660,10.989067,ov_sugoi_sushi__castelfiorentino__43.5887_10.9891,Sugoi Sushi (Castelfiorentino),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/sugoi_sushi_castelfiorentino_43.5887_10.9891.json,custom
43.547183,11.041220,ov_acqua___sapone_43.5472_11.0412,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/acqua_sapone_43.5472_11.0412.json,custom
43.603811,10.967419,osm_rosmarino_43.6038_10.9674,Rosmarino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/rosmarino_43.6038_10.9674.json,custom
43.632718,10.960648,osm_da_i__nulla_43.6327_10.9606,Da I' Nulla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/da_i_nulla_43.6327_10.9606.json,custom
43.614070,11.003155,osm_chiosco_ai_renai_43.6141_11.0032,Chiosco ai Renai,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/chiosco_ai_renai_43.6141_11.0032.json,custom
43.632695,10.960735,ov_circolo_arci_cambiano_43.6327_10.9607,Circolo Arci Cambiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/circolo_arci_cambiano_43.6327_10.9607.json,custom
43.618518,10.950428,ov_circolo_arci_dogana_43.6185_10.9504,Circolo Arci Dogana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/circolo_arci_dogana_43.6185_10.9504.json,custom
43.613436,10.965313,ov_zalli_caffe_tabaccheria_43.6134_10.9653,Zalli Caffe tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/zalli_caffe_tabaccheria_43.6134_10.9653.json,custom
43.606792,10.968019,ov_pasticceria_napoletana_43.6068_10.9680,Pasticceria Napoletana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/pasticceria_napoletana_43.6068_10.9680.json,custom
43.605881,10.969849,ov_caffe_del_teatro_43.6059_10.9698,Caffe Del Teatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caffe_del_teatro_43.6059_10.9698.json,custom
43.614182,11.003011,ov_chiosco_ai_renai_43.6142_11.0030,Chiosco Ai Renai,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/chiosco_ai_renai_43.6142_11.0030.json,custom
43.605245,10.969733,ov_caffetteria_del_corso_43.6052_10.9697,Caffetteria Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caffetteria_del_corso_43.6052_10.9697.json,custom
43.605021,10.970465,ov_su_pe__costa_43.6050_10.9705,Su Pe' Costa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/su_pe_costa_43.6050_10.9705.json,custom
43.604877,10.970281,ov_bar_centrale_43.6049_10.9703,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bar_centrale_43.6049_10.9703.json,custom
43.605209,10.968608,ov_caff__ridolfi_43.6052_10.9686,Caffè Ridolfi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caff_ridolfi_43.6052_10.9686.json,custom
43.605340,10.968510,ov_bar_italia_castelfiorentino_43.6053_10.9685,Bar Italia castelfiorentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bar_italia_castelfiorentino_43.6053_10.9685.json,custom
43.605450,10.968486,ov_caff__stazione_43.6054_10.9685,Caffè Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caff_stazione_43.6054_10.9685.json,custom
43.605736,10.968953,ov_bar_new_york_43.6057_10.9690,Bar New York,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bar_new_york_43.6057_10.9690.json,custom
43.605534,10.965705,ov_gallo_nero_43.6055_10.9657,Gallo Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/gallo_nero_43.6055_10.9657.json,custom
43.604458,10.969168,ov_bar_lilith_43.6045_10.9692,Bar Lilith,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bar_lilith_43.6045_10.9692.json,custom
43.603982,10.969768,ov_caffetteria_castello_43.6040_10.9698,Caffetteria Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caffetteria_castello_43.6040_10.9698.json,custom
43.604293,10.970773,ov_time_out_43.6043_10.9708,Time Out,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/time_out_43.6043_10.9708.json,custom
43.602745,10.971302,ov_caff__i_portici_43.6027_10.9713,Caffè I Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caff_i_portici_43.6027_10.9713.json,custom
43.601280,10.966640,ov_bar_italy_43.6013_10.9666,Bar Italy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bar_italy_43.6013_10.9666.json,custom
43.600590,10.964160,ov_circolo_i_praticelli_43.6006_10.9642,Circolo I Praticelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/circolo_i_praticelli_43.6006_10.9642.json,custom
43.593044,10.968816,ov_al_ma_bar__ristorante_e_lavaggio_auto_43.5930_10.9688,"Al.Ma bar, ristorante e lavaggio auto",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/alma_bar_ristorante_e_lavaggio_auto_43.5930_10.9688.json,custom
43.588584,10.993879,ov_kappa_pub_43.5886_10.9939,Kappa Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/kappa_pub_43.5886_10.9939.json,custom
43.582008,11.002052,ov_caff____bollicine_circolo_arci_petrazzi_43.5820_11.0021,CAFFÈ & BOLLICINE Circolo Arci Petrazzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/caff_bollicine_circolo_arci_petrazzi_43.5820_11.0021.json,custom
43.581916,11.002356,ov_facci_un_salto_bar_petrazzi_43.5819_11.0024,Facci un salto Bar petrazzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/facci_un_salto_bar_petrazzi_43.5819_11.0024.json,custom
43.580936,10.962344,ov_barteco___barsottini_tecno_costruzioni_43.5809_10.9623,Barteco - Barsottini Tecno Costruzioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/barteco_-_barsottini_tecno_costruzioni_43.5809_10.9623.json,custom
43.628702,10.959242,ov_campo_sportivo_cambiano_43.6287_10.9592,Campo Sportivo Cambiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/campo_sportivo_cambiano_43.6287_10.9592.json,custom
43.632435,11.000949,ov_centro_equestre_san_colombano_43.6324_11.0009,Centro equestre San Colombano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/centro_equestre_san_colombano_43.6324_11.0009.json,custom
43.611655,10.966642,ov_associazione_altea_danza_43.6117_10.9666,Associazione Altea Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/associazione_altea_danza_43.6117_10.9666.json,custom
43.610681,10.967814,ov_ciaf_castelfiorentino_43.6107_10.9678,Ciaf Castelfiorentino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/ciaf_castelfiorentino_43.6107_10.9678.json,custom
43.604310,10.969360,ov_samarcanda_kaleido_43.6043_10.9694,Samarcanda Kaleido,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/samarcanda_kaleido_43.6043_10.9694.json,custom
43.604243,10.972053,ov_palestra_sporting_club_a_s_d__43.6042_10.9721,Palestra Sporting club a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/palestra_sporting_club_asd_43.6042_10.9721.json,custom
43.601262,10.971382,ov_oltre_danza_43.6013_10.9714,Oltre Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/oltre_danza_43.6013_10.9714.json,custom
43.599433,10.969321,ov_studio_la_via_della_natura_43.5994_10.9693,Studio La via della Natura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/studio_la_via_della_natura_43.5994_10.9693.json,custom
43.598457,10.967486,ov_mr__borriello_studio_43.5985_10.9675,MR. Borriello Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/mr_borriello_studio_43.5985_10.9675.json,custom
43.588097,10.991851,ov_fit_express_castelfiorentino_43.5881_10.9919,Fit Express Castelfiorentino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/fit_express_castelfiorentino_43.5881_10.9919.json,custom
43.651053,10.950203,ov_villa_di_granaiolo_43.6511_10.9502,Villa di Granaiolo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/villa_di_granaiolo_43.6511_10.9502.json,custom
43.620389,10.914270,ov_castello_di_coiano_43.6204_10.9143,Castello di Coiano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/castello_di_coiano_43.6204_10.9143.json,custom
43.605124,10.969233,ov_museo_bego_43.6051_10.9692,Museo BeGo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/museo_bego_43.6051_10.9692.json,custom
43.602887,10.971877,ov_museo_di_arte_sacra_santa_verdiana_43.6029_10.9719,Museo di Arte Sacra Santa Verdiana,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/museo_di_arte_sacra_santa_verdiana_43.6029_10.9719.json,custom
43.595301,11.019980,ov_castello_di_oliveto_43.5953_11.0200,Castello Di Oliveto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/castello_di_oliveto_43.5953_11.0200.json,custom
43.566554,11.042979,ov_leonardo_da_vinci_museo_macchine_interat_43.5666_11.0430,Leonardo da Vinci Museo Macchine Interattive,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/leonardo_da_vinci_museo_macchine_interat_43.5666_11.0430.json,custom
43.606610,10.970511,ov_biblioteca_comunale_43.6066_10.9705,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/biblioteca_comunale_43.6066_10.9705.json,custom
43.605459,10.971327,osm_biblioteca_della_societ__storica_della_v_43.6055_10.9713,Biblioteca della Società storica della Valdelsa,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/biblioteca_della_societ_storica_della_va_43.6055_10.9713.json,custom
43.592818,10.986256,osm_bibliotec_art_43.5928_10.9863,BiblioteC'art,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/castelfiorentino/pages/bibliotecart_43.5928_10.9863.json,custom
