# lat,lng,id,name,building_type,type,url,page_type
# Roseto Capo Spulico -- Tutti
39.967286,16.625564,ov_parafarmacia_rosa_dr__marco_la_camera_39.9673_16.6256,Parafarmacia Rosa Dr. Marco La Camera,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/parafarmacia_rosa_dr_marco_la_camera_39.9673_16.6256.json,custom
39.984748,16.604830,ov_bar_ristorante__pizzeria_al_pozzo_antico_39.9847_16.6048,Bar Ristorante  Pizzeria Al pozzo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/bar_ristorante_pizzeria_al_pozzo_antico_39.9847_16.6048.json,custom
39.984716,16.609223,ov_meraki_ristorante_39.9847_16.6092,Meraki Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/meraki_ristorante_39.9847_16.6092.json,custom
39.985574,16.601968,ov_la_nicchia_39.9856_16.6020,La Nicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/la_nicchia_39.9856_16.6020.json,custom
39.986670,16.602378,ov_masseria_capoliscio_39.9867_16.6024,Masseria Capoliscio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/masseria_capoliscio_39.9867_16.6024.json,custom
39.988311,16.598603,ov_gran_gal__miramare_sala_ricevimento_39.9883_16.5986,Gran Galà Miramare Sala Ricevimento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/gran_gal_miramare_sala_ricevimento_39.9883_16.5986.json,custom
39.971804,16.620295,osm_al_campo_di_grano_39.9718_16.6203,Al Campo di Grano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/al_campo_di_grano_39.9718_16.6203.json,custom
39.986481,16.602375,osm_al_pozzo_antico_39.9865_16.6024,Al Pozzo Antico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/al_pozzo_antico_39.9865_16.6024.json,custom
39.985860,16.604512,osm_peperoncino_rosso_39.9859_16.6045,Peperoncino Rosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/peperoncino_rosso_39.9859_16.6045.json,custom
39.973642,16.619181,osm_bar_ristorante_pizzeria_b_b_da_mario_39.9736_16.6192,Bar Ristorante Pizzeria B&B Da Mario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/bar_ristorante_pizzeria_bb_da_mario_39.9736_16.6192.json,custom
39.969456,16.621648,osm_ristorante_nettuno_39.9695_16.6216,Ristorante Nettuno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/ristorante_nettuno_39.9695_16.6216.json,custom
39.975683,16.617666,osm_il_gelso_39.9757_16.6177,Il Gelso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/il_gelso_39.9757_16.6177.json,custom
39.950250,16.617391,ov_camping_la_terrazza_sul_mare_39.9502_16.6174,Camping la terrazza sul mare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/camping_la_terrazza_sul_mare_39.9502_16.6174.json,custom
39.979389,16.617420,ov_il_capocaccia_di_fata_caterina_39.9794_16.6174,Il Capocaccia di Fata Caterina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/il_capocaccia_di_fata_caterina_39.9794_16.6174.json,custom
39.979390,16.617420,ov_lido_cala_castello_39.9794_16.6174,Lido Cala Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/lido_cala_castello_39.9794_16.6174.json,custom
39.971911,16.622787,ov_alexcaf__39.9719_16.6228,Alexcafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/alexcaf_39.9719_16.6228.json,custom
39.967301,16.622403,ov_caffetteria_fenilu_39.9673_16.6224,Caffetteria Fenilu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/caffetteria_fenilu_39.9673_16.6224.json,custom
39.967246,16.622549,ov_caffetteria_crystal_39.9672_16.6225,Caffetteria Crystal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/caffetteria_crystal_39.9672_16.6225.json,custom
39.966515,16.626298,ov_sottovento_39.9665_16.6263,Sottovento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/sottovento_39.9665_16.6263.json,custom
39.968135,16.627930,ov_lido_tamarix___roseto_capo_spulico_39.9681_16.6279,Lido Tamarix - Roseto Capo Spulico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/lido_tamarix_-_roseto_capo_spulico_39.9681_16.6279.json,custom
39.968111,16.626199,ov_bar_europa_fenil__group_39.9681_16.6262,Bar Europa fenilù group,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/bar_europa_fenil_group_39.9681_16.6262.json,custom
39.968540,16.624350,ov_cala_castello_roseto_39.9685_16.6243,Cala castello Roseto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/cala_castello_roseto_39.9685_16.6243.json,custom
39.969808,16.625527,ov_puerto_escondido_39.9698_16.6255,Puerto Escondido,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/puerto_escondido_39.9698_16.6255.json,custom
39.970137,16.624809,ov_golia_s_39.9701_16.6248,Golia's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/golias_39.9701_16.6248.json,custom
39.970191,16.624736,ov_l_epoca_del_cornetto_39.9702_16.6247,L'Epoca del Cornetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/lepoca_del_cornetto_39.9702_16.6247.json,custom
39.986273,16.601384,ov_young_twins_bar_pub_39.9863_16.6014,Young Twins Bar Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/young_twins_bar_pub_39.9863_16.6014.json,custom
39.986371,16.601246,osm_caff__del_borgo_39.9864_16.6012,Caffè del Borgo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/caff_del_borgo_39.9864_16.6012.json,custom
39.970355,16.624497,osm_golia_s_39.9704_16.6245,Golia's,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/golias_39.9704_16.6245.json,custom
39.979648,16.617661,ov_l_antico_granaio_sotto_il_castello_feder_39.9796_16.6177,L'Antico Granaio Sotto il Castello Federiciano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/lantico_granaio_sotto_il_castello_federi_39.9796_16.6177.json,custom
39.973922,16.619573,ov_museo_delle_conchiglie_39.9739_16.6196,Museo delle Conchiglie,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/museo_delle_conchiglie_39.9739_16.6196.json,custom
39.987686,16.601622,ov_museo_archeologico_statale_vincenzo_lavi_39.9877_16.6016,Museo archeologico statale Vincenzo Laviola,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/museo_archeologico_statale_vincenzo_lavi_39.9877_16.6016.json,custom
39.997774,16.611112,ov_scogli_della_galera_39.9978_16.6111,Scogli della Galera,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/roseto_capo_spulico/pages/scogli_della_galera_39.9978_16.6111.json,custom
