# lat,lng,id,name,building_type,type,url,page_type
# Istrana -- Tutti
45.660833,12.075833,ov_ospedaletto__istrana__45.6608_12.0758,Ospedaletto (Istrana),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/ospedaletto_istrana_45.6608_12.0758.json,custom
45.693501,12.090871,ov_vecia_ostaria_sartor_45.6935_12.0909,Vecia Ostaria Sartor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/vecia_ostaria_sartor_45.6935_12.0909.json,custom
45.681400,12.103661,ov_________________45.6814_12.1037,Трактир  Сказка,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/__45.6814_12.1037.json,custom
45.662069,12.079196,ov_hostaria_dai_bastardi_45.6621_12.0792,Hostaria dai Bastardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/hostaria_dai_bastardi_45.6621_12.0792.json,custom
45.662862,12.095568,ov_pizzeria_il_capriccio_45.6629_12.0956,Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_il_capriccio_45.6629_12.0956.json,custom
45.645122,12.073303,ov_pal__45.6451_12.0733,Palù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pal_45.6451_12.0733.json,custom
45.701593,12.093642,ov_antichi_sapori_45.7016_12.0936,Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/antichi_sapori_45.7016_12.0936.json,custom
45.701464,12.094467,ov_ristorantino_da_jerry_45.7015_12.0945,Ristorantino da Jerry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/ristorantino_da_jerry_45.7015_12.0945.json,custom
45.705029,12.091517,ov_pizzeria_carinostri_45.7050_12.0915,Pizzeria Carinostri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_carinostri_45.7050_12.0915.json,custom
45.678407,12.099941,osm_pizzeria_amalfi_45.6784_12.0999,Pizzeria Amalfi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pizzeria_amalfi_45.6784_12.0999.json,custom
45.662322,12.078864,osm_antico_gusto_griglieria_45.6623_12.0789,Antico gusto Griglieria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/antico_gusto_griglieria_45.6623_12.0789.json,custom
45.673669,12.093898,ov_bar_filzi_48_45.6737_12.0939,Bar Filzi 48,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/bar_filzi_48_45.6737_12.0939.json,custom
45.676494,12.105630,ov_bar_2_colonne_45.6765_12.1056,Bar 2 Colonne,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/bar_2_colonne_45.6765_12.1056.json,custom
45.679014,12.100436,ov_bar_torino_45.6790_12.1004,Bar Torino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/bar_torino_45.6790_12.1004.json,custom
45.679260,12.103690,ov_gallery_caf__45.6793_12.1037,Gallery Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/gallery_caf_45.6793_12.1037.json,custom
45.679510,12.103650,ov_enrico_bar_centrale_gatto_45.6795_12.1037,Enrico Bar Centrale Gatto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/enrico_bar_centrale_gatto_45.6795_12.1037.json,custom
45.678202,12.099227,ov_l_incontro_cafe_45.6782_12.0992,L'Incontro Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/lincontro_cafe_45.6782_12.0992.json,custom
45.691863,12.090609,ov_civico71___stefy_45.6919_12.0906,Civico71 - Stefy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/civico71_-_stefy_45.6919_12.0906.json,custom
45.692853,12.092820,ov_bar_belvini_45.6929_12.0928,Bar Belvini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/bar_belvini_45.6929_12.0928.json,custom
45.693385,12.097618,ov_majer___snack_bar_45.6934_12.0976,MAJER - snack bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/majer_-_snack_bar_45.6934_12.0976.json,custom
45.659008,12.078850,ov_pit_stop_45.6590_12.0789,Pit Stop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/pit_stop_45.6590_12.0789.json,custom
45.663272,12.095974,ov_bar_da_cocio_45.6633_12.0960,Bar DA Cocio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/bar_da_cocio_45.6633_12.0960.json,custom
45.703645,12.093180,ov_al_calice_86_45.7036_12.0932,Al Calice 86,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/al_calice_86_45.7036_12.0932.json,custom
45.673856,12.094373,ov_aryanna_pole_dance_45.6739_12.0944,Aryanna Pole Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/aryanna_pole_dance_45.6739_12.0944.json,custom
45.673606,12.093823,ov_e_motion_ssd_fitness_club_45.6736_12.0938,E-Motion SSD Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/e-motion_ssd_fitness_club_45.6736_12.0938.json,custom
45.678534,12.089282,ov_labofit_45.6785_12.0893,Labofit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/labofit_45.6785_12.0893.json,custom
45.679237,12.093426,ov_museo_di_villa_lattes_45.6792_12.0934,Museo di Villa Lattes,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/museo_di_villa_lattes_45.6792_12.0934.json,custom
45.678288,12.104810,ov_biblioteca_comunale_di_istrana_45.6783_12.1048,Biblioteca Comunale di Istrana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/istrana/pages/biblioteca_comunale_di_istrana_45.6783_12.1048.json,custom
