# lat,lng,id,name,building_type,type,url,page_type
# Limena -- Tutti
45.463995,11.844663,ov_poliambulatorio_daylaser32_45.4640_11.8447,Poliambulatorio DayLaser32,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/poliambulatorio_daylaser32_45.4640_11.8447.json,custom
45.463962,11.846339,ov_micelio_45.4640_11.8463,MICELIO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/micelio_45.4640_11.8463.json,custom
45.463507,11.847003,ov_greenwich_limena_45.4635_11.8470,Greenwich Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/greenwich_limena_45.4635_11.8470.json,custom
45.463148,11.847232,ov_old_wild_west_45.4631_11.8472,Old Wild West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/old_wild_west_45.4631_11.8472.json,custom
45.462938,11.845006,ov_tigella_bella_45.4629_11.8450,Tigella Bella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/tigella_bella_45.4629_11.8450.json,custom
45.463670,11.846218,ov_primo_a_tavola_45.4637_11.8462,Primo a Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/primo_a_tavola_45.4637_11.8462.json,custom
45.462637,11.844324,ov_japanhouse___limena_45.4626_11.8443,Japanhouse - Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/japanhouse_-_limena_45.4626_11.8443.json,custom
45.461320,11.853770,ov_sushi_one_superior_45.4613_11.8538,Sushi-one superior,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/sushi-one_superior_45.4613_11.8538.json,custom
45.464528,11.852398,ov_sushi_one_45.4645_11.8524,Sushi One,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/sushi_one_45.4645_11.8524.json,custom
45.464795,11.852495,ov_sushi_rakki_limena_45.4648_11.8525,Sushi Rakki Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/sushi_rakki_limena_45.4648_11.8525.json,custom
45.465585,11.851555,ov_sanshi_limena_45.4656_11.8516,Sanshi Limena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/sanshi_limena_45.4656_11.8516.json,custom
45.477385,11.837451,osm_fu_lu_shou_45.4774_11.8375,Fu Lu Shou,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/fu_lu_shou_45.4774_11.8375.json,custom
45.480074,11.842988,osm_tirovino_osteria_45.4801_11.8430,TiroVino Osteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/tirovino_osteria_45.4801_11.8430.json,custom
45.481685,11.843128,ov_creme_cafe_45.4817_11.8431,Creme Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/creme_cafe_45.4817_11.8431.json,custom
45.482753,11.841031,ov_jama_45.4828_11.8410,Jama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/jama_45.4828_11.8410.json,custom
45.478649,11.846042,ov_cinecity_art___cinemas___bar_45.4786_11.8460,Cinecity Art & Cinemas - Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/cinecity_art_cinemas_-_bar_45.4786_11.8460.json,custom
45.477825,11.845360,ov_gioiello_45.4778_11.8454,Gioiello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/gioiello_45.4778_11.8454.json,custom
45.477502,11.845897,ov_phoenix_pub_45.4775_11.8459,Phoenix Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/phoenix_pub_45.4775_11.8459.json,custom
45.473269,11.845675,ov_la_cantinetta_enoteca_limena_45.4733_11.8457,La Cantinetta Enoteca Limena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/la_cantinetta_enoteca_limena_45.4733_11.8457.json,custom
45.471394,11.847539,ov_good_times_45.4714_11.8475,Good Times,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/good_times_45.4714_11.8475.json,custom
45.469131,11.848541,ov_suite_cafe_45.4691_11.8485,Suite Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/suite_cafe_45.4691_11.8485.json,custom
45.469182,11.849377,ov_street_141_caf__45.4692_11.8494,Street 141 cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/street_141_caf_45.4692_11.8494.json,custom
45.457920,11.855031,ov_bar_alle_industrie_45.4579_11.8550,Bar Alle Industrie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/bar_alle_industrie_45.4579_11.8550.json,custom
45.465425,11.851647,ov_micky_bar_45.4654_11.8516,Micky Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/micky_bar_45.4654_11.8516.json,custom
45.476748,11.847316,ov_maestroadriano_45.4767_11.8473,maestroadriano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/maestroadriano_45.4767_11.8473.json,custom
45.471629,11.843116,ov_palestra_comunale_ilaria_alpi_45.4716_11.8431,Palestra Comunale Ilaria Alpi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/palestra_comunale_ilaria_alpi_45.4716_11.8431.json,custom
45.471122,11.839706,ov_mamyoga_45.4711_11.8397,MamYoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/mamyoga_45.4711_11.8397.json,custom
45.468799,11.833649,ov_tennis_tai_45.4688_11.8336,Tennis Tai,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/tennis_tai_45.4688_11.8336.json,custom
45.467602,11.840875,ov_shape_ssdrl_45.4676_11.8409,Shape ssdrl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/shape_ssdrl_45.4676_11.8409.json,custom
45.467570,11.840803,ov_palestra_new_body_gym_center_45.4676_11.8408,Palestra New Body Gym Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/palestra_new_body_gym_center_45.4676_11.8408.json,custom
45.463594,11.843584,ov_green_soul_fit_45.4636_11.8436,Green Soul Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/green_soul_fit_45.4636_11.8436.json,custom
45.460338,11.856240,ov_acquelibere_sub_diving_club_45.4603_11.8562,Acquelibere Sub Diving Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/acquelibere_sub_diving_club_45.4603_11.8562.json,custom
45.460381,11.856396,ov_ptrd_italia_corsi_sub_45.4604_11.8564,PTRD Italia Corsi Sub,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/ptrd_italia_corsi_sub_45.4604_11.8564.json,custom
45.456994,11.886660,ov_shape_ssdrl_45.4570_11.8867,Shape ssdrl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/shape_ssdrl_45.4570_11.8867.json,custom
45.463400,11.856805,ov_a_s_d__dax_tango_45.4634_11.8568,A.S.D. DaX Tango,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/asd_dax_tango_45.4634_11.8568.json,custom
45.465475,11.852633,ov_equilibrium_ssd_arl_45.4655_11.8526,Equilibrium SSD ARL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/equilibrium_ssd_arl_45.4655_11.8526.json,custom
45.470480,11.852480,ov_paintball_go_45.4705_11.8525,Paintball GO,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/limena/pages/paintball_go_45.4705_11.8525.json,custom
