# lat,lng,id,name,building_type,type,url,page_type
# Casalnuovo di Napoli -- Tutti
40.911163,14.358141,ov_ni_ce_srl_40.9112_14.3581,Ni.Ce Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/nice_srl_40.9112_14.3581.json,custom
40.906405,14.340372,ov_royal_chicken___burger_40.9064_14.3404,Royal Chicken & Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/royal_chicken_burger_40.9064_14.3404.json,custom
40.909277,14.340011,ov_c_e__pizza_per_te_40.9093_14.3400,C'e' Pizza per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ce_pizza_per_te_40.9093_14.3400.json,custom
40.909243,14.340222,ov_caf_patronato_carbone_40.9092_14.3402,caf patronato Carbone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/caf_patronato_carbone_40.9092_14.3402.json,custom
40.909800,14.338598,ov_ristorante_da_nonna_maria_40.9098_14.3386,Ristorante da Nonna Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristorante_da_nonna_maria_40.9098_14.3386.json,custom
40.910680,14.336170,ov_pizzeria_lo_scugnizzo_napoletano_40.9107_14.3362,Pizzeria Lo Scugnizzo Napoletano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_lo_scugnizzo_napoletano_40.9107_14.3362.json,custom
40.912073,14.341247,ov_o__balcunciello_e_zia_rita_40.9121_14.3412,O’ Balcunciello e Zia Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/o_balcunciello_e_zia_rita_40.9121_14.3412.json,custom
40.913397,14.346625,ov_corte_soledio_40.9134_14.3466,Corte Soledio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/corte_soledio_40.9134_14.3466.json,custom
40.914613,14.349010,ov_rost_haus_40.9146_14.3490,Rost Haus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/rost_haus_40.9146_14.3490.json,custom
40.915489,14.355351,ov_o__francese_40.9155_14.3554,O' Francese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/o_francese_40.9155_14.3554.json,custom
40.915713,14.349601,ov_pizzeria_cristian_mamazza_3_0_40.9157_14.3496,Pizzeria Cristian Mamazza 3.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_cristian_mamazza_30_40.9157_14.3496.json,custom
40.916298,14.352266,ov_ristorante_che_gusto_40.9163_14.3523,Ristorante Che Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristorante_che_gusto_40.9163_14.3523.json,custom
40.917055,14.353277,ov_pizzeria_tonino_40.9171_14.3533,Pizzeria Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/pizzeria_tonino_40.9171_14.3533.json,custom
40.920951,14.354394,ov_lumafral_40.9210_14.3544,Lumafral,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/lumafral_40.9210_14.3544.json,custom
40.922107,14.354679,ov_ristorante_degli_artisti_da_riccardo_40.9221_14.3547,Ristorante degli Artisti da Riccardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/ristorante_degli_artisti_da_riccardo_40.9221_14.3547.json,custom
40.922980,14.354766,ov_il_bivio_40.9230_14.3548,Il Bivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/il_bivio_40.9230_14.3548.json,custom
40.922570,14.364270,ov_arte_bianca_pizzaioli_da_generazioni_di__40.9226_14.3643,Arte bianca pizzaioli da generazioni di Alessandro nunziata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/arte_bianca_pizzaioli_da_generazioni_di__40.9226_14.3643.json,custom
40.888591,14.361831,ov_mangia_bevi_and_food_40.8886_14.3618,Mangia Bevi and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/mangia_bevi_and_food_40.8886_14.3618.json,custom
40.888729,14.362172,ov_bar_les_folies_40.8887_14.3622,Bar Les Folies,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_les_folies_40.8887_14.3622.json,custom
40.889457,14.366891,ov_bar_napoli_40.8895_14.3669,Bar Napoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_napoli_40.8895_14.3669.json,custom
40.901693,14.342665,ov_bevopocodisera_40.9017_14.3427,BevopocodiSera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bevopocodisera_40.9017_14.3427.json,custom
40.901703,14.344338,ov_mediafood_40.9017_14.3443,Mediafood,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/mediafood_40.9017_14.3443.json,custom
40.901181,14.345947,ov_bar_pasticceria_da_mose_40.9012_14.3459,Bar Pasticceria Da Mose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_pasticceria_da_mose_40.9012_14.3459.json,custom
40.901119,14.341852,ov_esposito_salvatore_40.9011_14.3419,Esposito Salvatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/esposito_salvatore_40.9011_14.3419.json,custom
40.900507,14.338711,ov_napucaffe_40.9005_14.3387,Napucaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/napucaffe_40.9005_14.3387.json,custom
40.899172,14.341047,ov_bonito_caff__40.8992_14.3410,Bonito Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bonito_caff_40.8992_14.3410.json,custom
40.899553,14.357274,ov_the_village_food_e_more_40.8996_14.3573,The Village Food e More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/the_village_food_e_more_40.8996_14.3573.json,custom
40.901636,14.348052,ov_bar_alessandro_40.9016_14.3481,Bar Alessandro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_alessandro_40.9016_14.3481.json,custom
40.902334,14.355452,ov_caffetteria_del_sole_40.9023_14.3555,Caffetteria Del Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/caffetteria_del_sole_40.9023_14.3555.json,custom
40.901993,14.351255,ov_caffetteria_tremila_40.9020_14.3513,Caffetteria Tremila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/caffetteria_tremila_40.9020_14.3513.json,custom
40.902876,14.350548,ov_bar_chalet_siani_40.9029_14.3505,Bar Chalet Siani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_chalet_siani_40.9029_14.3505.json,custom
40.896983,14.354483,ov_iorio_cafe__40.8970_14.3545,Iorio Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/iorio_cafe_40.8970_14.3545.json,custom
40.896339,14.349835,ov_fonzo_cocktail_bar_40.8963_14.3498,Fonzo Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/fonzo_cocktail_bar_40.8963_14.3498.json,custom
40.912689,14.358604,ov_chalet_umberto_40.9127_14.3586,Chalet Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/chalet_umberto_40.9127_14.3586.json,custom
40.912148,14.361162,ov_l_infinito_cafe_40.9121_14.3612,L'Infinito Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/linfinito_cafe_40.9121_14.3612.json,custom
40.911026,14.361165,ov_abbraciami___burger_and_beer_40.9110_14.3612,Abbraciami - Burger And Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/abbraciami_-_burger_and_beer_40.9110_14.3612.json,custom
40.911079,14.361256,ov_caffetteria_angela_40.9111_14.3613,Caffetteria Angela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/caffetteria_angela_40.9111_14.3613.json,custom
40.911448,14.360570,ov_movida_caff__40.9114_14.3606,Movida Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/movida_caff_40.9114_14.3606.json,custom
40.910507,14.361222,ov_bar_platani_40.9105_14.3612,BAR Platani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_platani_40.9105_14.3612.json,custom
40.909661,14.348294,ov_enoteca_bianco_e_rosso_40.9097_14.3483,Enoteca Bianco e Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/enoteca_bianco_e_rosso_40.9097_14.3483.json,custom
40.909449,14.352602,ov_fantasy_caf__40.9094_14.3526,Fantasy Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/fantasy_caf_40.9094_14.3526.json,custom
40.909061,14.347859,ov_caffetteria_gran_caffe_40.9091_14.3479,Caffetteria Gran Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/caffetteria_gran_caffe_40.9091_14.3479.json,custom
40.908901,14.347493,ov_urban_cafe_40.9089_14.3475,Urban Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/urban_cafe_40.9089_14.3475.json,custom
40.904142,14.350834,ov_maca_cafe_40.9041_14.3508,Maca Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/maca_cafe_40.9041_14.3508.json,custom
40.908524,14.346709,ov_smile_cafe_40.9085_14.3467,Smile Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/smile_cafe_40.9085_14.3467.json,custom
40.907422,14.342379,ov_chalet_savoia_40.9074_14.3424,Chalet Savoia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/chalet_savoia_40.9074_14.3424.json,custom
40.907600,14.338080,ov_bar_pasticceria_mike_40.9076_14.3381,Bar Pasticceria Mike,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_pasticceria_mike_40.9076_14.3381.json,custom
40.906910,14.337121,ov_agora_di_catauro_claudio_40.9069_14.3371,Agora Di Catauro Claudio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/agora_di_catauro_claudio_40.9069_14.3371.json,custom
40.906418,14.336271,ov_florinda_40.9064_14.3363,Florinda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/florinda_40.9064_14.3363.json,custom
40.906256,14.340452,ov_bar_royal_40.9063_14.3405,Bar Royal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_royal_40.9063_14.3405.json,custom
40.906156,14.336553,ov_beviamoci_s__40.9062_14.3366,Beviamoci Sù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/beviamoci_s_40.9062_14.3366.json,custom
40.905627,14.345770,ov_bar_movida_40.9056_14.3458,Bar Movida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/bar_movida_40.9056_14.3458.json,custom
40.903275,14.335238,ov_jguana_cafe_40.9033_14.3352,Jguana Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/jguana_cafe_40.9033_14.3352.json,custom
40.909297,14.340294,ov_uammami_40.9093_14.3403,Uammami,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/casalnuovo_di_napoli/pages/uammami_40.9093_14.3403.json,custom
