# lat,lng,id,name,building_type,type,url,page_type
# Centallo -- Tutti
44.501881,7.586336,ov_i_p_a_b__istituto_san_camillo_44.5019_7.5863,I.P.A.B. Istituto San Camillo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/ipab_istituto_san_camillo_44.5019_7.5863.json,custom
44.494265,7.578460,osm_sale_e_pepe_44.4943_7.5785,Sale e Pepe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/sale_e_pepe_44.4943_7.5785.json,custom
44.500179,7.586361,osm_il_cairo_kebab_44.5002_7.5864,Il Cairo kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/il_cairo_kebab_44.5002_7.5864.json,custom
44.500490,7.584249,osm_le_calle_44.5005_7.5842,Le Calle,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/le_calle_44.5005_7.5842.json,custom
44.500643,7.585144,ov_cafe_cit_44.5006_7.5851,Cafe Cit,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/cafe_cit_44.5006_7.5851.json,custom
44.500089,7.585679,ov_bar_pasticceria_daniele_44.5001_7.5857,Bar Pasticceria Daniele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/bar_pasticceria_daniele_44.5001_7.5857.json,custom
44.500603,7.585522,ov_pasticceria_dolci_tentazioni_44.5006_7.5855,Pasticceria Dolci Tentazioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/pasticceria_dolci_tentazioni_44.5006_7.5855.json,custom
44.500922,7.584382,ov_due_palme_44.5009_7.5844,Due Palme,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/due_palme_44.5009_7.5844.json,custom
44.459902,7.628855,ov_birrificio_trunasse_44.4599_7.6289,Birrificio Trunasse,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/birrificio_trunasse_44.4599_7.6289.json,custom
44.464003,7.631579,osm_euphoria_44.4640_7.6316,Euphoria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/euphoria_44.4640_7.6316.json,custom
44.482731,7.601606,osm_povero_ragno_44.4827_7.6016,Povero Ragno,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/povero_ragno_44.4827_7.6016.json,custom
44.494640,7.584420,ov_volley_centallo_44.4946_7.5844,Volley Centallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/volley_centallo_44.4946_7.5844.json,custom
44.495805,7.584596,ov_circolo_acli_bocciofila_centallese_44.4958_7.5846,Circolo Acli Bocciofila Centallese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/circolo_acli_bocciofila_centallese_44.4958_7.5846.json,custom
44.496343,7.585134,ov_palacrf_centallo_44.4963_7.5851,Palacrf-Centallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/palacrf-centallo_44.4963_7.5851.json,custom
44.494279,7.578437,ov_elleesse_gym_44.4943_7.5784,ElleEsse GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/elleesse_gym_44.4943_7.5784.json,custom
44.494134,7.578042,ov_world_of_workouts_centallo_44.4941_7.5780,World of Workouts Centallo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/world_of_workouts_centallo_44.4941_7.5780.json,custom
44.500997,7.585964,osm_poste_italiane_44.5010_7.5860,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/poste_italiane_44.5010_7.5860.json,custom
44.499282,7.584639,osm_biblioteca_comunale_faustino_dalmazzo_44.4993_7.5846,Biblioteca Comunale Faustino Dalmazzo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/centallo/pages/biblioteca_comunale_faustino_dalmazzo_44.4993_7.5846.json,custom
