# lat,lng,id,name,building_type,type,url,page_type
# San Marco Argentano -- Tutti
39.605120,16.207320,ov_bar_pleasantville_39.6051_16.2073,Bar Pleasantville,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/bar_pleasantville_39.6051_16.2073.json,custom
39.605545,16.207303,ov_cafe_cloris_gelateria_39.6055_16.2073,Cafe Cloris Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/cafe_cloris_gelateria_39.6055_16.2073.json,custom
39.622390,16.221120,ov_bar_rossillo_39.6224_16.2211,Bar Rossillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/bar_rossillo_39.6224_16.2211.json,custom
39.560802,16.124211,osm_bar_bellvedere_39.5608_16.1242,Bar Bellvedere,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/bar_bellvedere_39.5608_16.1242.json,custom
39.559463,16.123058,ov_a_s_d_argentanum_gym__sala_bodybuilding__39.5595_16.1231,"A.S.D Argentanum GYM, sala bodybuilding,sala fitness",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/asd_argentanum_gym_sala_bodybuildingsala_39.5595_16.1231.json,custom
39.557985,16.111028,ov_laghetto_mulino_di_mezzo_39.5580_16.1110,Laghetto Mulino Di Mezzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/laghetto_mulino_di_mezzo_39.5580_16.1110.json,custom
39.575423,16.151192,ov_matina_gym_39.5754_16.1512,Matina Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/matina_gym_39.5754_16.1512.json,custom
39.595311,16.195810,ov_virtus_fitness_club_39.5953_16.1958,Virtus fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/virtus_fitness_club_39.5953_16.1958.json,custom
39.605391,16.208284,ov_asd_centro_kinesiologico_39.6054_16.2083,Asd Centro Kinesiologico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/asd_centro_kinesiologico_39.6054_16.2083.json,custom
39.560917,16.123967,ov_cappella_la_benedetta_sec__xviii_39.5609_16.1240,Cappella La Benedetta sec. XVIII,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/cappella_la_benedetta_sec_xviii_39.5609_16.1240.json,custom
39.556690,16.120910,ov_biblioteca_san_marco_39.5567_16.1209,Biblioteca San Marco,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/san_marco_argentano/pages/biblioteca_san_marco_39.5567_16.1209.json,custom
