# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.809979,12.599802,ov_ristoranti_mad_cow_41.8100_12.5998,Ristoranti Mad Cow,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristoranti_mad_cow_41.8100_12.5998.json,custom
41.809097,12.599244,ov_gli_sfiziosi_ciampino_41.8091_12.5992,Gli Sfiziosi Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/gli_sfiziosi_ciampino_41.8091_12.5992.json,custom
41.809194,12.599323,ov_punto_eat_ciampino_41.8092_12.5993,Punto Eat Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/punto_eat_ciampino_41.8092_12.5993.json,custom
41.809175,12.599311,ov_robbbertone_pizza_41.8092_12.5993,Robbbertone Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/robbbertone_pizza_41.8092_12.5993.json,custom
41.806503,12.602974,ov_la_coccinella_raffinata_41.8065_12.6030,La Coccinella Raffinata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_coccinella_raffinata_41.8065_12.6030.json,custom
41.806235,12.607746,ov_palato_raffinato_41.8062_12.6077,Palato Raffinato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/palato_raffinato_41.8062_12.6077.json,custom
41.808234,12.610010,ov_mi_sushi_e_ramen_41.8082_12.6100,Mi Sushi e Ramen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/mi_sushi_e_ramen_41.8082_12.6100.json,custom
41.804988,12.608809,ov_pizzeria_napoletana_le_lanterne_41.8050_12.6088,Pizzeria Napoletana Le Lanterne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_napoletana_le_lanterne_41.8050_12.6088.json,custom
41.804725,12.605500,ov_pizzeria_lecca_ciampino_41.8047_12.6055,Pizzeria Lecca Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_lecca_ciampino_41.8047_12.6055.json,custom
41.803802,12.604439,ov_burger_king_41.8038_12.6044,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/burger_king_41.8038_12.6044.json,custom
41.798788,12.604470,ov_iniqua_bistrot_41.7988_12.6045,Iniqua Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/iniqua_bistrot_41.7988_12.6045.json,custom
41.798210,12.604530,ov_la_cucina_dei_sogni_41.7982_12.6045,La Cucina dei Sogni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_cucina_dei_sogni_41.7982_12.6045.json,custom
41.795020,12.606250,ov_la_pinseria_41.7950_12.6062,La Pinseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/la_pinseria_41.7950_12.6062.json,custom
41.794746,12.608300,ov_lele_pizza_ciampino_41.7947_12.6083,Lele Pizza Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/lele_pizza_ciampino_41.7947_12.6083.json,custom
41.796489,12.608756,ov_citt__delle_fontane_41.7965_12.6088,Città delle Fontane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/citt_delle_fontane_41.7965_12.6088.json,custom
