# lat,lng,id,name,building_type,type,url,page_type
# fornovo_di_taro -- Tutti
44.693009,10.103297,osm_cau_fornovo_di_taro___ausl_parma_44.6930_10.1033,CAU Fornovo di Taro - AUSL Parma,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/cau_fornovo_di_taro_-_ausl_parma_44.6930_10.1033.json,custom
44.642569,10.116465,osm_osteria_bar_all_birocc_44.6426_10.1165,Osteria Bar All Birocc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/osteria_bar_all_birocc_44.6426_10.1165.json,custom
44.701489,10.123240,ov_circolo_arci_guatelli_44.7015_10.1232,Circolo Arci Guatelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/circolo_arci_guatelli_44.7015_10.1232.json,custom
44.694679,10.098035,ov_birre_di_birraioli_44.6947_10.0980,Birre di Birraioli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/birre_di_birraioli_44.6947_10.0980.json,custom
44.691380,10.097170,ov_bar_centrale_44.6914_10.0972,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/bar_centrale_44.6914_10.0972.json,custom
44.690626,10.098484,ov_i_mat_dal_cafe_44.6906_10.0985,I Mat Dal Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/i_mat_dal_cafe_44.6906_10.0985.json,custom
44.690484,10.099077,ov_bar_spezia_44.6905_10.0991,Bar Spezia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/bar_spezia_44.6905_10.0991.json,custom
44.693254,10.102104,ov_bar_ole_44.6933_10.1021,Bar Ole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/bar_ole_44.6933_10.1021.json,custom
44.693760,10.099190,ov_asd_nuotatori_fornovo_44.6938_10.0992,ASD Nuotatori Fornovo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/asd_nuotatori_fornovo_44.6938_10.0992.json,custom
44.699629,10.120994,ov_dance_studio_ssd_srl_44.6996_10.1210,Dance Studio SSD SRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/dance_studio_ssd_srl_44.6996_10.1210.json,custom
44.700442,10.122474,ov_palestra_olimpia_ricco__di_fornovo_44.7004_10.1225,Palestra Olimpia Ricco' di Fornovo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/palestra_olimpia_ricco_di_fornovo_44.7004_10.1225.json,custom
44.642339,10.115154,ov_scuba_cruise_s_r_l__44.6423_10.1152,Scuba Cruise S.r.l.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/scuba_cruise_srl_44.6423_10.1152.json,custom
44.647742,10.047212,ov_asd_valle_del_lupo_44.6477_10.0472,ASD Valle Del Lupo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/asd_valle_del_lupo_44.6477_10.0472.json,custom
44.694861,10.098110,ov_mu_pe__parco_museo_del_petrolio_44.6949_10.0981,Mu.Pe. Parco Museo del Petrolio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/mupe_parco_museo_del_petrolio_44.6949_10.0981.json,custom
44.695278,10.098630,ov_biblioteca_comunale_di_fornovo_luigi_mer_44.6953_10.0986,Biblioteca Comunale di Fornovo Luigi Merusi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fornovo_di_taro/pages/biblioteca_comunale_di_fornovo_luigi_mer_44.6953_10.0986.json,custom
