# lat,lng,id,name,building_type,type,url,page_type
# Castrolibero -- Tutti
39.308793,16.215103,ov_ambulatorio_di_vulnologia_polo_sanitario_39.3088_16.2151,Ambulatorio di Vulnologia polo Sanitario Castrolibero dr Gia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/ambulatorio_di_vulnologia_polo_sanitario_39.3088_16.2151.json,custom
39.306281,16.223985,ov_the_daily_bar_39.3063_16.2240,The Daily Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/the_daily_bar_39.3063_16.2240.json,custom
39.306960,16.224253,ov_art_caf____lounge_bar___bistrot_39.3070_16.2243,Art Cafè - Lounge Bar & Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/art_caf_-_lounge_bar_bistrot_39.3070_16.2243.json,custom
39.305390,16.216580,ov_rendez_vous_tieri_39.3054_16.2166,Rendez Vous Tieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/rendez_vous_tieri_39.3054_16.2166.json,custom
39.308437,16.215088,ov_bet_caf__castrolibero_39.3084_16.2151,Bet Cafè Castrolibero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/bet_caf_castrolibero_39.3084_16.2151.json,custom
39.324702,16.225873,ov_james_joyce_irish_pub_39.3247_16.2259,James Joyce Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/james_joyce_irish_pub_39.3247_16.2259.json,custom
39.309050,16.223190,ov_natural_body_progetto_sparta_wlnb_39.3090_16.2232,Natural Body Progetto Sparta Wlnb,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/natural_body_progetto_sparta_wlnb_39.3090_16.2232.json,custom
39.305990,16.223912,ov_arnold_fit_club_39.3060_16.2239,Arnold Fit Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/arnold_fit_club_39.3060_16.2239.json,custom
39.305448,16.223397,ov_versus_controcorrente_gym_39.3054_16.2234,Versus Controcorrente GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/versus_controcorrente_gym_39.3054_16.2234.json,custom
39.305030,16.220840,ov_mille_passi_39.3050_16.2208,Mille Passi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/mille_passi_39.3050_16.2208.json,custom
39.306022,16.213820,ov_centro_sportivo_parco_collodi_39.3060_16.2138,Centro Sportivo Parco Collodi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/centro_sportivo_parco_collodi_39.3060_16.2138.json,custom
39.323274,16.211611,ov_tiro_a_segno_nazionale_39.3233_16.2116,Tiro a Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/tiro_a_segno_nazionale_39.3233_16.2116.json,custom
39.325020,16.211750,ov_harem__il_tempio_delle_odalische__39.3250_16.2117,HAREM. Il tempio delle odalische.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/harem_il_tempio_delle_odalische_39.3250_16.2117.json,custom
39.310737,16.224924,ov_kawasaki_vmx_museum_italy_39.3107_16.2249,Kawasaki VMX Museum Italy,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/kawasaki_vmx_museum_italy_39.3107_16.2249.json,custom
39.307970,16.193992,ov_biblioteca_corrado_alvaro_castrolibero_39.3080_16.1940,Biblioteca Corrado Alvaro Castrolibero,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/castrolibero/pages/biblioteca_corrado_alvaro_castrolibero_39.3080_16.1940.json,custom
