# lat,lng,id,name,building_type,type,url,page_type
# rubiera -- Tutti
44.654340,10.776580,ov_farmacia_san_biagio_44.6543_10.7766,Farmacia San Biagio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/farmacia_san_biagio_44.6543_10.7766.json,custom
44.654660,10.782857,ov_oceania_ristorante_pizzeria_44.6547_10.7829,Oceania Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/oceania_ristorante_pizzeria_44.6547_10.7829.json,custom
44.654214,10.783595,ov_pizzeria_santa_farina_44.6542_10.7836,Pizzeria Santa Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_santa_farina_44.6542_10.7836.json,custom
44.654356,10.782701,ov_civico_18_44.6544_10.7827,Civico 18,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/civico_18_44.6544_10.7827.json,custom
44.654396,10.782548,ov_turkish_pizza___kebab_44.6544_10.7825,Turkish PIZZA & KEBAB,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/turkish_pizza_kebab_44.6544_10.7825.json,custom
44.653899,10.782359,ov_ooh_pasillo_44.6539_10.7824,Ooh Pasillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/ooh_pasillo_44.6539_10.7824.json,custom
44.653667,10.786926,ov_ristorante_liberty_44.6537_10.7869,Ristorante Liberty,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/ristorante_liberty_44.6537_10.7869.json,custom
44.653292,10.787104,ov_atmosfera_ristorante_pizzeria_44.6533_10.7871,Atmosfera Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/atmosfera_ristorante_pizzeria_44.6533_10.7871.json,custom
44.653150,10.787321,ov_noi_2_event_rubiera_44.6532_10.7873,Noi 2 Event Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/noi_2_event_rubiera_44.6532_10.7873.json,custom
44.652321,10.782330,ov_pizzeria_la_golosa_44.6523_10.7823,Pizzeria La Golosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_la_golosa_44.6523_10.7823.json,custom
44.652870,10.784890,ov_steakhouse_il_borcale_44.6529_10.7849,Steakhouse Il Borcale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/steakhouse_il_borcale_44.6529_10.7849.json,custom
44.652550,10.782008,ov_rosalita_ristorante_messicano_44.6525_10.7820,Rosalita Ristorante Messicano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/rosalita_ristorante_messicano_44.6525_10.7820.json,custom
44.652277,10.780809,ov_peccati_di_gola_44.6523_10.7808,Peccati di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/peccati_di_gola_44.6523_10.7808.json,custom
44.651949,10.780811,ov_rosticceria_asia_44.6519_10.7808,Rosticceria Asia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/rosticceria_asia_44.6519_10.7808.json,custom
44.653379,10.781762,ov_osteria_del_viandante_44.6534_10.7818,Osteria del Viandante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/osteria_del_viandante_44.6534_10.7818.json,custom
44.653983,10.780010,ov_poketinho_44.6540_10.7800,Poketinho,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/poketinho_44.6540_10.7800.json,custom
44.654333,10.779611,ov_il_glicine_home_restaurant_44.6543_10.7796,Il Glicine home restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/il_glicine_home_restaurant_44.6543_10.7796.json,custom
44.654290,10.780240,ov_pizzeria_misfizio_44.6543_10.7802,Pizzeria MiSfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_misfizio_44.6543_10.7802.json,custom
44.654168,10.780257,ov_il_tulipano___rubiera_44.6542_10.7803,Il Tulipano - Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/il_tulipano_-_rubiera_44.6542_10.7803.json,custom
44.653942,10.774512,ov_crudo_44.6539_10.7745,Crudo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/crudo_44.6539_10.7745.json,custom
44.654126,10.773582,ov_myshibuya___sushi___pok____rubiera_44.6541_10.7736,MyShibuya | Sushi & Poké | Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/myshibuya_sushi_pok_rubiera_44.6541_10.7736.json,custom
44.654814,10.773967,ov_pizzeria_la_sfiziosa_44.6548_10.7740,Pizzeria La Sfiziosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzeria_la_sfiziosa_44.6548_10.7740.json,custom
44.654106,10.772491,ov_tutta_un_altra_cosa_44.6541_10.7725,Tutta un'altra cosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/tutta_unaltra_cosa_44.6541_10.7725.json,custom
44.654020,10.773243,ov_la_contadina_44.6540_10.7732,La contadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_contadina_44.6540_10.7732.json,custom
44.653853,10.772997,ov_la_cucina_di_casa_44.6539_10.7730,La Cucina di Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_cucina_di_casa_44.6539_10.7730.json,custom
44.653355,10.773946,ov_rita_il_sole_44.6534_10.7739,RITA Il Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/rita_il_sole_44.6534_10.7739.json,custom
44.652001,10.773605,ov_ristorante_pizzeria_giusto_spirito_44.6520_10.7736,Ristorante Pizzeria Giusto Spirito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/ristorante_pizzeria_giusto_spirito_44.6520_10.7736.json,custom
44.652102,10.773331,ov_giustospirito_rubiera_44.6521_10.7733,Giustospirito Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/giustospirito_rubiera_44.6521_10.7733.json,custom
44.652942,10.767617,ov_myshibuya_sushi_point_44.6529_10.7676,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/myshibuya_sushi_point_44.6529_10.7676.json,custom
44.651669,10.769014,ov_rondine_group_44.6517_10.7690,Rondine Group,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/rondine_group_44.6517_10.7690.json,custom
44.654722,10.767147,ov_roadhouse_restaurant_rubiera_44.6547_10.7671,Roadhouse Restaurant Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/roadhouse_restaurant_rubiera_44.6547_10.7671.json,custom
44.654500,10.767358,ov_sushiko_rubiera_44.6545_10.7674,Sushiko Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/sushiko_rubiera_44.6545_10.7674.json,custom
44.655375,10.769561,ov_calili_bistrot_44.6554_10.7696,Calili Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/calili_bistrot_44.6554_10.7696.json,custom
44.655412,10.768395,ov_pizzikotto___pizzeria___lifferia_44.6554_10.7684,Pizzikotto - Pizzeria & Lifferia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pizzikotto_-_pizzeria_lifferia_44.6554_10.7684.json,custom
44.655026,10.771934,ov_mizumi_rubiera_44.6550_10.7719,Mizumi Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/mizumi_rubiera_44.6550_10.7719.json,custom
44.655097,10.772916,ov_piadina_e_dintorni_rubiera_44.6551_10.7729,Piadina e dintorni Rubiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/piadina_e_dintorni_rubiera_44.6551_10.7729.json,custom
44.655110,10.773905,ov_istanbul_doner_kebab_pizza_44.6551_10.7739,Istanbul Doner Kebab pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/istanbul_doner_kebab_pizza_44.6551_10.7739.json,custom
44.688357,10.798735,osm_la_locanda_di_sant__agata_44.6884_10.7987,La Locanda di Sant' Agata,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_locanda_di_sant_agata_44.6884_10.7987.json,custom
44.654741,10.767531,osm_roadhouse_44.6547_10.7675,Roadhouse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/roadhouse_44.6547_10.7675.json,custom
44.654263,10.767363,osm_sushiko_44.6543_10.7674,Sushiko,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/sushiko_44.6543_10.7674.json,custom
44.655093,10.771970,osm_mizumi_44.6551_10.7720,MiZUMi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/mizumi_44.6551_10.7720.json,custom
44.676599,10.802632,ov_tabacchi_blues_44.6766_10.8026,Tabacchi Blues,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/tabacchi_blues_44.6766_10.8026.json,custom
44.679653,10.780564,ov_barh_44.6797_10.7806,BarH,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/barh_44.6797_10.7806.json,custom
44.649199,10.776738,ov_bar_il_parco_44.6492_10.7767,Bar Il Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_il_parco_44.6492_10.7767.json,custom
44.658582,10.780655,ov_birrificio_g_s__44.6586_10.7807,Birrificio G.S.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/birrificio_gs_44.6586_10.7807.json,custom
44.655969,10.781073,ov_bar_la_stazione_44.6560_10.7811,Bar la Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_la_stazione_44.6560_10.7811.json,custom
44.653320,10.782736,ov_bar_ai_portici_44.6533_10.7827,Bar Ai Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_ai_portici_44.6533_10.7827.json,custom
44.653150,10.786648,ov_new_hobby_bar_44.6531_10.7866,New Hobby Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/new_hobby_bar_44.6531_10.7866.json,custom
44.652523,10.785454,ov_cristallo_due_zero_44.6525_10.7855,Cristallo Due.Zero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/cristallo_duezero_44.6525_10.7855.json,custom
44.652775,10.781706,ov_il_gobbo_44.6528_10.7817,Il Gobbo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/il_gobbo_44.6528_10.7817.json,custom
44.653419,10.781231,ov_caffetteria_pasticceria_castello_44.6534_10.7812,Caffetteria pasticceria Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/caffetteria_pasticceria_castello_44.6534_10.7812.json,custom
44.653421,10.781042,ov_caff__martini_44.6534_10.7810,Caffè Martini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/caff_martini_44.6534_10.7810.json,custom
44.653578,10.781616,ov_bar_spinelli_44.6536_10.7816,Bar Spinelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_spinelli_44.6536_10.7816.json,custom
44.653545,10.782257,ov_hermanos_bar_44.6535_10.7823,Hermanos bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/hermanos_bar_44.6535_10.7823.json,custom
44.653547,10.782246,ov_bar_principe_44.6535_10.7822,Bar Principe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_principe_44.6535_10.7822.json,custom
44.653634,10.782229,ov_principe_rubieracaf__44.6536_10.7822,Principe Rubieracafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/principe_rubieracaf_44.6536_10.7822.json,custom
44.653791,10.780928,ov_cafeteria_herberia_44.6538_10.7809,Cafeteria Herberia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/cafeteria_herberia_44.6538_10.7809.json,custom
44.654670,10.774201,ov_la_capsuleria_rubiera_44.6547_10.7742,La Capsuleria Rubiera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_capsuleria_rubiera_44.6547_10.7742.json,custom
44.653895,10.773824,ov_sunset_bar_44.6539_10.7738,Sunset Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/sunset_bar_44.6539_10.7738.json,custom
44.655126,10.770809,ov_bar_mirella_2_44.6551_10.7708,Bar Mirella 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/bar_mirella_2_44.6551_10.7708.json,custom
44.652036,10.773431,osm_giusto_spirito_44.6520_10.7734,Giusto Spirito,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/giusto_spirito_44.6520_10.7734.json,custom
44.649800,10.787382,osm_gusto_44.6498_10.7874,Gusto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/gusto_44.6498_10.7874.json,custom
44.678332,10.807634,ov_posture_pilates_studio_fontana_44.6783_10.8076,Posture Pilates Studio Fontana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/posture_pilates_studio_fontana_44.6783_10.8076.json,custom
44.663923,10.819016,ov_circolo_ippico_le_5_quercie_44.6639_10.8190,Circolo Ippico Le 5 Quercie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/circolo_ippico_le_5_quercie_44.6639_10.8190.json,custom
44.642273,10.777207,ov_pista_di_atletica_rubiera_44.6423_10.7772,Pista di Atletica Rubiera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pista_di_atletica_rubiera_44.6423_10.7772.json,custom
44.651074,10.780145,ov_centro_motoria_srl_44.6511_10.7801,Centro Motoria Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/centro_motoria_srl_44.6511_10.7801.json,custom
44.649110,10.787925,ov_palestra_bergianti_44.6491_10.7879,Palestra Bergianti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/palestra_bergianti_44.6491_10.7879.json,custom
44.644830,10.782540,ov_palabursi_44.6448_10.7825,PalaBursi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/palabursi_44.6448_10.7825.json,custom
44.658511,10.781047,ov_dance_for_life_asd_44.6585_10.7810,Dance For Life Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/dance_for_life_asd_44.6585_10.7810.json,custom
44.658210,10.778050,ov_palestra_california_fitness_44.6582_10.7781,Palestra California Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/palestra_california_fitness_44.6582_10.7781.json,custom
44.653408,10.786748,ov_aquanautic_store_44.6534_10.7867,Aquanautic store,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/aquanautic_store_44.6534_10.7867.json,custom
44.652670,10.780950,ov_champions__________________44.6527_10.7810,Champions - ΑΟ Αγ Στεφάνου,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/champions_-__44.6527_10.7810.json,custom
44.654840,10.774180,ov_pandamonio_jiu_jitsu_44.6548_10.7742,Pandamonio jiu-jitsu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/pandamonio_jiu-jitsu_44.6548_10.7742.json,custom
44.654850,10.773970,ov_california_fitness_44.6548_10.7740,California Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/california_fitness_44.6548_10.7740.json,custom
44.653278,10.773362,ov_body_flow_studio_44.6533_10.7734,Body Flow Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/body_flow_studio_44.6533_10.7734.json,custom
44.653619,10.773940,ov_curves_rubiera_44.6536_10.7739,Curves Rubiera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/curves_rubiera_44.6536_10.7739.json,custom
44.652808,10.772388,ov_box_42048_44.6528_10.7724,Box 42048,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/box_42048_44.6528_10.7724.json,custom
44.655268,10.771230,ov_palestra_my_gym_44.6553_10.7712,Palestra MY GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/palestra_my_gym_44.6553_10.7712.json,custom
44.653023,10.784496,ov_biblioteca_codro_di_rubiera_44.6530_10.7845,Biblioteca Codro di Rubiera,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/biblioteca_codro_di_rubiera_44.6530_10.7845.json,custom
44.653025,10.784401,osm_biblioteca_antonio_urceo_detto_codro_44.6530_10.7844,Biblioteca Antonio Urceo detto Codro,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/biblioteca_antonio_urceo_detto_codro_44.6530_10.7844.json,custom
44.654495,10.766491,ov_la_piadineria_44.6545_10.7665,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/rubiera/pages/la_piadineria_44.6545_10.7665.json,custom
