# lat,lng,id,name,building_type,type,url,page_type
# Mesoraca -- Tutti
39.093213,16.790940,ov_ospedale_mesoraca_39.0932_16.7909,Ospedale Mesoraca,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/ospedale_mesoraca_39.0932_16.7909.json,custom
39.077191,16.790702,ov_il_cavallino_39.0772_16.7907,Il cavallino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/il_cavallino_39.0772_16.7907.json,custom
39.078454,16.790505,ov_habanero_mesoraca_39.0785_16.7905,Habanero Mesoraca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/habanero_mesoraca_39.0785_16.7905.json,custom
39.080556,16.786918,ov_blue_angel_bar_39.0806_16.7869,Blue Angel Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/blue_angel_bar_39.0806_16.7869.json,custom
39.081303,16.788819,ov_bar_sportivo_39.0813_16.7888,Bar Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/bar_sportivo_39.0813_16.7888.json,custom
39.082600,16.787779,ov_bar_dello_sport_sisal_matchpoint_scommes_39.0826_16.7878,Bar Dello Sport sisal matchpoint Scommesse sportive,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/bar_dello_sport_sisal_matchpoint_scommes_39.0826_16.7878.json,custom
39.081326,16.787509,ov_e_lisbona_bar_39.0813_16.7875,E-Lisbona Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/e-lisbona_bar_39.0813_16.7875.json,custom
39.081587,16.787139,ov_fontana_elisa_39.0816_16.7871,Fontana Elisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/fontana_elisa_39.0816_16.7871.json,custom
39.081585,16.786352,ov_john_long_pub_39.0816_16.7864,John Long Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/john_long_pub_39.0816_16.7864.json,custom
39.081545,16.786355,ov_bar_pizzeria_rosticceria_del_ponte_39.0815_16.7864,Bar Pizzeria Rosticceria Del Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/bar_pizzeria_rosticceria_del_ponte_39.0815_16.7864.json,custom
39.081820,16.786100,ov_bar_la_dolce_vita_39.0818_16.7861,Bar La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/bar_la_dolce_vita_39.0818_16.7861.json,custom
39.085616,16.785538,ov_il_jaguaro_39.0856_16.7855,Il Jaguaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/il_jaguaro_39.0856_16.7855.json,custom
39.093248,16.787036,ov_palestra_di_falbo_39.0932_16.7870,Palestra di Falbo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/palestra_di_falbo_39.0932_16.7870.json,custom
39.082017,16.787624,ov_museo_civico_padre_reginaldo_tonin_39.0820_16.7876,Museo Civico Padre Reginaldo Tonin,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/museo_civico_padre_reginaldo_tonin_39.0820_16.7876.json,custom
39.075480,16.788276,osm_poste_italiane_39.0755_16.7883,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mesoraca/pages/poste_italiane_39.0755_16.7883.json,custom
