# lat,lng,id,name,building_type,type,url,page_type
# Torrevecchia Teatina -- Tutti
42.380042,14.211414,ov_hospice_42.3800_14.2114,Hospice,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/hospice_42.3800_14.2114.json,custom
42.381868,14.208822,ov_locanda_del_pescatore_42.3819_14.2088,Locanda del Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/locanda_del_pescatore_42.3819_14.2088.json,custom
42.381020,14.208570,ov_comune_torrevecchia_teatina_42.3810_14.2086,Comune Torrevecchia Teatina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/comune_torrevecchia_teatina_42.3810_14.2086.json,custom
42.379935,14.206764,ov_abruzzo_pizza_42.3799_14.2068,Abruzzo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/abruzzo_pizza_42.3799_14.2068.json,custom
42.379540,14.205843,ov_le_duchesse_42.3795_14.2058,Le Duchesse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/le_duchesse_42.3795_14.2058.json,custom
42.379008,14.221764,ov_ristorante_la_castellana_42.3790_14.2218,Ristorante La Castellana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/ristorante_la_castellana_42.3790_14.2218.json,custom
42.405536,14.238569,osm_la_fattoria_dal_1987_42.4055_14.2386,La Fattoria Dal 1987,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_fattoria_dal_1987_42.4055_14.2386.json,custom
42.397866,14.255685,osm_la_crusca_42.3979_14.2557,La Crusca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_crusca_42.3979_14.2557.json,custom
42.408864,14.258796,osm_al_prato_42.4089_14.2588,Al Prato,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/al_prato_42.4089_14.2588.json,custom
42.408374,14.241756,osm_circolo_belvedere_42.4084_14.2418,Circolo Belvedere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/circolo_belvedere_42.4084_14.2418.json,custom
42.379013,14.221718,osm_la_castellana_42.3790_14.2217,La Castellana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/la_castellana_42.3790_14.2217.json,custom
42.381918,14.208678,osm_trattoria_villa_obletter_42.3819_14.2087,Trattoria Villa Obletter,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/trattoria_villa_obletter_42.3819_14.2087.json,custom
42.401245,14.256809,ov_rio_cafe__42.4012_14.2568,Rio Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/rio_cafe_42.4012_14.2568.json,custom
42.381299,14.208261,ov_clara_caf__42.3813_14.2083,Clara Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/clara_caf_42.3813_14.2083.json,custom
42.399589,14.256013,osm_caff__87_42.3996_14.2560,Caffé 87,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/caff_87_42.3996_14.2560.json,custom
42.407517,14.258786,osm_alento_bar_42.4075_14.2588,Alento Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/alento_bar_42.4075_14.2588.json,custom
42.379001,14.221798,osm_bar_portioli_42.3790_14.2218,Bar Portioli,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/bar_portioli_42.3790_14.2218.json,custom
42.382584,14.212226,osm_vecchia_torre_42.3826_14.2122,Vecchia Torre,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/vecchia_torre_42.3826_14.2122.json,custom
42.381288,14.208278,osm_seccia_42.3813_14.2083,Seccia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/seccia_42.3813_14.2083.json,custom
42.391519,14.198408,osm_bar_petaccia_42.3915_14.1984,Bar Petaccia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/bar_petaccia_42.3915_14.1984.json,custom
42.391970,14.233435,ov_matrix_sport_center_42.3920_14.2334,Matrix Sport Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/matrix_sport_center_42.3920_14.2334.json,custom
42.381982,14.208807,ov_palestra_enjoy_fitness_42.3820_14.2088,Palestra Enjoy Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/palestra_enjoy_fitness_42.3820_14.2088.json,custom
42.381828,14.208800,ov_vip_metabolicenter_42.3818_14.2088,VIP Metabolicenter,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/vip_metabolicenter_42.3818_14.2088.json,custom
42.380356,14.207402,ov_billiardclub_torrevecchia_42.3804_14.2074,Billiardclub Torrevecchia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/billiardclub_torrevecchia_42.3804_14.2074.json,custom
42.379627,14.205646,ov_palestra_millefigure_42.3796_14.2056,Palestra Millefigure,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/palestra_millefigure_42.3796_14.2056.json,custom
42.381119,14.210987,ov_love_letters_museum_42.3811_14.2110,Love Letters Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/love_letters_museum_42.3811_14.2110.json,custom
42.381025,14.208841,ov_museo_etnografico_abiti_e_tessiture_trad_42.3810_14.2088,Museo Etnografico Abiti e Tessiture Tradizionali Abruzzesi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/museo_etnografico_abiti_e_tessiture_trad_42.3810_14.2088.json,custom
42.380592,14.207850,osm_poste_italiane_42.3806_14.2078,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/torrevecchia_teatina/pages/poste_italiane_42.3806_14.2078.json,custom
