# lat,lng,id,name,building_type,type,url,page_type
# russi -- Tutti
44.372217,12.031977,ov_ospedale_maccabelli_di_russi_44.3722_12.0320,Ospedale Maccabelli di Russi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ospedale_maccabelli_di_russi_44.3722_12.0320.json,custom
44.373095,12.031471,ov_romagnolo_pizza___kebab_44.3731_12.0315,Romagnolo Pizza & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/romagnolo_pizza_kebab_44.3731_12.0315.json,custom
44.372289,12.031233,ov_pizzeria_da_asporto_al_cento52_44.3723_12.0312,Pizzeria da Asporto Al Cento52,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/pizzeria_da_asporto_al_cento52_44.3723_12.0312.json,custom
44.372159,12.030729,ov_la_piadina_del_passatore_44.3722_12.0307,La Piadina del Passatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_piadina_del_passatore_44.3722_12.0307.json,custom
44.372030,12.033350,ov_ndujolio_44.3720_12.0334,Ndujolio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ndujolio_44.3720_12.0334.json,custom
44.372770,12.032550,ov_la_lisca_44.3728_12.0326,La Lisca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_lisca_44.3728_12.0326.json,custom
44.371042,12.032341,ov_rosticceria_furzena_44.3710_12.0323,Rosticceria Furzena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/rosticceria_furzena_44.3710_12.0323.json,custom
44.371232,12.034473,ov_la_vecchia_napoli_44.3712_12.0345,La Vecchia Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_vecchia_napoli_44.3712_12.0345.json,custom
44.373597,12.036988,ov_da_pino_ristorante_pizzeria_44.3736_12.0370,Da Pino Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/da_pino_ristorante_pizzeria_44.3736_12.0370.json,custom
44.373190,12.037624,ov_la_pinsa_44.3732_12.0376,La Pinsa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_pinsa_44.3732_12.0376.json,custom
44.373563,12.034034,ov_ristorante_pizzeria_hotel_morelli_44.3736_12.0340,Ristorante Pizzeria Hotel Morelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ristorante_pizzeria_hotel_morelli_44.3736_12.0340.json,custom
44.376003,12.028782,ov_la_mucca_viola_44.3760_12.0288,La Mucca Viola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/la_mucca_viola_44.3760_12.0288.json,custom
44.376825,12.006060,ov_m11_restaurant_44.3768_12.0061,M11 Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/m11_restaurant_44.3768_12.0061.json,custom
44.360916,12.012153,ov_yong_fa_russi_44.3609_12.0122,Yong Fa Russi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/yong_fa_russi_44.3609_12.0122.json,custom
44.337025,12.035467,ov_lincaran_dla_ca_vecia_44.3370_12.0355,Lincaran dla Ca Vecia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/lincaran_dla_ca_vecia_44.3370_12.0355.json,custom
44.330140,12.030882,ov_trattoria_da_luciano_44.3301_12.0309,Trattoria da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/trattoria_da_luciano_44.3301_12.0309.json,custom
44.356334,12.079030,ov_ristorante_la_cucoma_44.3563_12.0790,Ristorante La Cucoma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ristorante_la_cucoma_44.3563_12.0790.json,custom
44.386432,12.069706,ov_osteria_e_locanda_del_viaggiatore_44.3864_12.0697,Osteria e Locanda Del Viaggiatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/osteria_e_locanda_del_viaggiatore_44.3864_12.0697.json,custom
44.390640,12.070609,ov_mi_godo_la_pizza_44.3906_12.0706,mi godo la pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/mi_godo_la_pizza_44.3906_12.0706.json,custom
44.391542,12.072883,ov_hollywood_pizza___pizzeria_d_asporto_44.3915_12.0729,Hollywood pizza - pizzeria d'asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/hollywood_pizza_-_pizzeria_dasporto_44.3915_12.0729.json,custom
44.392064,12.068838,ov_artigeniale_44.3921_12.0688,Artigeniale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/artigeniale_44.3921_12.0688.json,custom
44.392721,12.075405,ov_pub_pizzeria_rotterdam_44.3927_12.0754,Pub Pizzeria Rotterdam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/pub_pizzeria_rotterdam_44.3927_12.0754.json,custom
44.393972,12.068704,ov_ristoro_del_panda_44.3940_12.0687,Ristoro del Panda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ristoro_del_panda_44.3940_12.0687.json,custom
44.398025,12.079840,ov_fulvio_piadina_di_maurizio_e_federica_44.3980_12.0798,Fulvio Piadina di Maurizio e Federica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/fulvio_piadina_di_maurizio_e_federica_44.3980_12.0798.json,custom
44.376811,12.005975,osm_m11_44.3768_12.0060,M11,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/m11_44.3768_12.0060.json,custom
44.336751,12.035795,osm_lincaran_dla_ca__vecia___agriturismo_44.3368_12.0358,Lincaran dla Ca' Vecia - Agriturismo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/lincaran_dla_ca_vecia_-_agriturismo_44.3368_12.0358.json,custom
44.384167,12.038971,ov_caffetteria_vienna_russi_44.3842_12.0390,Caffetteria Vienna Russi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/caffetteria_vienna_russi_44.3842_12.0390.json,custom
44.370359,12.037444,ov_cafeteria_the_goblins_44.3704_12.0374,Cafeteria The Goblins,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/cafeteria_the_goblins_44.3704_12.0374.json,custom
44.370354,12.033423,ov_bar_porta_nuova_44.3704_12.0334,Bar Porta Nuova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bar_porta_nuova_44.3704_12.0334.json,custom
44.371086,12.030618,ov_karica_cafe_44.3711_12.0306,Karica Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/karica_cafe_44.3711_12.0306.json,custom
44.372460,12.031233,ov_dblue_bar_44.3725_12.0312,Dblue bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/dblue_bar_44.3725_12.0312.json,custom
44.371720,12.032847,ov_caff__farini_44.3717_12.0328,Caffè Farini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/caff_farini_44.3717_12.0328.json,custom
44.371563,12.032116,ov_bar_centrale_44.3716_12.0321,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bar_centrale_44.3716_12.0321.json,custom
44.371160,12.032370,ov_wine_bar_caff__44.3712_12.0324,Wine Bar caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/wine_bar_caff_44.3712_12.0324.json,custom
44.371014,12.032272,ov_bar_cafe_latino_44.3710_12.0323,Bar Cafe Latino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bar_cafe_latino_44.3710_12.0323.json,custom
44.373545,12.036547,ov_blue_n_green_44.3735_12.0365,Blue'n Green,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bluen_green_44.3735_12.0365.json,custom
44.373457,12.036574,ov_blue_n_green_pub_44.3735_12.0366,Blue'n Green Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bluen_green_pub_44.3735_12.0366.json,custom
44.373181,12.037684,ov_ziggy_bar_44.3732_12.0377,Ziggy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ziggy_bar_44.3732_12.0377.json,custom
44.373217,12.037722,ov_i_portici_caffe_44.3732_12.0377,I Portici Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/i_portici_caffe_44.3732_12.0377.json,custom
44.356676,12.076402,ov_caffetteria_da_baldo_44.3567_12.0764,Caffetteria da Baldo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/caffetteria_da_baldo_44.3567_12.0764.json,custom
44.357870,12.081250,ov_baretto_mazzini_44.3579_12.0813,Baretto Mazzini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/baretto_mazzini_44.3579_12.0813.json,custom
44.359516,12.078826,ov_bar_operaia_stel_44.3595_12.0788,Bar Operaia Stel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bar_operaia_stel_44.3595_12.0788.json,custom
44.379410,12.090120,ov_casalemilio__centro_italo_norvegese_di_s_44.3794_12.0901,CasalEmilio. Centro italo-norvegese di studi musicali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/casalemilio_centro_italo-norvegese_di_st_44.3794_12.0901.json,custom
44.392519,12.068591,ov_donna_di_cuori_44.3925_12.0686,Donna di Cuori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/donna_di_cuori_44.3925_12.0686.json,custom
44.392625,12.074954,ov_bar_edera_44.3926_12.0750,Bar Edera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/bar_edera_44.3926_12.0750.json,custom
44.370983,12.042955,ov_palazzetto_dello_sport_fabio_valli_44.3710_12.0430,Palazzetto dello Sport Fabio Valli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/palazzetto_dello_sport_fabio_valli_44.3710_12.0430.json,custom
44.369852,12.043346,ov_centro_beach_tennis_russi_44.3699_12.0433,Centro Beach Tennis Russi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/centro_beach_tennis_russi_44.3699_12.0433.json,custom
44.370366,12.029033,ov_ars_gymnica_asd_44.3704_12.0290,Ars Gymnica asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/ars_gymnica_asd_44.3704_12.0290.json,custom
44.371320,12.033180,ov_circolo_jolly_anspi_russi_44.3713_12.0332,Circolo Jolly Anspi Russi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/circolo_jolly_anspi_russi_44.3713_12.0332.json,custom
44.372950,12.037520,ov_nowgym_h24_russi_44.3730_12.0375,NowGym H24 Russi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/nowgym_h24_russi_44.3730_12.0375.json,custom
44.373192,12.037327,ov_l_albero_d_oro_44.3732_12.0373,L'albero d'oro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/lalbero_doro_44.3732_12.0373.json,custom
44.386810,12.024420,ov_villa_romana_di_russi_44.3868_12.0244,Villa Romana di Russi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/villa_romana_di_russi_44.3868_12.0244.json,custom
44.369258,12.024027,ov_monumento_ai_caduti_44.3693_12.0240,Monumento ai Caduti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/monumento_ai_caduti_44.3693_12.0240.json,custom
44.361014,12.080384,ov_museo_della_vita_contadina_in_romagna_44.3610_12.0804,Museo della Vita Contadina in Romagna,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/museo_della_vita_contadina_in_romagna_44.3610_12.0804.json,custom
44.373198,12.036677,ov_biblioteca_comunale_44.3732_12.0367,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/russi/pages/biblioteca_comunale_44.3732_12.0367.json,custom
