# lat,lng,id,name,building_type,type,url,page_type
# brescello -- Tutti
44.897953,10.509588,ov_ospedale_a_brescello_44.8980_10.5096,Ospedale a Brescello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/ospedale_a_brescello_44.8980_10.5096.json,custom
44.901336,10.515315,ov_don_camillo_e_peppone_44.9013_10.5153,Don camillo e Peppone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/don_camillo_e_peppone_44.9013_10.5153.json,custom
44.901311,10.515363,ov_caffe_peppone_44.9013_10.5154,Caffe Peppone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/caffe_peppone_44.9013_10.5154.json,custom
44.901602,10.515489,ov_caff__don_camillo_44.9016_10.5155,Caffè Don Camillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/caff_don_camillo_44.9016_10.5155.json,custom
44.894425,10.512568,ov_urban_dance_studio_44.8944_10.5126,Urban Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/urban_dance_studio_44.8944_10.5126.json,custom
44.900026,10.518402,ov_a_s_d_giuseppe_verdi_44.9000_10.5184,A.S.D Giuseppe Verdi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/asd_giuseppe_verdi_44.9000_10.5184.json,custom
44.900774,10.514676,ov_museo_di_don_camillo_e_peppone_44.9008_10.5147,Museo di Don Camillo e Peppone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/museo_di_don_camillo_e_peppone_44.9008_10.5147.json,custom
44.900788,10.514372,ov_biblioteca_comunale_panizzi_brescello_44.9008_10.5144,Biblioteca Comunale Panizzi Brescello,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/biblioteca_comunale_panizzi_brescello_44.9008_10.5144.json,custom
44.795360,10.448960,ov_bar_pizzeria_trattoria_44.7954_10.4490,Bar pizzeria trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/bar_pizzeria_trattoria_44.7954_10.4490.json,custom
44.844580,10.463360,ov_pizza_time_2_44.8446_10.4634,Pizza Time 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/pizza_time_2_44.8446_10.4634.json,custom
44.845855,10.460904,ov_arte_pizza___sorbolo_levante_44.8459_10.4609,Arte Pizza - Sorbolo Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/arte_pizza_-_sorbolo_levante_44.8459_10.4609.json,custom
44.845530,10.460271,ov_cantina_bersellini___lambrusco_don_camil_44.8455_10.4603,Cantina Bersellini - Lambrusco Don Camillo & Lambrusco Peppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/cantina_bersellini_-_lambrusco_don_camil_44.8455_10.4603.json,custom
44.846570,10.461922,ov_la_tavernetta_del_lupo_44.8466_10.4619,La Tavernetta del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/la_tavernetta_del_lupo_44.8466_10.4619.json,custom
44.850332,10.465987,ov_bar_ristorante_self_service_la_cisa_44.8503_10.4660,Bar Ristorante Self Service La Cisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/bar_ristorante_self_service_la_cisa_44.8503_10.4660.json,custom
44.866181,10.470944,ov_nero_ink_ristobar_44.8662_10.4709,NERO INK ristobar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/nero_ink_ristobar_44.8662_10.4709.json,custom
44.902972,10.495787,ov_osteria_la_golena_44.9030_10.4958,Osteria La Golena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/osteria_la_golena_44.9030_10.4958.json,custom
44.847400,10.462010,ov_green_park_44.8474_10.4620,Green Park,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/green_park_44.8474_10.4620.json,custom
44.847213,10.461974,ov_cooperativa_tempo_libero_al_parco_44.8472_10.4620,Cooperativa Tempo Libero al Parco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/cooperativa_tempo_libero_al_parco_44.8472_10.4620.json,custom
44.903881,10.494684,ov_zoo_ranch_44.9039_10.4947,Zoo Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brescello/pages/zoo_ranch_44.9039_10.4947.json,custom
