# lat,lng,id,name,building_type,type,url,page_type
# Sarnico -- Tutti
45.668763,9.953876,ov_habilita_ospedale_faccanoni_45.6688_9.9539,Habilita Ospedale Faccanoni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/habilita_ospedale_faccanoni_45.6688_9.9539.json,custom
45.671040,9.951686,ov_ristobar_di_perletti_lory__keropetrol__45.6710_9.9517,Ristobar di Perletti Lory (Keropetrol),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/ristobar_di_perletti_lory_keropetrol_45.6710_9.9517.json,custom
45.672119,9.951332,ov_la_svolta_45.6721_9.9513,La Svolta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_svolta_45.6721_9.9513.json,custom
45.683119,9.951566,ov_locanda_vecchio_mulino_45.6831_9.9516,Locanda Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/locanda_vecchio_mulino_45.6831_9.9516.json,custom
45.679833,9.953652,ov_locanda_cascina_boneta_45.6798_9.9537,Locanda Cascina Boneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/locanda_cascina_boneta_45.6798_9.9537.json,custom
45.678065,9.996231,ov_baijarong_thai_restaurant_45.6781_9.9962,Baijarong Thai Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/baijarong_thai_restaurant_45.6781_9.9962.json,custom
45.673487,9.974912,ov_la_pagoda_di_eolo_45.6735_9.9749,La Pagoda di Eolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_pagoda_di_eolo_45.6735_9.9749.json,custom
45.672943,9.963906,ov_ristorante_panorama_snc_45.6729_9.9639,Ristorante Panorama SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/ristorante_panorama_snc_45.6729_9.9639.json,custom
45.671074,9.964686,ov_pizza_time_by_sergio_benigna_45.6711_9.9647,Pizza Time by Sergio Benigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/pizza_time_by_sergio_benigna_45.6711_9.9647.json,custom
45.670942,9.961789,ov_xin_da_s_a_s__di_lifen_chen_45.6709_9.9618,Xin Da S.A.S. Di Lifen Chen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/xin_da_sas_di_lifen_chen_45.6709_9.9618.json,custom
45.669395,9.966841,ov_la_baia_sarnico_45.6694_9.9668,La Baia Sarnico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_baia_sarnico_45.6694_9.9668.json,custom
45.668560,9.963510,ov_myshibuya_sushi_point_45.6686_9.9635,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/myshibuya_sushi_point_45.6686_9.9635.json,custom
45.667208,9.963490,ov_dehors_cafe_45.6672_9.9635,Dehors Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/dehors_cafe_45.6672_9.9635.json,custom
45.666472,9.958315,ov_riccardo_restaurant_45.6665_9.9583,Riccardo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/riccardo_restaurant_45.6665_9.9583.json,custom
45.665989,9.958380,ov_l_altro_pizzicotto_sarnico_45.6660_9.9584,L'altro pizzicotto Sarnico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/laltro_pizzicotto_sarnico_45.6660_9.9584.json,custom
45.665811,9.959079,ov_al_tram_45.6658_9.9591,Al Tram,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/al_tram_45.6658_9.9591.json,custom
45.665734,9.959836,ov_la_riva_del_lago___bar_piadineria_45.6657_9.9598,La riva del lago - Bar Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_riva_del_lago_-_bar_piadineria_45.6657_9.9598.json,custom
45.667493,9.957423,osm_pizzeria_d_asporto_da_maria_45.6675_9.9574,Pizzeria d'asporto da Maria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/pizzeria_dasporto_da_maria_45.6675_9.9574.json,custom
45.679984,9.953394,osm_cascina_boneta_45.6800_9.9534,Cascina Boneta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/cascina_boneta_45.6800_9.9534.json,custom
45.666396,9.957705,ov_barboss_bistrot_e_caffetteria_45.6664_9.9577,Barboss Bistrot e Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/barboss_bistrot_e_caffetteria_45.6664_9.9577.json,custom
45.666422,9.956812,ov_bar_centrale_45.6664_9.9568,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/bar_centrale_45.6664_9.9568.json,custom
45.666594,9.957222,ov_enoteca_tresanda_45.6666_9.9572,Enoteca Tresanda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/enoteca_tresanda_45.6666_9.9572.json,custom
45.666911,9.958161,ov_terroir_45.6669_9.9582,Terroir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/terroir_45.6669_9.9582.json,custom
45.666861,9.956934,ov_no_stress_pub_45.6669_9.9569,No Stress Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/no_stress_pub_45.6669_9.9569.json,custom
45.666870,9.956081,ov_bar_infinito_45.6669_9.9561,Bar Infinito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/bar_infinito_45.6669_9.9561.json,custom
45.667200,9.956068,ov_fuori_orario_45.6672_9.9561,Fuori Orario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/fuori_orario_45.6672_9.9561.json,custom
45.667317,9.954955,ov_orgnieri_viale_di_vino_45.6673_9.9550,Orgnieri Viale Di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/orgnieri_viale_di_vino_45.6673_9.9550.json,custom
45.667722,9.957755,ov_blue_bar_45.6677_9.9578,Blue Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/blue_bar_45.6677_9.9578.json,custom
45.667923,9.957331,ov_la_piazzetta_45.6679_9.9573,La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/la_piazzetta_45.6679_9.9573.json,custom
45.668529,9.956514,ov_pizzeria_paris_45.6685_9.9565,Pizzeria PARIS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/pizzeria_paris_45.6685_9.9565.json,custom
45.668877,9.949222,ov_da_jessica_45.6689_9.9492,Da Jessica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/da_jessica_45.6689_9.9492.json,custom
45.669394,9.953198,ov_caffe_31_45.6694_9.9532,Caffe 31,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/caffe_31_45.6694_9.9532.json,custom
45.669755,9.957487,ov_circolo_la_famiglia_45.6698_9.9575,Circolo La Famiglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/circolo_la_famiglia_45.6698_9.9575.json,custom
45.670988,9.949939,ov_miko_45.6710_9.9499,Miko,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/miko_45.6710_9.9499.json,custom
45.674169,9.976324,ov_playa_di_andrea_ziliani_45.6742_9.9763,Playa di Andrea Ziliani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/playa_di_andrea_ziliani_45.6742_9.9763.json,custom
45.669810,9.963419,ov_g_g_champagnes_45.6698_9.9634,G&G Champagnes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/gg_champagnes_45.6698_9.9634.json,custom
45.667518,9.958922,ov_caffe_roma_45.6675_9.9589,Caffe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/caffe_roma_45.6675_9.9589.json,custom
45.666977,9.959141,ov_bici_caffe_45.6670_9.9591,Bici Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/bici_caffe_45.6670_9.9591.json,custom
45.667242,9.963476,ov_swings_dehors_45.6672_9.9635,Swings Dehors,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/swings_dehors_45.6672_9.9635.json,custom
45.666227,9.961405,ov_fogg_45.6662_9.9614,Fogg,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/fogg_45.6662_9.9614.json,custom
45.665804,9.960361,ov_bar_san_marco_45.6658_9.9604,Bar San Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/bar_san_marco_45.6658_9.9604.json,custom
45.665695,9.959743,ov_delu_45.6657_9.9597,Delu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/delu_45.6657_9.9597.json,custom
45.666093,9.960122,osm_mr_donkey_45.6661_9.9601,Mr Donkey,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/mr_donkey_45.6661_9.9601.json,custom
45.667204,9.963481,osm_dehors_caf__45.6672_9.9635,Dehors Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/dehors_caf_45.6672_9.9635.json,custom
45.669810,9.952750,ov_gdm_italiana__sarnico_45.6698_9.9527,Gdm Italiana  Sarnico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/gdm_italiana_sarnico_45.6698_9.9527.json,custom
45.670627,9.954848,ov_a_s_d__boxe_sebino_45.6706_9.9548,A.S.D. Boxe Sebino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/asd_boxe_sebino_45.6706_9.9548.json,custom
45.672432,9.951556,ov_mytraining_sarnico_45.6724_9.9516,MyTraining Sarnico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/mytraining_sarnico_45.6724_9.9516.json,custom
45.673715,9.966822,ov_corporespiro_studio_45.6737_9.9668,CorpoRespiro Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/corporespiro_studio_45.6737_9.9668.json,custom
45.673623,9.966488,ov_francesco_belotti_45.6736_9.9665,Francesco Belotti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/francesco_belotti_45.6736_9.9665.json,custom
45.672240,9.970130,ov_atp_fitness_aesthetic_training_performan_45.6722_9.9701,ATP fitness Aesthetic Training Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/atp_fitness_aesthetic_training_performan_45.6722_9.9701.json,custom
45.669320,9.960490,ov_thegymgame_sarnico_45.6693_9.9605,Thegymgame Sarnico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/thegymgame_sarnico_45.6693_9.9605.json,custom
45.666804,9.960047,ov_enjoydance_sarnico_45.6668_9.9600,enjoydance Sarnico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/enjoydance_sarnico_45.6668_9.9600.json,custom
45.666513,9.958915,ov_yo_go_yogo_and_go_45.6665_9.9589,Yo-Go Yogo and Go,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/yo-go_yogo_and_go_45.6665_9.9589.json,custom
45.667054,9.957672,ov_museo_civico_d_arte_e_del_territorio_gia_45.6671_9.9577,Museo Civico d'Arte e del Territorio Gianni Bellini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/museo_civico_darte_e_del_territorio_gian_45.6671_9.9577.json,custom
45.667050,9.958098,ov_biblioteca_di_sarnico_45.6670_9.9581,Biblioteca di Sarnico,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sarnico/pages/biblioteca_di_sarnico_45.6670_9.9581.json,custom
