# lat,lng,id,name,building_type,type,url,page_type
# recco -- Tutti
44.365755,9.144736,ov_ex_ospedale_sant_antonio_44.3658_9.1447,Ex Ospedale Sant'Antonio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ex_ospedale_santantonio_44.3658_9.1447.json,custom
44.363966,9.146055,ov_o_fugassa_44.3640_9.1461,O Fugassa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/o_fugassa_44.3640_9.1461.json,custom
44.361530,9.145525,ov_ristorante_alfredo_44.3615_9.1455,Ristorante Alfredo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ristorante_alfredo_44.3615_9.1455.json,custom
44.360746,9.145038,ov_il_rusticone___recco_44.3607_9.1450,Il Rusticone - Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/il_rusticone_-_recco_44.3607_9.1450.json,custom
44.360660,9.149340,ov_il_cuoco_pescatore_e_l_ittiturismo_lecar_44.3607_9.1493,Il Cuoco Pescatore e l'ittiturismo Lecardónaie du Pescòu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/il_cuoco_pescatore_e_littiturismo_lecard_44.3607_9.1493.json,custom
44.359727,9.143165,ov_la_baracchetta_di_biagio_44.3597_9.1432,La Baracchetta di Biagio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/la_baracchetta_di_biagio_44.3597_9.1432.json,custom
44.360611,9.143105,ov_la_caladda_recco_44.3606_9.1431,La Caladda Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/la_caladda_recco_44.3606_9.1431.json,custom
44.360540,9.138436,ov_pescotto_44.3605_9.1384,Pescotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/pescotto_44.3605_9.1384.json,custom
44.360982,9.143364,ov_pizza___co__44.3610_9.1434,Pizza & Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/pizza_co_44.3610_9.1434.json,custom
44.360948,9.142119,ov_orizzonte_44.3609_9.1421,Orizzonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/orizzonte_44.3609_9.1421.json,custom
44.361019,9.142193,ov_aroma_44.3610_9.1422,Aroma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/aroma_44.3610_9.1422.json,custom
44.361171,9.143359,ov_quartiere_bastia_44.3612_9.1434,Quartiere Bastia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/quartiere_bastia_44.3612_9.1434.json,custom
44.361225,9.141540,ov_bagni_marina_ristorante_44.3612_9.1415,Bagni Marina Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bagni_marina_ristorante_44.3612_9.1415.json,custom
44.361082,9.139503,ov_event_beach_recco_44.3611_9.1395,Event Beach Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/event_beach_recco_44.3611_9.1395.json,custom
44.361502,9.143196,ov_mamma_mia_44.3615_9.1432,Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/mamma_mia_44.3615_9.1432.json,custom
44.361615,9.142135,ov_i_toscano_recco_44.3616_9.1421,I-Toscano Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/i-toscano_recco_44.3616_9.1421.json,custom
44.361932,9.140284,ov_la_finestra_sul_golfo_44.3619_9.1403,La Finestra sul Golfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/la_finestra_sul_golfo_44.3619_9.1403.json,custom
44.368349,9.143975,ov_ristorante_osteria_da_bicesco_44.3683_9.1440,Ristorante Osteria da Bicesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ristorante_osteria_da_bicesco_44.3683_9.1440.json,custom
44.368972,9.150521,ov_ristorante_manuelina_44.3690_9.1505,Ristorante Manuelina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ristorante_manuelina_44.3690_9.1505.json,custom
44.370508,9.156274,ov_osteria_la_baita_44.3705_9.1563,Osteria La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/osteria_la_baita_44.3705_9.1563.json,custom
44.371800,9.150553,ov_un_angolo_di_bonta_44.3718_9.1506,Un Angolo di Bonta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/un_angolo_di_bonta_44.3718_9.1506.json,custom
44.372534,9.150667,ov_vitturin_44.3725_9.1507,Vitturin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/vitturin_44.3725_9.1507.json,custom
44.377150,9.152987,ov_da_angelo_44.3771_9.1530,Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/da_angelo_44.3771_9.1530.json,custom
44.363219,9.143319,osm_pizzeria_del_ponte_44.3632_9.1433,Pizzeria Del Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/pizzeria_del_ponte_44.3632_9.1433.json,custom
44.366423,9.146873,osm_osteria_del_vastato_44.3664_9.1469,Osteria del Vastato,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/osteria_del_vastato_44.3664_9.1469.json,custom
44.361070,9.139587,osm_ten_restaurants_recco_44.3611_9.1396,Ten Restaurants Recco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ten_restaurants_recco_44.3611_9.1396.json,custom
44.361839,9.141959,osm_fondo_44.3618_9.1420,Fondo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/fondo_44.3618_9.1420.json,custom
44.361053,9.143437,osm_poke_musse_44.3611_9.1434,Poke Musse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/poke_musse_44.3611_9.1434.json,custom
44.364779,9.146880,ov_karma_kaffe_44.3648_9.1469,Karma Kaffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/karma_kaffe_44.3648_9.1469.json,custom
44.365020,9.145783,ov_bar_ausonia_44.3650_9.1458,Bar Ausonia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_ausonia_44.3650_9.1458.json,custom
44.365073,9.144921,ov_bar_massone_44.3651_9.1449,Bar Massone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_massone_44.3651_9.1449.json,custom
44.363360,9.135420,ov_lungomare_di_recco_44.3634_9.1354,Lungomare di Recco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/lungomare_di_recco_44.3634_9.1354.json,custom
44.362010,9.142714,ov_bar_gardella_44.3620_9.1427,Bar Gardella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_gardella_44.3620_9.1427.json,custom
44.362272,9.144583,ov_bar_l_angolo_del_caffe_44.3623_9.1446,Bar L'Angolo del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_langolo_del_caffe_44.3623_9.1446.json,custom
44.362851,9.144728,ov_bocchia_caffe_44.3629_9.1447,Bocchia Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bocchia_caffe_44.3629_9.1447.json,custom
44.363943,9.144578,ov_molly_s_bar_44.3639_9.1446,Molly's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/mollys_bar_44.3639_9.1446.json,custom
44.364364,9.146549,ov_bar_peragallo_44.3644_9.1465,Bar Peragallo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_peragallo_44.3644_9.1465.json,custom
44.360833,9.143278,ov_ippocampo_44.3608_9.1433,Ippocampo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ippocampo_44.3608_9.1433.json,custom
44.361045,9.142448,ov_il_baretto_di_ivo_44.3610_9.1424,il baretto di Ivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/il_baretto_di_ivo_44.3610_9.1424.json,custom
44.361293,9.143293,ov_tom_s_bar_44.3613_9.1433,Tom's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/toms_bar_44.3613_9.1433.json,custom
44.361530,9.143722,ov_bar_sport_recco_44.3615_9.1437,Bar Sport Recco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_sport_recco_44.3615_9.1437.json,custom
44.361756,9.142377,ov_bar_orchidea_44.3618_9.1424,Bar Orchidea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_orchidea_44.3618_9.1424.json,custom
44.361712,9.143132,ov_la_perla_44.3617_9.1431,La Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/la_perla_44.3617_9.1431.json,custom
44.361826,9.141820,ov_il_fondo_birreria_44.3618_9.1418,Il Fondo Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/il_fondo_birreria_44.3618_9.1418.json,custom
44.372218,9.150945,ov_bar_mario_44.3722_9.1509,Bar Mario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_mario_44.3722_9.1509.json,custom
44.375250,9.150990,ov_bar_del_campo_44.3753_9.1510,Bar Del Campo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bar_del_campo_44.3753_9.1510.json,custom
44.379342,9.155732,ov_il_pianeta_44.3793_9.1557,Il Pianeta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/il_pianeta_44.3793_9.1557.json,custom
44.364270,9.143850,ov_asd_ginnastica_recco_44.3643_9.1439,ASD Ginnastica Recco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/asd_ginnastica_recco_44.3643_9.1439.json,custom
44.362371,9.140738,ov_prorecco_arrampicata_44.3624_9.1407,ProRecco Arrampicata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/prorecco_arrampicata_44.3624_9.1407.json,custom
44.362231,9.141599,ov_bubble_lounge_diving_44.3622_9.1416,Bubble Lounge Diving,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/bubble_lounge_diving_44.3622_9.1416.json,custom
44.361970,9.143763,ov_personal_trainer_studio_pilates_44.3620_9.1438,Personal Trainer Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/personal_trainer_studio_pilates_44.3620_9.1438.json,custom
44.363185,9.145905,ov_gong_studio_pilates_recco_44.3632_9.1459,GONG Studio Pilates Recco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/gong_studio_pilates_recco_44.3632_9.1459.json,custom
44.360150,9.145900,ov_olympia_gym_fitness_divertimento_44.3601_9.1459,Olympia GYM fitness&divertimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/olympia_gym_fitnessdivertimento_44.3601_9.1459.json,custom
44.360066,9.145860,ov_la_scuola_di_danza_di_recco_44.3601_9.1459,La Scuola di Danza di Recco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/la_scuola_di_danza_di_recco_44.3601_9.1459.json,custom
44.358472,9.150038,ov_eden_gym_44.3585_9.1500,Eden Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/eden_gym_44.3585_9.1500.json,custom
44.359052,9.144671,ov_a_s__sub_recco_44.3591_9.1447,A.S. Sub Recco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/as_sub_recco_44.3591_9.1447.json,custom
44.360461,9.138561,ov_manta_sub_recco_44.3605_9.1386,Manta Sub Recco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/manta_sub_recco_44.3605_9.1386.json,custom
44.360768,9.143703,ov_laboratorio_di_movimento_44.3608_9.1437,Laboratorio di Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/laboratorio_di_movimento_44.3608_9.1437.json,custom
44.361606,9.141780,ov_blackwave_surf_school_44.3616_9.1418,Blackwave Surf School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/blackwave_surf_school_44.3616_9.1418.json,custom
44.368301,9.147038,ov_health_club_44.3683_9.1470,Health Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/health_club_44.3683_9.1470.json,custom
44.369739,9.148151,ov_pro_recco_gym_club_44.3697_9.1482,Pro Recco Gym Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/pro_recco_gym_club_44.3697_9.1482.json,custom
44.369827,9.148232,ov_studio_body_mind_pilates_44.3698_9.1482,Studio Body Mind Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/studio_body_mind_pilates_44.3698_9.1482.json,custom
44.369822,9.148629,ov_ab_studio_44.3698_9.1486,AB Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/ab_studio_44.3698_9.1486.json,custom
44.369857,9.148264,ov_studio_yoga_letizia_44.3699_9.1483,Studio Yoga Letizia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/studio_yoga_letizia_44.3699_9.1483.json,custom
44.370690,9.149090,ov_fit___dance_44.3707_9.1491,Fit & Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/fit_dance_44.3707_9.1491.json,custom
44.371820,9.149910,ov_marcella_capizzi_44.3718_9.1499,Marcella Capizzi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/marcella_capizzi_44.3718_9.1499.json,custom
44.360248,9.143146,osm_poste_italiane_44.3602_9.1431,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/poste_italiane_44.3602_9.1431.json,custom
44.362623,9.142080,ov_biblioteca_civica_ippolito_d_aste_44.3626_9.1421,Biblioteca Civica Ippolito D'Aste,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/recco/pages/biblioteca_civica_ippolito_daste_44.3626_9.1421.json,custom
