# lat,lng,id,name,building_type,type,url,page_type
# muravera -- Tutti
39.420649,9.570067,ov_ospedale_san_marcellino_39.4206_9.5701,Ospedale San Marcellino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ospedale_san_marcellino_39.4206_9.5701.json,custom
39.251654,9.571613,ov_cocktail_garden_39.2517_9.5716,Cocktail garden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/cocktail_garden_39.2517_9.5716.json,custom
39.247943,9.572565,ov_dream_lounge_beach_bar_39.2479_9.5726,Dream Lounge Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/dream_lounge_beach_bar_39.2479_9.5726.json,custom
39.244399,9.571119,ov_chiosco_chaplin_39.2444_9.5711,Chiosco Chaplin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/chiosco_chaplin_39.2444_9.5711.json,custom
39.250135,9.574027,ov_rogerrabbit_costarei_39.2501_9.5740,rogerrabbit.costarei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/rogerrabbitcostarei_39.2501_9.5740.json,custom
39.251462,9.574131,ov_jessy_beach_39.2515_9.5741,Jessy Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/jessy_beach_39.2515_9.5741.json,custom
39.266199,9.582251,ov_peperoncino_marino_ristorante___bar_sull_39.2662_9.5823,Peperoncino Marino Ristorante & Bar sulla spiaggia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/peperoncino_marino_ristorante_bar_sulla__39.2662_9.5823.json,custom
39.296797,9.608657,ov_bar_pizzeria_capo_ferrato_39.2968_9.6087,Bar Pizzeria Capo Ferrato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/bar_pizzeria_capo_ferrato_39.2968_9.6087.json,custom
39.360421,9.599082,ov_nicla_beach_bar_39.3604_9.5991,Nicla Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/nicla_beach_bar_39.3604_9.5991.json,custom
39.420956,9.575092,osm_bar_centrale_39.4210_9.5751,Bar CentrAle,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/bar_centrale_39.4210_9.5751.json,custom
39.425294,9.561731,ov_acquademia_sportiva_39.4253_9.5617,Acquademia Sportiva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/acquademia_sportiva_39.4253_9.5617.json,custom
39.275540,9.580910,ov_kitezone_costa_rei_39.2755_9.5809,KiteZone Costa Rei,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/kitezone_costa_rei_39.2755_9.5809.json,custom
39.374613,9.599627,ov_diving_center_4_mori_39.3746_9.5996,Diving Center 4 Mori,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/diving_center_4_mori_39.3746_9.5996.json,custom
39.419825,9.574580,ov_portico_petretto_39.4198_9.5746,Portico Petretto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/portico_petretto_39.4198_9.5746.json,custom
39.419577,9.577208,ov_mif_museo_dell_imprenditorialit__femmini_39.4196_9.5772,MIF Museo Dell'Imprenditorialità Femminile,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/mif_museo_dellimprenditorialit_femminile_39.4196_9.5772.json,custom
39.418706,9.576743,ov_museo_casa_dei_candelai_muravera___mif_39.4187_9.5767,Museo Casa dei Candelai Muravera - MIF,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/museo_casa_dei_candelai_muravera_-_mif_39.4187_9.5767.json,custom
39.422008,9.575617,osm_ufficio_postale_di_muravera_39.4220_9.5756,Ufficio Postale di Muravera,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/ufficio_postale_di_muravera_39.4220_9.5756.json,custom
39.419513,9.577720,ov_biblioteca_comunale_39.4195_9.5777,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/muravera/pages/biblioteca_comunale_39.4195_9.5777.json,custom
