# lat,lng,id,name,building_type,type,url,page_type
# castel_san_giovanni -- Tutti
45.057147,9.439742,ov_due_emme_di_malchiodi_marisa_45.0571_9.4397,Due Emme di Malchiodi Marisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/due_emme_di_malchiodi_marisa_45.0571_9.4397.json,custom
45.058104,9.447379,ov_bar_il_castello_45.0581_9.4474,Bar Il Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_il_castello_45.0581_9.4474.json,custom
45.060479,9.436097,ov_bar_la_fenice_45.0605_9.4361,Bar La Fenice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_la_fenice_45.0605_9.4361.json,custom
45.060318,9.437292,ov_pasticceria_bar_pancaff__45.0603_9.4373,Pasticceria-bar Pancaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/pasticceria-bar_pancaff_45.0603_9.4373.json,custom
45.059382,9.436023,ov_anetho_45.0594_9.4360,Anetho,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/anetho_45.0594_9.4360.json,custom
45.059254,9.435996,ov_caffetteria_mazzini_45.0593_9.4360,Caffetteria Mazzini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/caffetteria_mazzini_45.0593_9.4360.json,custom
45.058723,9.438970,ov_jesi_caff__45.0587_9.4390,Jesi Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/jesi_caff_45.0587_9.4390.json,custom
45.058379,9.439380,ov_bar_oasi_45.0584_9.4394,Bar Oasi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_oasi_45.0584_9.4394.json,custom
45.058848,9.436017,ov_teatro_caff__45.0588_9.4360,Teatro Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/teatro_caff_45.0588_9.4360.json,custom
45.058891,9.435027,ov_il_barino_45.0589_9.4350,Il Barino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/il_barino_45.0589_9.4350.json,custom
45.058870,9.436460,ov_korova_milk_bar_45.0589_9.4365,Korova Milk Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/korova_milk_bar_45.0589_9.4365.json,custom
45.059019,9.434639,ov_bar_moroni_45.0590_9.4346,Bar Moroni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_moroni_45.0590_9.4346.json,custom
45.058890,9.434940,ov_101_caff__castel_san_giovanni_45.0589_9.4349,101 caffè Castel San Giovanni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/101_caff_castel_san_giovanni_45.0589_9.4349.json,custom
45.059144,9.430961,ov_dalla_vale_45.0591_9.4310,dalla Vale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/dalla_vale_45.0591_9.4310.json,custom
45.059108,9.431596,ov_bar_impero_45.0591_9.4316,Bar Impero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_impero_45.0591_9.4316.json,custom
45.059583,9.424332,ov_bar_la_sosta_45.0596_9.4243,Bar La Sosta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_la_sosta_45.0596_9.4243.json,custom
45.057167,9.438111,ov_bar_al_viale_45.0572_9.4381,Bar Al Viale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bar_al_viale_45.0572_9.4381.json,custom
45.057007,9.436806,ov_vintage_cafe_45.0570_9.4368,Vintage Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/vintage_cafe_45.0570_9.4368.json,custom
45.054772,9.434127,ov_noir_caffe_45.0548_9.4341,Noir Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/noir_caffe_45.0548_9.4341.json,custom
45.054633,9.429750,ov_baitino_45.0546_9.4298,Baitino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/baitino_45.0546_9.4298.json,custom
45.058606,9.433818,osm_d_a_bar_45.0586_9.4338,D.A BAR,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/da_bar_45.0586_9.4338.json,custom
45.058220,9.438872,osm_il_gelatiere_dal_1984_45.0582_9.4389,Il Gelatiere dal 1984,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/il_gelatiere_dal_1984_45.0582_9.4389.json,custom
45.062481,9.426976,ov_area_sport_45.0625_9.4270,Area Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/area_sport_45.0625_9.4270.json,custom
45.062551,9.426583,ov_centro_fitness_gymnasium_club_castel_san_45.0626_9.4266,Centro Fitness Gymnasium Club Castel San Giovanni (PC),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/centro_fitness_gymnasium_club_castel_san_45.0626_9.4266.json,custom
45.062622,9.426536,ov_palestra_new_ego_cross_training_45.0626_9.4265,Palestra New EGO-Cross Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/palestra_new_ego-cross_training_45.0626_9.4265.json,custom
45.062670,9.430730,ov_movimento_danza___castel_san_giovanni_45.0627_9.4307,Movimento Danza - Castel San Giovanni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/movimento_danza_-_castel_san_giovanni_45.0627_9.4307.json,custom
45.064199,9.460832,ov_101__off_road_mtb_school_45.0642_9.4608,101% Off Road MTB School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/101_off_road_mtb_school_45.0642_9.4608.json,custom
45.056135,9.448941,ov_palestra_inexorable_fitness_45.0561_9.4489,Palestra Inexorable Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/palestra_inexorable_fitness_45.0561_9.4489.json,custom
45.057818,9.434582,ov_maitri_yoga_asd_45.0578_9.4346,Maitri yoga Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/maitri_yoga_asd_45.0578_9.4346.json,custom
45.054133,9.436150,ov_palestra_gym_center_45.0541_9.4362,Palestra Gym Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/palestra_gym_center_45.0541_9.4362.json,custom
45.050279,9.434634,ov_palazzetto_dello_sport_borgonovo_v_t__45.0503_9.4346,Palazzetto Dello Sport Borgonovo V.t.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/palazzetto_dello_sport_borgonovo_vt_45.0503_9.4346.json,custom
45.053186,9.442737,ov_bowling_castellano_45.0532_9.4427,Bowling Castellano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/bowling_castellano_45.0532_9.4427.json,custom
45.058852,9.443907,ov_museo_etnografico_della_val_tidone_45.0589_9.4439,Museo Etnografico della Val Tidone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/museo_etnografico_della_val_tidone_45.0589_9.4439.json,custom
45.375930,9.404237,ov_biblioteca_comunale_primo_levi_45.3759_9.4042,Biblioteca Comunale Primo Levi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_san_giovanni/pages/biblioteca_comunale_primo_levi_45.3759_9.4042.json,custom
