# lat,lng,id,name,building_type,type,url,page_type
# Buccinasco -- Tutti
45.421782,9.121218,ov_farmacia_comunale_buccinasco_45.4218_9.1212,Farmacia Comunale Buccinasco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/farmacia_comunale_buccinasco_45.4218_9.1212.json,custom
45.421741,9.122054,ov_american_barbecue_milano_45.4217_9.1221,American Barbecue Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/american_barbecue_milano_45.4217_9.1221.json,custom
45.424376,9.117068,ov_la_fabbrica_dei_sapori_45.4244_9.1171,La Fabbrica dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/la_fabbrica_dei_sapori_45.4244_9.1171.json,custom
45.424522,9.117276,ov_luna_rossa_45.4245_9.1173,Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/luna_rossa_45.4245_9.1173.json,custom
45.426432,9.116035,ov_istanbul_pizza_turkish_45.4264_9.1160,Istanbul Pizza Turkish,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/istanbul_pizza_turkish_45.4264_9.1160.json,custom
45.425629,9.111275,ov_stella_di_buccinasco_45.4256_9.1113,Stella di Buccinasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/stella_di_buccinasco_45.4256_9.1113.json,custom
45.431241,9.118340,ov_primavera_2_buccinasco_45.4312_9.1183,Primavera 2 Buccinasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/primavera_2_buccinasco_45.4312_9.1183.json,custom
45.434631,9.120867,ov_romantica_pizza___restaurant_45.4346_9.1209,Romantica Pizza & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/romantica_pizza_restaurant_45.4346_9.1209.json,custom
45.437174,9.120552,ov_ono_sushi_experience_45.4372_9.1206,Ono Sushi Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ono_sushi_experience_45.4372_9.1206.json,custom
45.426060,9.127820,ov_da_michael_arte_mediterranea_45.4261_9.1278,Da Michael arte mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/da_michael_arte_mediterranea_45.4261_9.1278.json,custom
45.424306,9.128482,ov_ristorante_amuninni_45.4243_9.1285,Ristorante Amuninni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ristorante_amuninni_45.4243_9.1285.json,custom
45.416112,9.119990,ov_buccinasco_lomellina_45.4161_9.1200,BUCCINASCO LOMELLINA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/buccinasco_lomellina_45.4161_9.1200.json,custom
45.416937,9.122821,ov_daimyo_restaurant_45.4169_9.1228,Daimyo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/daimyo_restaurant_45.4169_9.1228.json,custom
45.417956,9.122499,ov_tbg_burger___fries_45.4180_9.1225,TBG Burger & Fries,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/tbg_burger_fries_45.4180_9.1225.json,custom
45.416820,9.124244,ov_flick_restaurant_45.4168_9.1242,Flick Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/flick_restaurant_45.4168_9.1242.json,custom
45.416544,9.124560,ov_bpi__1986_45.4165_9.1246,BPIÚ 1986,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bpi_1986_45.4165_9.1246.json,custom
45.414031,9.125108,ov_ristorante_la_griglia_sul_fuoco_45.4140_9.1251,Ristorante La Griglia sul Fuoco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ristorante_la_griglia_sul_fuoco_45.4140_9.1251.json,custom
45.414630,9.116784,ov_gustavo_buccinasco_45.4146_9.1168,Gustavo Buccinasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/gustavo_buccinasco_45.4146_9.1168.json,custom
45.415927,9.115461,ov_tartare_ristorante_45.4159_9.1155,Tartare ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/tartare_ristorante_45.4159_9.1155.json,custom
45.415618,9.114057,ov_buccinasco_resistenza_45.4156_9.1141,BUCCINASCO RESISTENZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/buccinasco_resistenza_45.4156_9.1141.json,custom
45.416344,9.116741,ov_the_dark_kitchen_45.4163_9.1167,The Dark Kitchen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/the_dark_kitchen_45.4163_9.1167.json,custom
45.416546,9.115739,ov_tourle_la_pizzeria_e_il_grill_45.4165_9.1157,Tourle La Pizzeria e il Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/tourle_la_pizzeria_e_il_grill_45.4165_9.1157.json,custom
45.419204,9.114338,ov_amy_sushi_buccinasco_45.4192_9.1143,Amy Sushi Buccinasco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/amy_sushi_buccinasco_45.4192_9.1143.json,custom
45.418838,9.111273,ov_caciara_chiosco_romano_45.4188_9.1113,Caciara Chiosco Romano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/caciara_chiosco_romano_45.4188_9.1113.json,custom
45.418210,9.109279,ov_pizzeria___kebab_emilia_45.4182_9.1093,Pizzeria & Kebab Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/pizzeria_kebab_emilia_45.4182_9.1093.json,custom
45.415966,9.099494,ov_ristorante_nuvola_rossa_45.4160_9.0995,Ristorante Nuvola Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/ristorante_nuvola_rossa_45.4160_9.0995.json,custom
45.409410,9.112730,ov_mr__fantasy_45.4094_9.1127,Mr. Fantasy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/mr_fantasy_45.4094_9.1127.json,custom
45.408123,11.231706,ov_soma_sushi___soave_45.4081_11.2317,Soma Sushi - Soave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/soma_sushi_-_soave_45.4081_11.2317.json,custom
45.420739,9.119397,osm_dal_maestro_45.4207_9.1194,Dal Maestro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/dal_maestro_45.4207_9.1194.json,custom
45.389122,9.112451,osm_trattoria_santoro_45.3891_9.1125,Trattoria Santoro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/trattoria_santoro_45.3891_9.1125.json,custom
45.415883,9.115392,osm_tartare_45.4159_9.1154,Tartare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/tartare_45.4159_9.1154.json,custom
45.414071,9.089431,ov_campus_caf__buccinasco_45.4141_9.0894,Campus Café Buccinasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/campus_caf_buccinasco_45.4141_9.0894.json,custom
45.422280,9.107616,ov_bar_trattoria_buccino_45.4223_9.1076,Bar Trattoria Buccino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_trattoria_buccino_45.4223_9.1076.json,custom
45.421233,9.107466,ov_alexis_bar_di_pea_alessandra_45.4212_9.1075,Alexis Bar di Pea Alessandra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/alexis_bar_di_pea_alessandra_45.4212_9.1075.json,custom
45.423250,9.115190,ov_divino_buccinasco_45.4233_9.1152,Divino Buccinasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/divino_buccinasco_45.4233_9.1152.json,custom
45.422898,9.115847,ov_samy_s_bar_45.4229_9.1158,Samy's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/samys_bar_45.4229_9.1158.json,custom
45.420485,9.113749,ov_blitz_bar_45.4205_9.1137,Blitz Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/blitz_bar_45.4205_9.1137.json,custom
45.421227,9.119163,ov_bar_la_chiesetta_45.4212_9.1192,Bar la chiesetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_la_chiesetta_45.4212_9.1192.json,custom
45.421840,9.125020,ov_circolo_acli_don_primo_mazzolari___bucci_45.4218_9.1250,Circolo ACLI Don Primo Mazzolari - Buccinasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/circolo_acli_don_primo_mazzolari_-_bucci_45.4218_9.1250.json,custom
45.424463,9.122384,ov_l_isola_azzurra_45.4245_9.1224,L'Isola Azzurra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/lisola_azzurra_45.4245_9.1224.json,custom
45.431360,9.119230,ov_md_discount_45.4314_9.1192,MD Discount,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/md_discount_45.4314_9.1192.json,custom
45.434202,9.119558,ov_bar_mantegna_45.4342_9.1196,Bar Mantegna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_mantegna_45.4342_9.1196.json,custom
45.436991,9.119926,ov_bar_mulino_45.4370_9.1199,Bar mulino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_mulino_45.4370_9.1199.json,custom
45.430199,9.125563,ov_orti_caf__45.4302_9.1256,Orti Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/orti_caf_45.4302_9.1256.json,custom
45.418369,9.121509,ov_iii_millennio_45.4184_9.1215,III Millennio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/iii_millennio_45.4184_9.1215.json,custom
45.416544,9.124560,ov_bar_pi__45.4165_9.1246,Bar Più,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_pi_45.4165_9.1246.json,custom
45.415220,9.125210,ov_barpi__1986_45.4152_9.1252,BarPiù 1986,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/barpi_1986_45.4152_9.1252.json,custom
45.416085,9.115984,ov_la_piadineria_45.4161_9.1160,La Piadineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/la_piadineria_45.4161_9.1160.json,custom
45.418360,9.115590,ov_sevent_45.4184_9.1156,Sevent,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/sevent_45.4184_9.1156.json,custom
45.418244,9.109524,ov_social_caff__45.4182_9.1095,Social Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/social_caff_45.4182_9.1095.json,custom
45.410705,9.118057,ov_il_pinguino_45.4107_9.1181,Il Pinguino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/il_pinguino_45.4107_9.1181.json,custom
45.345884,9.195117,ov_bar_sport_pieve_emanuele_45.3459_9.1951,Bar Sport Pieve Emanuele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/bar_sport_pieve_emanuele_45.3459_9.1951.json,custom
45.414838,9.089048,ov_solid_climbing_club_45.4148_9.0890,Solid Climbing Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/solid_climbing_club_45.4148_9.0890.json,custom
45.425270,9.106025,ov_studio_pilates_arte_del_movimento_45.4253_9.1060,Studio Pilates Arte del Movimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/studio_pilates_arte_del_movimento_45.4253_9.1060.json,custom
45.420706,9.113418,ov_a_s_d__yoga_anahata_45.4207_9.1134,A.S.D. Yoga Anahata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/asd_yoga_anahata_45.4207_9.1134.json,custom
45.420663,9.114960,ov_dav_racing_srl_45.4207_9.1150,Dav Racing Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/dav_racing_srl_45.4207_9.1150.json,custom
45.422049,9.117788,ov_the_lab_buccinasco_45.4220_9.1178,The lab buccinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/the_lab_buccinasco_45.4220_9.1178.json,custom
45.420870,9.121130,ov_forum_di_assago_milano_45.4209_9.1211,Forum di Assago Milano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/forum_di_assago_milano_45.4209_9.1211.json,custom
45.425148,9.115388,ov_club_il_mulino_45.4251_9.1154,Club Il Mulino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/club_il_mulino_45.4251_9.1154.json,custom
45.424978,9.114155,ov_sosa_academy_45.4250_9.1142,Sosa Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/sosa_academy_45.4250_9.1142.json,custom
45.430975,9.120669,ov_fitness_world_55_45.4310_9.1207,Fitness World 55,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitness_world_55_45.4310_9.1207.json,custom
45.434390,9.119813,ov_fitactive_buccinasco_45.4344_9.1198,FitActive Buccinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitactive_buccinasco_45.4344_9.1198.json,custom
45.432567,9.120164,ov_fit_boutique_gym___wellness_asd_45.4326_9.1202,Fit Boutique Gym & Wellness ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fit_boutique_gym_wellness_asd_45.4326_9.1202.json,custom
45.435256,9.121343,ov_new_fitness_pro_45.4353_9.1213,New Fitness Pro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/new_fitness_pro_45.4353_9.1213.json,custom
45.436589,9.118461,ov_urban_fitness_buccinasco_45.4366_9.1185,Urban Fitness Buccinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/urban_fitness_buccinasco_45.4366_9.1185.json,custom
45.424061,9.128142,ov_gym_and_fun_45.4241_9.1281,Gym And Fun,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/gym_and_fun_45.4241_9.1281.json,custom
45.416723,9.126389,ov_paintball_milano_45.4167_9.1264,Paintball Milano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/paintball_milano_45.4167_9.1264.json,custom
45.417389,9.126550,ov_fitness_ginnastica_posturale__m_e_c_p__f_45.4174_9.1265,Fitness ginnastica posturale -M.E.C.P.-fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitness_ginnastica_posturale_-mecp-fit_45.4174_9.1265.json,custom
45.419401,9.129239,ov_stadio_zeta_milano_45.4194_9.1292,Stadio Zeta Milano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/stadio_zeta_milano_45.4194_9.1292.json,custom
45.417830,9.122440,ov_fitness_atelier_45.4178_9.1224,Fitness Atelier,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitness_atelier_45.4178_9.1224.json,custom
45.416848,9.124238,ov_mc2_sport_way_45.4168_9.1242,Mc2 Sport Way,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/mc2_sport_way_45.4168_9.1242.json,custom
45.415346,9.125207,ov_deep_waters_milano_asd_45.4153_9.1252,Deep Waters Milano ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/deep_waters_milano_asd_45.4153_9.1252.json,custom
45.415172,9.122628,ov_crossfit_ant_45.4152_9.1226,CrossFit ANT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/crossfit_ant_45.4152_9.1226.json,custom
45.415700,9.116147,ov_yogaholic_45.4157_9.1161,Yogaholic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/yogaholic_45.4157_9.1161.json,custom
45.414230,9.116268,ov_marty_dance_academy_45.4142_9.1163,Marty Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/marty_dance_academy_45.4142_9.1163.json,custom
45.413000,9.115193,ov_lasergame_milan_west_45.4130_9.1152,Lasergame Milan West,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/lasergame_milan_west_45.4130_9.1152.json,custom
45.407175,9.108371,ov_fitactive_buccinasco_45.4072_9.1084,FitActive Buccinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitactive_buccinasco_45.4072_9.1084.json,custom
45.410555,9.112327,ov_crossfit_buccinasco_45.4106_9.1123,CrossFit Buccinasco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/crossfit_buccinasco_45.4106_9.1123.json,custom
45.410557,9.112342,ov_fitsquare_45.4106_9.1123,FitSquare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/fitsquare_45.4106_9.1123.json,custom
45.410447,9.114843,ov_maury_s_dance_45.4104_9.1148,Maury's Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/maurys_dance_45.4104_9.1148.json,custom
45.409206,9.112713,ov_larosa_dance_studio_45.4092_9.1127,Larosa Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/larosa_dance_studio_45.4092_9.1127.json,custom
45.389091,9.112680,ov_paintball_milano_45.3891_9.1127,Paintball Milano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/paintball_milano_45.3891_9.1127.json,custom
45.388282,9.121786,ov_scuderia_la_chimera_ssd_45.3883_9.1218,Scuderia La Chimera SSD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/scuderia_la_chimera_ssd_45.3883_9.1218.json,custom
45.420673,9.113449,osm_centro_yoga_anahata_a_s_d__45.4207_9.1134,Centro Yoga Anahata A.S.D.,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/centro_yoga_anahata_asd_45.4207_9.1134.json,custom
45.424990,9.122641,ov_biblioteca_di_buccinasco_45.4250_9.1226,Biblioteca di Buccinasco,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/buccinasco/pages/biblioteca_di_buccinasco_45.4250_9.1226.json,custom
