# lat,lng,id,name,building_type,type,url,page_type
# Treia -- Tutti
43.307915,13.315221,ov_servizi_ospedalieri_spa_43.3079_13.3152,Servizi Ospedalieri SPA,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/servizi_ospedalieri_spa_43.3079_13.3152.json,custom
43.310391,13.313475,ov_antica_fornace_43.3104_13.3135,Antica Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/antica_fornace_43.3104_13.3135.json,custom
43.310092,13.344905,ov_agriturismo_i_due_mori_43.3101_13.3449,Agriturismo I Due Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/agriturismo_i_due_mori_43.3101_13.3449.json,custom
43.304572,13.311727,ov_ibalt_srl_43.3046_13.3117,IBALT srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ibalt_srl_43.3046_13.3117.json,custom
43.315486,13.253600,ov_casolare_dei_segreti_43.3155_13.2536,Casolare dei Segreti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/casolare_dei_segreti_43.3155_13.2536.json,custom
43.313336,13.240839,ov_ristorante_da_otello_43.3133_13.2408,Ristorante da Otello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ristorante_da_otello_43.3133_13.2408.json,custom
43.289851,13.268413,ov_la_valle_del_vento_43.2899_13.2684,La Valle del Vento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/la_valle_del_vento_43.2899_13.2684.json,custom
43.290830,13.338978,ov_gitanos_it_43.2908_13.3390,Gitanos.it,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/gitanosit_43.2908_13.3390.json,custom
43.282643,13.327214,ov_pizzeria_balu_43.2826_13.3272,Pizzeria Balu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/pizzeria_balu_43.2826_13.3272.json,custom
43.280302,13.300497,ov_ristorante_podere_catignano_43.2803_13.3005,Ristorante Podere Catignano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ristorante_podere_catignano_43.2803_13.3005.json,custom
43.283539,13.333313,ov_pizzeria_da_simon_43.2835_13.3333,Pizzeria Da Simon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/pizzeria_da_simon_43.2835_13.3333.json,custom
43.283598,13.330554,ov_la_tana_della_pizza_43.2836_13.3306,La tana della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/la_tana_della_pizza_43.2836_13.3306.json,custom
43.271646,13.271786,ov_resort_restaurant_villa_berta_43.2716_13.2718,Resort Restaurant Villa Berta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/resort_restaurant_villa_berta_43.2716_13.2718.json,custom
43.342859,13.385341,ov_la_fattoria_di_paolo_43.3429_13.3853,La Fattoria di Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/la_fattoria_di_paolo_43.3429_13.3853.json,custom
43.338140,13.324980,ov_ristobar_monica_43.3381_13.3250,RistoBar Monica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/ristobar_monica_43.3381_13.3250.json,custom
43.338074,13.323430,ov_bim_bum_bar_43.3381_13.3234,Bim Bum Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bim_bum_bar_43.3381_13.3234.json,custom
43.311389,13.312392,ov_trattoria_pub_grottino_43.3114_13.3124,Trattoria Pub Grottino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/trattoria_pub_grottino_43.3114_13.3124.json,custom
43.310704,13.312971,ov_caffe_corradino_di_cori___caciorgna_43.3107_13.3130,Caffe Corradino Di Cori & Caciorgna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/caffe_corradino_di_cori_caciorgna_43.3107_13.3130.json,custom
43.315820,13.256910,ov_bar_giada_san_lorenzo_43.3158_13.2569,Bar GiaDa San Lorenzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bar_giada_san_lorenzo_43.3158_13.2569.json,custom
43.290819,13.338796,ov_tavola_calda_panineria_pizzeria_gitano_s_43.2908_13.3388,Tavola Calda Panineria Pizzeria Gitano'S,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/tavola_calda_panineria_pizzeria_gitanos_43.2908_13.3388.json,custom
43.281993,13.325021,ov_bar_del_cacciatore_43.2820_13.3250,Bar del Cacciatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bar_del_cacciatore_43.2820_13.3250.json,custom
43.283588,13.330812,ov_bar_ciriaco_nicola_43.2836_13.3308,Bar Ciriaco Nicola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bar_ciriaco_nicola_43.2836_13.3308.json,custom
43.283352,13.328720,ov_bar_roma_43.2834_13.3287,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bar_roma_43.2834_13.3287.json,custom
43.316618,13.399381,ov_bar_ludovico_43.3166_13.3994,Bar Ludovico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/bar_ludovico_43.3166_13.3994.json,custom
43.311389,13.312392,osm_il_grottino_43.3114_13.3124,Il Grottino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/il_grottino_43.3114_13.3124.json,custom
43.337779,13.336223,ov_la_luna_e_il_sole_43.3378_13.3362,La Luna e Il Sole,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/la_luna_e_il_sole_43.3378_13.3362.json,custom
43.316917,13.282966,ov_il_villino_western_riding_43.3169_13.2830,Il Villino Western Riding,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/il_villino_western_riding_43.3169_13.2830.json,custom
43.301151,13.266432,ov_santa_maria_in_piana___treia_43.3012_13.2664,Santa Maria in Piana - Treia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/santa_maria_in_piana_-_treia_43.3012_13.2664.json,custom
43.283344,13.330909,ov_associazione_polisportiva_aurora_treia_43.2833_13.3309,Associazione Polisportiva Aurora Treia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/associazione_polisportiva_aurora_treia_43.2833_13.3309.json,custom
43.311475,13.312529,ov_accademia_georgica_43.3115_13.3125,Accademia Georgica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/accademia_georgica_43.3115_13.3125.json,custom
43.311416,13.312487,ov_disfida_del_bracciale___treia_43.3114_13.3125,Disfida del Bracciale - Treia,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/disfida_del_bracciale_-_treia_43.3114_13.3125.json,custom
43.309711,13.313811,ov_treia_sala_multimediale_via_cavour_43.3097_13.3138,Treia Sala Multimediale Via Cavour,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/treia_sala_multimediale_via_cavour_43.3097_13.3138.json,custom
43.311641,13.312068,ov_biblioteca_auser_treia_43.3116_13.3121,Biblioteca Auser Treia,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/treia/pages/biblioteca_auser_treia_43.3116_13.3121.json,custom
