# lat,lng,id,name,building_type,type,url,page_type
# Vinci -- Tutti
43.731670,10.915690,ov_ospedale_da_vinci_43.7317_10.9157,Ospedale Da Vinci,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ospedale_da_vinci_43.7317_10.9157.json,custom
43.787774,10.926666,ov_il_ristoro_del_museo_43.7878_10.9267,Il Ristoro del Museo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/il_ristoro_del_museo_43.7878_10.9267.json,custom
43.787429,10.926466,ov_vinci_43.7874_10.9265,Vinci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/vinci_43.7874_10.9265.json,custom
43.787383,10.926502,ov_la_beccheria_43.7874_10.9265,La Beccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_beccheria_43.7874_10.9265.json,custom
43.781100,10.923153,ov_la_limonaia_43.7811_10.9232,La Limonaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_limonaia_43.7811_10.9232.json,custom
43.781048,10.923394,ov_a_casa_di_giulia___home_restaurant_43.7810_10.9234,A Casa di Giulia - Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/a_casa_di_giulia_-_home_restaurant_43.7810_10.9234.json,custom
43.743196,10.903274,ov_saladier_vinci_43.7432_10.9033,Saladier Vinci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/saladier_vinci_43.7432_10.9033.json,custom
43.762798,10.920110,ov_ristorante_bellosguardo_43.7628_10.9201,Ristorante Bellosguardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ristorante_bellosguardo_43.7628_10.9201.json,custom
43.762511,10.926370,ov_agriturismo_casetta_i_43.7625_10.9264,Agriturismo Casetta I,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/agriturismo_casetta_i_43.7625_10.9264.json,custom
43.774370,10.892787,ov_agriturismo_il_sole_di_vino_43.7744_10.8928,Agriturismo Il Sole di Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/agriturismo_il_sole_di_vino_43.7744_10.8928.json,custom
43.725892,10.942567,ov_mic_ramen_vinci_43.7259_10.9426,MIC Ramen Vinci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/mic_ramen_vinci_43.7259_10.9426.json,custom
43.726908,10.939501,ov_viva_ristorante_pizzeria_43.7269_10.9395,ViVa Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/viva_ristorante_pizzeria_43.7269_10.9395.json,custom
43.728030,10.935306,ov_issho_asian_fusion_restaurant_43.7280_10.9353,Issho Asian Fusion Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/issho_asian_fusion_restaurant_43.7280_10.9353.json,custom
43.729020,10.932450,ov_dall_arrighi___pranzi_e_merende_sul_mont_43.7290_10.9324,Dall'Arrighi - Pranzi e merende sul Montalbano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/dallarrighi_-_pranzi_e_merende_sul_monta_43.7290_10.9324.json,custom
43.728186,10.935741,ov_lo_stravizio_43.7282_10.9357,Lo Stravizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/lo_stravizio_43.7282_10.9357.json,custom
43.728200,10.935464,ov_issho_asian_fusion_spicchio_sovigliana_43.7282_10.9355,Issho Asian Fusion Spicchio-Sovigliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/issho_asian_fusion_spicchio-sovigliana_43.7282_10.9355.json,custom
43.728644,10.935297,ov_gruppo_matura_43.7286_10.9353,Gruppo Matura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/gruppo_matura_43.7286_10.9353.json,custom
43.729266,10.931383,ov_scarlett_pizza___tiramisu_43.7293_10.9314,Scarlett Pizza & Tiramisu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/scarlett_pizza_tiramisu_43.7293_10.9314.json,custom
43.731255,10.919469,ov_z_one_sushi_43.7313_10.9195,Z-One Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/z-one_sushi_43.7313_10.9195.json,custom
43.731128,10.919436,ov_fish_nude_empoli_43.7311_10.9194,Fish Nude Empoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/fish_nude_empoli_43.7311_10.9194.json,custom
43.734940,10.910660,ov_centro_cinofilo_gruppo_cin_empolese_43.7349_10.9107,centro cinofilo Gruppo cin Empolese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/centro_cinofilo_gruppo_cin_empolese_43.7349_10.9107.json,custom
43.735979,10.910824,ov_tenuta_bacco_a_petroio_43.7360_10.9108,Tenuta Bacco a Petroio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/tenuta_bacco_a_petroio_43.7360_10.9108.json,custom
43.736189,10.932637,ov_il_magazzino_dianella_43.7362_10.9326,Il Magazzino Dianella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/il_magazzino_dianella_43.7362_10.9326.json,custom
43.726165,10.941730,ov_ristorante_asiatico_la_fortuna_43.7262_10.9417,Ristorante asiatico La Fortuna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/ristorante_asiatico_la_fortuna_43.7262_10.9417.json,custom
43.728404,10.935990,osm_lo_chalet___vinci_43.7284_10.9360,Lo Chalet - Vinci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/lo_chalet_-_vinci_43.7284_10.9360.json,custom
43.726092,10.941694,osm_la_fortuna_43.7261_10.9417,La Fortuna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/la_fortuna_43.7261_10.9417.json,custom
43.735346,10.910355,osm_circolo_arci_petroio_43.7353_10.9104,Circolo Arci Petroio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/circolo_arci_petroio_43.7353_10.9104.json,custom
43.731195,10.919483,osm_fish_nude_43.7312_10.9195,Fish Nude,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/fish_nude_43.7312_10.9195.json,custom
43.795327,10.922930,osm_agriturimo_la_burra_di_vinci_43.7953_10.9229,Agriturimo La Burra Di Vinci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/agriturimo_la_burra_di_vinci_43.7953_10.9229.json,custom
43.742688,10.901986,osm_tucano_s_pub_43.7427_10.9020,Tucano's Pub,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/tucanos_pub_43.7427_10.9020.json,custom
43.791035,10.879001,ov_circolo_apparita_43.7910_10.8790,Circolo Apparita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/circolo_apparita_43.7910_10.8790.json,custom
43.794449,10.874090,ov_bar_tabacchi_la_stella_43.7944_10.8741,bar tabacchi la stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/bar_tabacchi_la_stella_43.7944_10.8741.json,custom
43.785309,10.924982,ov_mundi_caffe_43.7853_10.9250,Mundi Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/mundi_caffe_43.7853_10.9250.json,custom
43.785361,10.925028,ov_bar_pasticceria_maso_43.7854_10.9250,Bar Pasticceria Maso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/bar_pasticceria_maso_43.7854_10.9250.json,custom
43.786599,10.926358,ov_convintoo_43.7866_10.9264,Convintoo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/convintoo_43.7866_10.9264.json,custom
43.786781,10.926421,ov_antica_cantina_di_bacco_43.7868_10.9264,Antica Cantina di Bacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/antica_cantina_di_bacco_43.7868_10.9264.json,custom
43.784333,10.924653,ov_new_bar_l_angolo_43.7843_10.9247,New Bar L'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/new_bar_langolo_43.7843_10.9247.json,custom
43.780337,10.955284,ov_barr_43.7803_10.9553,Barr,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/barr_43.7803_10.9553.json,custom
43.747170,10.903006,ov_forestiera_birra_artigianale_43.7472_10.9030,Forestiera Birra Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/forestiera_birra_artigianale_43.7472_10.9030.json,custom
43.758666,10.908617,ov_il_bivio_43.7587_10.9086,Il Bivio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/il_bivio_43.7587_10.9086.json,custom
43.756700,10.908930,ov_il_poggetto_43.7567_10.9089,Il Poggetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/il_poggetto_43.7567_10.9089.json,custom
43.773294,10.917132,ov_birra_brunz_43.7733_10.9171,Birra Brunz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/birra_brunz_43.7733_10.9171.json,custom
43.725880,10.944226,ov_caffe_della_corte_43.7259_10.9442,Caffe della Corte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/caffe_della_corte_43.7259_10.9442.json,custom
43.725000,10.940060,ov_debur_cucina_e_caff__43.7250_10.9401,DEBUR Cucina e Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/debur_cucina_e_caff_43.7250_10.9401.json,custom
43.724853,10.939703,ov_zen_solarium_43.7249_10.9397,Zen Solarium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/zen_solarium_43.7249_10.9397.json,custom
43.727244,10.938007,ov_bar_leonardo_43.7272_10.9380,Bar Leonardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/bar_leonardo_43.7272_10.9380.json,custom
43.728847,10.933435,ov_punto_caffe_torrefazione_leonardo_43.7288_10.9334,Punto Caffe Torrefazione Leonardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/punto_caffe_torrefazione_leonardo_43.7288_10.9334.json,custom
43.728750,10.933530,ov_eurospurghi_43.7287_10.9335,Eurospurghi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/eurospurghi_43.7287_10.9335.json,custom
43.728704,10.933690,ov_berto_enoteca_43.7287_10.9337,Berto Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/berto_enoteca_43.7287_10.9337.json,custom
43.731717,10.916932,ov_bar_l_inverso_43.7317_10.9169,Bar l'Inverso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/bar_linverso_43.7317_10.9169.json,custom
43.735249,10.910209,ov_circolo_arci_petroio_43.7352_10.9102,Circolo Arci Petroio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/circolo_arci_petroio_43.7352_10.9102.json,custom
43.742053,10.901966,ov_blue_moon_cafe__43.7421_10.9020,Blue Moon Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/blue_moon_cafe_43.7421_10.9020.json,custom
43.742687,10.901986,ov_tucano_s_pub_43.7427_10.9020,Tucano's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/tucanos_pub_43.7427_10.9020.json,custom
43.741393,10.934370,ov_enoteca_dianella_43.7414_10.9344,Enoteca Dianella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/enoteca_dianella_43.7414_10.9344.json,custom
43.741920,10.929790,ov_l_abusiva_birra_artigianale_43.7419_10.9298,L'abusiva Birra Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/labusiva_birra_artigianale_43.7419_10.9298.json,custom
43.732793,10.956235,ov_baus_beer___birrificio_artigianale_43.7328_10.9562,Baus Beer - Birrificio Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/baus_beer_-_birrificio_artigianale_43.7328_10.9562.json,custom
43.728692,10.947796,ov_bar_ariston_43.7287_10.9478,Bar Ariston,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/bar_ariston_43.7287_10.9478.json,custom
43.727108,10.944303,ov_circolo_mcl_il_gabbiano_spicchio_43.7271_10.9443,Circolo MCL Il Gabbiano Spicchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/circolo_mcl_il_gabbiano_spicchio_43.7271_10.9443.json,custom
43.785273,10.924962,osm_mundi_caff__43.7853_10.9250,Mundi Caffé,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/mundi_caff_43.7853_10.9250.json,custom
43.729170,10.931361,osm_scarlet_caf__43.7292_10.9314,Scarlet Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/scarlet_caf_43.7292_10.9314.json,custom
43.783339,10.925305,ov_a_s_d_bunny_club_43.7833_10.9253,A.s.d.Bunny club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/asdbunny_club_43.7833_10.9253.json,custom
43.762779,10.920022,ov_golf_club___bellosguardo_vinci_43.7628_10.9200,Golf Club • Bellosguardo Vinci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/golf_club_bellosguardo_vinci_43.7628_10.9200.json,custom
43.725245,10.941852,ov_scuola_di_danza_zephyr_43.7252_10.9419,Scuola Di Danza Zephyr,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/scuola_di_danza_zephyr_43.7252_10.9419.json,custom
43.725492,10.940249,ov_palasport_comunale_falcone_e_borsellino_43.7255_10.9402,Palasport Comunale Falcone e Borsellino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/palasport_comunale_falcone_e_borsellino_43.7255_10.9402.json,custom
43.726959,10.940769,ov_il_centro_di_sovigliana_43.7270_10.9408,Il Centro di Sovigliana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/il_centro_di_sovigliana_43.7270_10.9408.json,custom
43.727431,10.940029,ov_mc_lab_43.7274_10.9400,MC/LAB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/mclab_43.7274_10.9400.json,custom
43.728291,10.934877,ov_dance_flow_a_s_d__43.7283_10.9349,Dance Flow A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/dance_flow_asd_43.7283_10.9349.json,custom
43.730881,10.922778,ov_link_fitness_club_43.7309_10.9228,LINK Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/link_fitness_club_43.7309_10.9228.json,custom
43.729774,10.947826,ov_creativondoro_asd_43.7298_10.9478,Creativondoro asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/creativondoro_asd_43.7298_10.9478.json,custom
43.799228,10.938250,ov_casa_natale_di_leonardo_a_anchiano_43.7992_10.9383,Casa Natale di Leonardo a Anchiano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/casa_natale_di_leonardo_a_anchiano_43.7992_10.9383.json,custom
43.786779,10.927107,ov_leonardo_museum_43.7868_10.9271,Leonardo Museum,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/leonardo_museum_43.7868_10.9271.json,custom
43.787464,10.927092,ov_museo_ideale_leonardo_da_vinci_43.7875_10.9271,Museo Ideale Leonardo da Vinci,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/museo_ideale_leonardo_da_vinci_43.7875_10.9271.json,custom
43.728318,10.934928,ov_casa_del_popolo_di_sovigliana_43.7283_10.9349,Casa del Popolo di Sovigliana,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/casa_del_popolo_di_sovigliana_43.7283_10.9349.json,custom
43.784606,10.924870,osm_poste_italiane_43.7846_10.9249,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/poste_italiane_43.7846_10.9249.json,custom
43.787172,10.926711,ov_biblioteca_leonardiana_43.7872_10.9267,Biblioteca Leonardiana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/biblioteca_leonardiana_43.7872_10.9267.json,custom
43.728801,10.934462,ov_comune_di_vinci_43.7288_10.9345,Comune di Vinci,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/comune_di_vinci_43.7288_10.9345.json,custom
43.729000,10.935164,ov_biblioteca_dei_ragazzi_di_sovigliana_43.7290_10.9352,Biblioteca dei Ragazzi di Sovigliana,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/biblioteca_dei_ragazzi_di_sovigliana_43.7290_10.9352.json,custom
43.729051,10.935031,ov_villa_reghini_43.7291_10.9350,Villa Reghini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/villa_reghini_43.7291_10.9350.json,custom
43.786914,10.926574,osm_biblioteca_dei_ragazzi_43.7869_10.9266,Biblioteca dei ragazzi,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/biblioteca_dei_ragazzi_43.7869_10.9266.json,custom
43.786522,10.927000,osm_biblioteca_civica_43.7865_10.9270,Biblioteca civica,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/biblioteca_civica_43.7865_10.9270.json,custom
43.787625,10.926787,osm_biblioteca_comunale_leonardiana_43.7876_10.9268,Biblioteca Comunale Leonardiana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/vinci/pages/biblioteca_comunale_leonardiana_43.7876_10.9268.json,custom
