# lat,lng,id,name,building_type,type,url,page_type
# San Cesario di Lecce -- Tutti
40.304809,18.158836,ov_a_s_l_lecce_40.3048_18.1588,A.S.L Lecce,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/asl_lecce_40.3048_18.1588.json,custom
40.302058,18.403807,ov_redivino_40.3021_18.4038,Redivino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/redivino_40.3021_18.4038.json,custom
40.367106,18.203489,ov_tenuta__lu_farillu__40.3671_18.2035,Tenuta ‘Lu Farillu’,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/tenuta_lu_farillu_40.3671_18.2035.json,custom
40.306754,18.158821,osm_miss_coffee_40.3068_18.1588,Miss Coffee,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/miss_coffee_40.3068_18.1588.json,custom
40.294503,18.161795,ov_evolution_ballet_40.2945_18.1618,Evolution Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/evolution_ballet_40.2945_18.1618.json,custom
40.300705,18.155404,ov_centro_danza_e_teatro_40.3007_18.1554,Centro Danza e Teatro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/centro_danza_e_teatro_40.3007_18.1554.json,custom
40.302580,18.159780,ov_club_918_40.3026_18.1598,Club 918,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/club_918_40.3026_18.1598.json,custom
40.303597,18.164940,ov_ev__real_fitness___san_cesario_40.3036_18.1649,Evó Real Fitness - San Cesario,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/ev_real_fitness_-_san_cesario_40.3036_18.1649.json,custom
40.325864,18.155103,ov_circolo_ippico_le_amazzoni_40.3259_18.1551,Circolo Ippico Le Amazzoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/circolo_ippico_le_amazzoni_40.3259_18.1551.json,custom
40.313630,18.160605,ov_campo_sportivo_zanchi_40.3136_18.1606,Campo Sportivo Zanchi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/campo_sportivo_zanchi_40.3136_18.1606.json,custom
40.302020,18.156374,ov_quoquomuseo_del_gusto_40.3020_18.1564,QuoquoMuseo del Gusto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/quoquomuseo_del_gusto_40.3020_18.1564.json,custom
40.303350,18.159789,ov_biblioteca_comunale_di_san_cesario_di_le_40.3034_18.1598,Biblioteca Comunale di San Cesario di Lecce,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_cesario_di_lecce/pages/biblioteca_comunale_di_san_cesario_di_le_40.3034_18.1598.json,custom
