# lat,lng,id,name,building_type,type,url,page_type
# San Cesareo -- Tutti
41.820252,12.803217,ov_saint_louis_hospital___ambulatorio_medic_41.8203_12.8032,Saint Louis Hospital - Ambulatorio Medico Polispecialistico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/saint_louis_hospital_-_ambulatorio_medic_41.8203_12.8032.json,custom
41.821514,12.800203,ov_dama_s_steakhouse_41.8215_12.8002,Dama's Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/damas_steakhouse_41.8215_12.8002.json,custom
41.821359,12.801381,ov_trattoria_rustica_3_41.8214_12.8014,Trattoria Rustica 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/trattoria_rustica_3_41.8214_12.8014.json,custom
41.821168,12.801337,ov_piadina_king_san_cesareo_41.8212_12.8013,Piadina King San Cesareo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/piadina_king_san_cesareo_41.8212_12.8013.json,custom
41.820555,12.801413,ov_caffetteria_la_villetta_41.8206_12.8014,Caffetteria La Villetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/caffetteria_la_villetta_41.8206_12.8014.json,custom
41.819431,12.800221,ov_pizza_rustica_41.8194_12.8002,Pizza Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizza_rustica_41.8194_12.8002.json,custom
41.822299,12.798390,ov_orlandi_luca_41.8223_12.7984,Orlandi Luca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/orlandi_luca_41.8223_12.7984.json,custom
41.822660,12.798281,ov_pizza_idea_41.8227_12.7983,Pizza Idea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizza_idea_41.8227_12.7983.json,custom
41.823250,12.796998,ov_robbabbona_41.8233_12.7970,Robbabbona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/robbabbona_41.8233_12.7970.json,custom
41.824440,12.794943,ov_la_palazzina_ristorante_41.8244_12.7949,La Palazzina Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/la_palazzina_ristorante_41.8244_12.7949.json,custom
41.826106,12.789218,ov_farine_e_sapori_41.8261_12.7892,Farine e Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/farine_e_sapori_41.8261_12.7892.json,custom
41.827716,12.786232,ov_goood_41.8277_12.7862,Goood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/goood_41.8277_12.7862.json,custom
41.819965,12.776522,ov_evea_bar_bistro_tabaccheria_41.8200_12.7765,Evea bar bistro tabaccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/evea_bar_bistro_tabaccheria_41.8200_12.7765.json,custom
41.819655,12.773180,ov_le_piadinare_41.8197_12.7732,Le Piadinare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/le_piadinare_41.8197_12.7732.json,custom
41.819466,12.772848,ov_pizza_idea_3_41.8195_12.7728,Pizza Idea 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizza_idea_3_41.8195_12.7728.json,custom
41.818820,12.767630,ov_sushi_ting_san_cesareo_41.8188_12.7676,Sushi Ting San Cesareo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/sushi_ting_san_cesareo_41.8188_12.7676.json,custom
41.822137,12.765998,ov_ital_porte_blindate_s_r_l__41.8221_12.7660,Ital Porte Blindate S.r.l.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/ital_porte_blindate_srl_41.8221_12.7660.json,custom
41.823228,12.784684,ov_sushi_ting_41.8232_12.7847,Sushi Ting,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/sushi_ting_41.8232_12.7847.json,custom
41.823205,12.787525,ov_pizza_kebab_mimmo_san_cesareo_41.8232_12.7875,Pizza Kebab Mimmo San Cesareo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pizza_kebab_mimmo_san_cesareo_41.8232_12.7875.json,custom
41.818492,12.779375,ov_love_truffles_41.8185_12.7794,Love Truffles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/love_truffles_41.8185_12.7794.json,custom
41.815297,12.769574,ov_pinsificio_romano_41.8153_12.7696,Pinsificio Romano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pinsificio_romano_41.8153_12.7696.json,custom
41.815399,12.810841,ov_san_cesareo_pewex_41.8154_12.8108,SAN CESAREO Pewex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/san_cesareo_pewex_41.8154_12.8108.json,custom
41.824587,12.803147,osm_mcdonald_s_41.8246_12.8031,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/mcdonalds_41.8246_12.8031.json,custom
41.838904,12.760412,ov_l_angolo_del_caff__f_lli_casella_41.8389_12.7604,L'Angolo del Caffè f.lli Casella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/langolo_del_caff_flli_casella_41.8389_12.7604.json,custom
41.845610,12.772200,ov_bar_billionaire_caf__41.8456_12.7722,Bar Billionaire Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_billionaire_caf_41.8456_12.7722.json,custom
41.823662,12.808041,ov_betti_bar_41.8237_12.8080,Betti Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/betti_bar_41.8237_12.8080.json,custom
41.822285,12.799097,ov_bar_dell_angolo_41.8223_12.7991,Bar dell'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_dellangolo_41.8223_12.7991.json,custom
41.822966,12.802898,ov_happy_bar_di_marco_miglio_41.8230_12.8029,Happy Bar di Marco Miglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/happy_bar_di_marco_miglio_41.8230_12.8029.json,custom
41.821328,12.803372,ov_chiosco_i_cedri_41.8213_12.8034,Chiosco i cedri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/chiosco_i_cedri_41.8213_12.8034.json,custom
41.821930,12.800400,ov_cialde_e_capsule_san_cesareo_41.8219_12.8004,Cialde e Capsule San Cesareo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/cialde_e_capsule_san_cesareo_41.8219_12.8004.json,custom
41.821694,12.798778,ov_play_time_bar_1_41.8217_12.7988,Play Time Bar 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/play_time_bar_1_41.8217_12.7988.json,custom
41.821694,12.798778,ov_bar_ristorante_41.8217_12.7988,Bar ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_ristorante_41.8217_12.7988.json,custom
41.820521,12.799815,ov_blues_bar_41.8205_12.7998,Blues Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/blues_bar_41.8205_12.7998.json,custom
41.820365,12.799980,ov_portici_corridoni_41.8204_12.8000,Portici Corridoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/portici_corridoni_41.8204_12.8000.json,custom
41.816456,12.801557,ov_eurobet_caf__41.8165_12.8016,Eurobet Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/eurobet_caf_41.8165_12.8016.json,custom
41.818069,12.801063,ov_bdg_41.8181_12.8011,BDG,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bdg_41.8181_12.8011.json,custom
41.818019,12.801013,ov_bar_da_i_gemelli_41.8180_12.8010,Bar da i gemelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_da_i_gemelli_41.8180_12.8010.json,custom
41.819183,12.800466,ov_marcelli_caffe_bistro_41.8192_12.8005,Marcelli Caffe Bistro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/marcelli_caffe_bistro_41.8192_12.8005.json,custom
41.823576,12.796358,ov_bar_gran_caffe_gimm_41.8236_12.7964,Bar Gran Caffe GIMM,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_gran_caffe_gimm_41.8236_12.7964.json,custom
41.826468,12.788696,ov_iqos_premium_partner_san_cesareo___bar_d_41.8265_12.7887,IQOS PREMIUM PARTNER SAN CESAREO - Bar di Sotto Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/iqos_premium_partner_san_cesareo_-_bar_d_41.8265_12.7887.json,custom
41.831280,12.775300,ov_enistationpizzuti_41.8313_12.7753,Enistationpizzuti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/enistationpizzuti_41.8313_12.7753.json,custom
41.816022,12.762495,ov_area51_41.8160_12.7625,AREA51,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/area51_41.8160_12.7625.json,custom
41.819788,12.775102,ov_bar_dolce_vita_41.8198_12.7751,Bar Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_dolce_vita_41.8198_12.7751.json,custom
41.808777,12.830375,ov_bar_nonno_arturo_41.8088_12.8304,Bar Nonno Arturo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/bar_nonno_arturo_41.8088_12.8304.json,custom
41.808769,12.830352,osm_nonno_arturo_41.8088_12.8304,Nonno Arturo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/nonno_arturo_41.8088_12.8304.json,custom
41.850244,12.756496,ov_cavalieri_di_pratolungo_41.8502_12.7565,Cavalieri di Pratolungo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/cavalieri_di_pratolungo_41.8502_12.7565.json,custom
41.822944,12.825589,ov_casal_d_upupa_41.8229_12.8256,Casal D'Upupa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/casal_dupupa_41.8229_12.8256.json,custom
41.821915,12.820486,ov_studio_personal_body_dream_41.8219_12.8205,Studio Personal Body Dream,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/studio_personal_body_dream_41.8219_12.8205.json,custom
41.822386,12.801603,ov_spazioyogarmonia_41.8224_12.8016,SpazioYogArmonia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/spazioyogarmonia_41.8224_12.8016.json,custom
41.822100,12.801147,ov_a_s_d__life_center_41.8221_12.8011,A.S.D. Life Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/asd_life_center_41.8221_12.8011.json,custom
41.820825,12.804132,ov_palestra_martinucci_41.8208_12.8041,Palestra Martinucci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/palestra_martinucci_41.8208_12.8041.json,custom
41.827643,12.799233,ov_asd_brigata_catone_41.8276_12.7992,ASD Brigata Catone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/asd_brigata_catone_41.8276_12.7992.json,custom
41.819471,12.773533,ov_jazz_and_co_dance_studio_41.8195_12.7735,Jazz and Co Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/jazz_and_co_dance_studio_41.8195_12.7735.json,custom
41.820266,12.777892,ov_vc_reformer___san_cesareo_41.8203_12.7779,VC Reformer - San Cesareo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/vc_reformer_-_san_cesareo_41.8203_12.7779.json,custom
41.822923,12.784734,ov_energy_fitness_club_41.8229_12.7847,Energy Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/energy_fitness_club_41.8229_12.7847.json,custom
41.823161,12.787600,ov_hiit_fitness_studio_41.8232_12.7876,HIIT Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/hiit_fitness_studio_41.8232_12.7876.json,custom
41.823159,12.787617,ov_pilates_vitality_centre_41.8232_12.7876,Pilates Vitality Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/pilates_vitality_centre_41.8232_12.7876.json,custom
41.819010,12.784530,ov_the_village_sporting_san_cesareo_41.8190_12.7845,The Village Sporting San Cesareo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/the_village_sporting_san_cesareo_41.8190_12.7845.json,custom
41.819570,12.779340,ov_italian_star_ball_41.8196_12.7793,Italian star ball,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/italian_star_ball_41.8196_12.7793.json,custom
41.819689,12.778950,ov_full_dance_italia_41.8197_12.7790,Full Dance Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/full_dance_italia_41.8197_12.7790.json,custom
41.819360,12.779020,ov_latin_future_41.8194_12.7790,LATIN Future,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/latin_future_41.8194_12.7790.json,custom
41.813840,12.795110,ov_cp_racing_41.8138_12.7951,CP Racing,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/cp_racing_41.8138_12.7951.json,custom
41.839529,12.757824,ov_ferrovia_museo_della_stazione_di_colonna_41.8395_12.7578,Ferrovia-Museo della Stazione di Colonna,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/ferrovia-museo_della_stazione_di_colonna_41.8395_12.7578.json,custom
41.818890,12.807777,ov_santuario_della_dea_fortuna__palestrina_41.8189_12.8078,"Santuario Della Dea Fortuna, Palestrina",MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/santuario_della_dea_fortuna_palestrina_41.8189_12.8078.json,custom
41.821360,12.802009,ov_biblioteca_comunale_san_cesareo_41.8214_12.8020,Biblioteca Comunale San Cesareo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/san_cesareo/pages/biblioteca_comunale_san_cesareo_41.8214_12.8020.json,custom
