# lat,lng,id,name,building_type,type,url,page_type
# Novellara -- Tutti
44.843658,10.728245,ov_studio_medico_dott__ennio_guaitolini___d_44.8437_10.7282,Studio Medico Dott. Ennio Guaitolini & Dott.ssa Stefania Coc,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/studio_medico_dott_ennio_guaitolini_dott_44.8437_10.7282.json,custom
44.845956,10.727798,ov_pizzeria_da_asporto_la_rocca_44.8460_10.7278,Pizzeria Da Asporto La Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/pizzeria_da_asporto_la_rocca_44.8460_10.7278.json,custom
44.844987,10.728320,ov_l_enoteca_il_vecchio_borgo_44.8450_10.7283,L'Enoteca Il Vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/lenoteca_il_vecchio_borgo_44.8450_10.7283.json,custom
44.844811,10.729780,ov_forno_pasticceria_da_cristella_44.8448_10.7298,Forno Pasticceria Da Cristella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/forno_pasticceria_da_cristella_44.8448_10.7298.json,custom
44.844277,10.728721,ov_tortelliamo_44.8443_10.7287,TortelliAmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/tortelliamo_44.8443_10.7287.json,custom
44.843044,10.726013,ov_il_corallo_novellara_44.8430_10.7260,Il Corallo Novellara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/il_corallo_novellara_44.8430_10.7260.json,custom
44.847030,10.738640,ov_don_divino_44.8470_10.7386,Don Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/don_divino_44.8470_10.7386.json,custom
44.848640,10.735935,ov_la_conchiglia_44.8486_10.7359,La Conchiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/la_conchiglia_44.8486_10.7359.json,custom
44.853030,10.736724,ov_mamma_mia_pizzeria_44.8530_10.7367,Mamma Mia Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/mamma_mia_pizzeria_44.8530_10.7367.json,custom
44.853720,10.741530,ov_homesteria_44.8537_10.7415,Homesteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/homesteria_44.8537_10.7415.json,custom
44.852332,10.735287,ov_kamiyama_44.8523_10.7353,Kamiyama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/kamiyama_44.8523_10.7353.json,custom
44.841629,10.723789,ov_vannifero_masterpizza_44.8416_10.7238,Vannifero Masterpizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/vannifero_masterpizza_44.8416_10.7238.json,custom
44.814316,10.702705,ov_da_angelo_44.8143_10.7027,Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/da_angelo_44.8143_10.7027.json,custom
44.805833,10.695670,ov_pizzeria_la_ro_sa_novellara_re_44.8058_10.6957,Pizzeria La Ro.Sa Novellara re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/pizzeria_la_rosa_novellara_re_44.8058_10.6957.json,custom
44.825511,10.712146,ov_agriturismo_antico_podere_canovi_44.8255_10.7121,Agriturismo Antico Podere Canovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/agriturismo_antico_podere_canovi_44.8255_10.7121.json,custom
44.845742,10.723824,ov_bar_7_44.8457_10.7238,Bar 7,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_7_44.8457_10.7238.json,custom
44.845746,10.727647,ov_sisten_irish_pub_44.8457_10.7276,Sisten Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/sisten_irish_pub_44.8457_10.7276.json,custom
44.845047,10.728774,ov_bar_mari_44.8450_10.7288,Bar Mari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_mari_44.8450_10.7288.json,custom
44.844568,10.727609,ov_caffe_del_borgo_44.8446_10.7276,Caffe del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/caffe_del_borgo_44.8446_10.7276.json,custom
44.844787,10.729790,ov_la_rocca_caff__44.8448_10.7298,La Rocca Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/la_rocca_caff_44.8448_10.7298.json,custom
44.844867,10.730041,ov_antico_bar_roma_44.8449_10.7300,Antico Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/antico_bar_roma_44.8449_10.7300.json,custom
44.844785,10.730006,ov_bar_roma_novellara_44.8448_10.7300,Bar Roma Novellara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_roma_novellara_44.8448_10.7300.json,custom
44.846095,10.730652,ov_bar_pineta_44.8461_10.7307,Bar Pineta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_pineta_44.8461_10.7307.json,custom
44.847081,10.730808,ov_ristobar_mi___mi_44.8471_10.7308,RistoBar Mi & Mi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/ristobar_mi_mi_44.8471_10.7308.json,custom
44.847019,10.739033,ov_smart_caffe_44.8470_10.7390,Smart Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/smart_caffe_44.8470_10.7390.json,custom
44.847941,10.738704,ov_susan_coffee_44.8479_10.7387,Susan Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/susan_coffee_44.8479_10.7387.json,custom
44.849200,10.731480,ov_bar_chiosco_primavera_44.8492_10.7315,Bar Chiosco Primavera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_chiosco_primavera_44.8492_10.7315.json,custom
44.851040,10.733720,ov_sueda_on_the_road_44.8510_10.7337,Sueda on the road,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/sueda_on_the_road_44.8510_10.7337.json,custom
44.851055,10.733790,ov_s_c__destiny_di_binig_delia_44.8511_10.7338,S.c. destiny di binig delia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/sc_destiny_di_binig_delia_44.8511_10.7338.json,custom
44.841571,10.718519,ov_tex_master_44.8416_10.7185,Tex Master,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/tex_master_44.8416_10.7185.json,custom
44.805467,10.695197,ov_bar_quarantasei_44.8055_10.6952,Bar Quarantasei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_quarantasei_44.8055_10.6952.json,custom
44.805557,10.695225,ov_bar_46_44.8056_10.6952,Bar 46,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/bar_46_44.8056_10.6952.json,custom
44.836143,10.712941,ov_new_fitness_club_44.8361_10.7129,New Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/new_fitness_club_44.8361_10.7129.json,custom
44.836230,10.712606,ov_sg_dance_project_44.8362_10.7126,SG Dance Project,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/sg_dance_project_44.8362_10.7126.json,custom
44.841080,10.685710,ov_az__agr__ca__lunga_44.8411_10.6857,Az. Agr. Ca' Lunga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/az_agr_ca_lunga_44.8411_10.6857.json,custom
44.844790,10.729946,ov_loft_yoga_44.8448_10.7299,Loft Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/loft_yoga_44.8448_10.7299.json,custom
44.843956,10.728787,ov_metabole_yoga_44.8440_10.7288,Metabole Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/metabole_yoga_44.8440_10.7288.json,custom
44.843399,10.726343,ov_olympia_s_s_d_novellara_44.8434_10.7263,Olympia s.s.d Novellara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/olympia_ssd_novellara_44.8434_10.7263.json,custom
44.855510,10.740972,ov_palestra_kinesis_novellara_44.8555_10.7410,Palestra Kinesis Novellara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/palestra_kinesis_novellara_44.8555_10.7410.json,custom
44.827541,10.722578,ov_la_fattoria_di_gennaro_d_amato_44.8275_10.7226,La Fattoria di Gennaro D'Amato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/la_fattoria_di_gennaro_damato_44.8275_10.7226.json,custom
44.811086,10.698523,ov_palestra_san_giovanni_44.8111_10.6985,Palestra San Giovanni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/palestra_san_giovanni_44.8111_10.6985.json,custom
44.827359,10.711060,ov_shakti_dojo_44.8274_10.7111,Shakti Dojo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/shakti_dojo_44.8274_10.7111.json,custom
44.845195,10.732236,ov_museo_della_civilta_contadina_44.8452_10.7322,Museo della Civilta Contadina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/museo_della_civilta_contadina_44.8452_10.7322.json,custom
44.844836,10.731662,ov_rocca_dei_gonzaga_di_novellara_44.8448_10.7317,Rocca dei Gonzaga di Novellara,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/rocca_dei_gonzaga_di_novellara_44.8448_10.7317.json,custom
44.844807,10.731717,ov_la_rocca_della_cultura_44.8448_10.7317,La Rocca della Cultura,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/la_rocca_della_cultura_44.8448_10.7317.json,custom
44.854781,10.740999,ov_gurdwara_singh_sabha_44.8548_10.7410,Gurdwara Singh Sabha,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/gurdwara_singh_sabha_44.8548_10.7410.json,custom
44.844650,10.730640,ov_laspezieria_44.8447_10.7306,Laspezieria,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/laspezieria_44.8447_10.7306.json,custom
44.848660,10.729850,ov_comune_di_novellara__biblioteca_44.8487_10.7299,"Comune di Novellara, Biblioteca",LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novellara/pages/comune_di_novellara_biblioteca_44.8487_10.7299.json,custom
