# lat,lng,id,name,building_type,type,url,page_type
# ponza -- Tutti
40.894433,12.966082,ov_pizz_stop_40.8944_12.9661,Pizz Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/pizz_stop_40.8944_12.9661.json,custom
40.894342,12.966137,ov_ristorante_l_aragosta_40.8943_12.9661,Ristorante L'Aragosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_laragosta_40.8943_12.9661.json,custom
40.894832,12.966309,ov_il_porticciolo_40.8948_12.9663,Il Porticciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/il_porticciolo_40.8948_12.9663.json,custom
40.894692,12.966212,ov_ristorante_ossidiana_bistrot___ponza_40.8947_12.9662,Ristorante Ossidiana Bistrot - Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/ristorante_ossidiana_bistrot_-_ponza_40.8947_12.9662.json,custom
40.894908,12.966156,ov_la_vera_napoletana_a_ponza_40.8949_12.9662,La Vera Napoletana a Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/la_vera_napoletana_a_ponza_40.8949_12.9662.json,custom
40.895029,12.966195,ov_osteria_del_pesce_ponza_40.8950_12.9662,Osteria del Pesce Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/osteria_del_pesce_ponza_40.8950_12.9662.json,custom
40.895028,12.966105,ov_old_tom_ponza_40.8950_12.9661,Old Tom Ponza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/old_tom_ponza_40.8950_12.9661.json,custom
40.894893,12.966530,ov_il_pacchero_da_rita_40.8949_12.9665,Il Pacchero Da Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/il_pacchero_da_rita_40.8949_12.9665.json,custom
40.895228,12.967214,ov_or_storante_40.8952_12.9672,Orèstorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/orstorante_40.8952_12.9672.json,custom
40.895136,12.967000,ov_acqua_pazza_40.8951_12.9670,Acqua Pazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ponza/pages/acqua_pazza_40.8951_12.9670.json,custom
