# lat,lng,id,name,building_type,type,url,page_type
# Castiglione delle Stiviere -- Tutti
45.388722,10.493956,ov_ospedale_san_pellegrino_45.3887_10.4940,Ospedale San Pellegrino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ospedale_san_pellegrino_45.3887_10.4940.json,custom
45.346253,10.477484,ov_paintball_arena_45.3463_10.4775,Paintball Arena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/paintball_arena_45.3463_10.4775.json,custom
45.358891,10.485936,ov_palestra_gozzolina_45.3589_10.4859,Palestra Gozzolina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_gozzolina_45.3589_10.4859.json,custom
45.359508,10.485613,ov_latecorazon_scuola_di_ballo_45.3595_10.4856,LateCorazon Scuola di Ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/latecorazon_scuola_di_ballo_45.3595_10.4856.json,custom
45.358873,10.483553,ov_katha_yoga_45.3589_10.4836,Katha Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/katha_yoga_45.3589_10.4836.json,custom
45.389076,10.487254,ov_smile___dance_45.3891_10.4873,Smile & Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/smile_dance_45.3891_10.4873.json,custom
45.387312,10.493336,ov_scuola_di_danza_balletto_citt__di_castig_45.3873_10.4933,Scuola di Danza Balletto Città di Castiglione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/scuola_di_danza_balletto_citt_di_castigl_45.3873_10.4933.json,custom
45.383862,10.505090,ov_palestra_belvedere_45.3839_10.5051,Palestra Belvedere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_belvedere_45.3839_10.5051.json,custom
45.379469,10.502229,ov_palestra_atlas_gym_45.3795_10.5022,Palestra Atlas Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_atlas_gym_45.3795_10.5022.json,custom
45.378466,10.503075,ov_yes_pilates_45.3785_10.5031,Yes Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/yes_pilates_45.3785_10.5031.json,custom
45.375670,10.509060,ov_fitness_club_castiglione_delle_stiviere_45.3757_10.5091,Fitness Club Castiglione delle Stiviere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/fitness_club_castiglione_delle_stiviere_45.3757_10.5091.json,custom
45.375731,10.509120,ov_ciao_fitness_house___castiglione_delle_s_45.3757_10.5091,CIAO Fitness House - Castiglione delle Stiviere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ciao_fitness_house_-_castiglione_delle_s_45.3757_10.5091.json,custom
45.376746,10.506082,ov_palestra_madame_sisi_sport_club_45.3767_10.5061,Palestra Madame Sisi Sport Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_madame_sisi_sport_club_45.3767_10.5061.json,custom
45.373611,10.508026,ov_balance_studio_45.3736_10.5080,Balance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/balance_studio_45.3736_10.5080.json,custom
45.370282,10.511582,ov_beyoga_castiglione_45.3703_10.5116,BEYOGA Castiglione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/beyoga_castiglione_45.3703_10.5116.json,custom
45.370242,10.511910,ov_scuola_di_danza_il_cigno_di_daniela_cesc_45.3702_10.5119,Scuola di danza Il Cigno di Daniela Ceschina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/scuola_di_danza_il_cigno_di_daniela_cesc_45.3702_10.5119.json,custom
45.383765,10.521781,ov_scuderia_il_colle_d_oro_45.3838_10.5218,Scuderia Il Colle d'Oro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/scuderia_il_colle_doro_45.3838_10.5218.json,custom
45.359434,10.510856,ov_esso_45.3594_10.5109,Esso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/esso_45.3594_10.5109.json,custom
45.392692,10.470068,ov_crossfit_castiglione_45.3927_10.4701,CrossFit Castiglione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/crossfit_castiglione_45.3927_10.4701.json,custom
45.392760,10.470076,ov_palestra_action_club_45.3928_10.4701,Palestra Action Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_action_club_45.3928_10.4701.json,custom
45.395997,10.483032,ov_palestra_caglio_45.3960_10.4830,Palestra Caglio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/palestra_caglio_45.3960_10.4830.json,custom
45.398864,10.486374,ov_ronin_dojo_ju_jitsu_associazione_sportiv_45.3989_10.4864,Ronin Dojo Ju Jitsu Associazione Sportiva Dilettantistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ronin_dojo_ju_jitsu_associazione_sportiv_45.3989_10.4864.json,custom
45.402221,10.483111,ov_tiro_a_segno_nazionale_45.4022_10.4831,Tiro a Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/tiro_a_segno_nazionale_45.4022_10.4831.json,custom
45.389656,10.486461,ov_museo_della_sposa_45.3897_10.4865,Museo della Sposa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/museo_della_sposa_45.3897_10.4865.json,custom
45.389349,10.492369,ov_international_museum_of_the_red_cross_45.3893_10.4924,International Museum of the Red Cross,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/international_museum_of_the_red_cross_45.3893_10.4924.json,custom
45.392298,10.492917,ov_castello_di_castiglione_45.3923_10.4929,Castello di Castiglione,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/castello_di_castiglione_45.3923_10.4929.json,custom
45.390694,10.487227,ov_museo_storico_aloisiano_45.3907_10.4872,Museo Storico Aloisiano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/museo_storico_aloisiano_45.3907_10.4872.json,custom
45.389390,10.489970,ov_biblioteca_educativa_asilo_menghini_45.3894_10.4900,Biblioteca Educativa Asilo Menghini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/biblioteca_educativa_asilo_menghini_45.3894_10.4900.json,custom
45.394164,10.488253,ov_biblioteca_comunale_arturo_sigurt__casti_45.3942_10.4883,Biblioteca Comunale Arturo Sigurtà Castiglione delle Stivier,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/biblioteca_comunale_arturo_sigurt_castig_45.3942_10.4883.json,custom
45.394164,10.488253,osm_bibioteca_comunale_palazzo_pastore_45.3942_10.4883,Bibioteca Comunale Palazzo Pastore,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/bibioteca_comunale_palazzo_pastore_45.3942_10.4883.json,custom
