# lat,lng,id,name,building_type,type,url,page_type
# oleggio -- Tutti
45.598404,8.636269,osm_asl13___ambulatori_oleggio_45.5984_8.6363,ASL13 - Ambulatori Oleggio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/asl13_-_ambulatori_oleggio_45.5984_8.6363.json,custom
45.599651,8.644244,ov_osaka_sushi_45.5997_8.6442,Osaka Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/osaka_sushi_45.5997_8.6442.json,custom
45.599644,8.644210,ov_amy_sushi_45.5996_8.6442,AMY Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/amy_sushi_45.5996_8.6442.json,custom
45.600154,8.646051,ov_mcdonald_s_45.6002_8.6461,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/mcdonalds_45.6002_8.6461.json,custom
45.597998,8.682300,ov_il_ristoro_45.5980_8.6823,Il Ristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_ristoro_45.5980_8.6823.json,custom
45.596284,8.637248,ov_f_lli_macondo_45.5963_8.6372,F.lli Macondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/flli_macondo_45.5963_8.6372.json,custom
45.594212,8.637443,ov_pizzeria_ristorante_la_rosa_dei_venti_45.5942_8.6374,Pizzeria Ristorante La Rosa dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/pizzeria_ristorante_la_rosa_dei_venti_45.5942_8.6374.json,custom
45.594837,8.619846,ov_ristorante_le_fornaci_45.5948_8.6198,Ristorante Le Fornaci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ristorante_le_fornaci_45.5948_8.6198.json,custom
45.593453,8.643583,ov_la_vecchia_lira_45.5935_8.6436,La Vecchia Lira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/la_vecchia_lira_45.5935_8.6436.json,custom
45.593350,8.643790,ov_trattorialavecchialira_45.5934_8.6438,trattorialavecchialira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/trattorialavecchialira_45.5934_8.6438.json,custom
45.592645,8.651776,ov_osteria_del_mercato_sas_di_landone_silvi_45.5926_8.6518,Osteria Del Mercato SAS di Landone Silvia & Bisagni Lorenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/osteria_del_mercato_sas_di_landone_silvi_45.5926_8.6518.json,custom
45.591295,8.599625,ov_paesano_45.5913_8.5996,Paesano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/paesano_45.5913_8.5996.json,custom
45.591212,8.695040,ov_chiosco_ticino_45.5912_8.6950,Chiosco Ticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/chiosco_ticino_45.5912_8.6950.json,custom
45.587752,8.677174,ov_ristorante_l_oca_nera_45.5878_8.6772,Ristorante L'Oca Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ristorante_loca_nera_45.5878_8.6772.json,custom
45.588722,8.593569,ov_trattoria_ferrovieri_45.5887_8.5936,Trattoria Ferrovieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/trattoria_ferrovieri_45.5887_8.5936.json,custom
45.589546,8.612454,ov_campus_la_chiocciola_45.5895_8.6125,Campus la Chiocciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/campus_la_chiocciola_45.5895_8.6125.json,custom
45.589690,8.612362,ov_agriturismo_alle_cascine_bellini_45.5897_8.6124,Agriturismo alle Cascine Bellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/agriturismo_alle_cascine_bellini_45.5897_8.6124.json,custom
45.589724,8.612501,ov_azienda_agricola_cascine_bellini_45.5897_8.6125,Azienda Agricola Cascine Bellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/azienda_agricola_cascine_bellini_45.5897_8.6125.json,custom
45.589646,8.639880,ov_cielo_azzurro_45.5896_8.6399,Cielo Azzurro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/cielo_azzurro_45.5896_8.6399.json,custom
45.590278,8.641980,ov_buffalo_restaurant_45.5903_8.6420,Buffalo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/buffalo_restaurant_45.5903_8.6420.json,custom
45.583438,8.617438,ov_agriturismo_i_girasoli_dei_ranabock_45.5834_8.6174,Agriturismo I Girasoli Dei Ranabock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/agriturismo_i_girasoli_dei_ranabock_45.5834_8.6174.json,custom
45.606622,8.651010,ov_la_griglia_45.6066_8.6510,La Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/la_griglia_45.6066_8.6510.json,custom
45.599941,8.637400,osm_dinamo_45.5999_8.6374,Dinamo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/dinamo_45.5999_8.6374.json,custom
45.597642,8.639573,osm_il_gatto_e_la_volpe_45.5976_8.6396,Il gatto e la volpe,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_gatto_e_la_volpe_45.5976_8.6396.json,custom
45.597306,8.637360,osm_pizzeria_2002_45.5973_8.6374,Pizzeria 2002,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/pizzeria_2002_45.5973_8.6374.json,custom
45.599803,8.637491,osm_dinamo_ristorante_45.5998_8.6375,Dinamo Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/dinamo_ristorante_45.5998_8.6375.json,custom
45.596516,8.635270,osm_albergo_roma_45.5965_8.6353,Albergo Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/albergo_roma_45.5965_8.6353.json,custom
45.598032,8.682328,osm_trattoria_del_ristoro_45.5980_8.6823,Trattoria del Ristoro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/trattoria_del_ristoro_45.5980_8.6823.json,custom
45.597454,8.639021,ov_osteria_il_gatto_e_la_volpe_45.5975_8.6390,Osteria Il Gatto e la Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/osteria_il_gatto_e_la_volpe_45.5975_8.6390.json,custom
45.597272,8.636843,ov_mix_oleggio_45.5973_8.6368,MIX Oleggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/mix_oleggio_45.5973_8.6368.json,custom
45.597213,8.636837,ov_bar_ai_portici_45.5972_8.6368,Bar Ai Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_ai_portici_45.5972_8.6368.json,custom
45.597160,8.633700,ov_l_edicola_della_stazione_45.5972_8.6337,L'edicola della stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ledicola_della_stazione_45.5972_8.6337.json,custom
45.598087,8.634498,ov_coffee_break_45.5981_8.6345,Coffee Break,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/coffee_break_45.5981_8.6345.json,custom
45.597759,8.634967,ov_bar_italia__61_45.5978_8.6350,Bar Italia '61,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_italia_61_45.5978_8.6350.json,custom
45.597667,8.635711,ov_drogheria_caffe_45.5977_8.6357,Drogheria Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/drogheria_caffe_45.5977_8.6357.json,custom
45.597520,8.637773,ov_bar_pizzeria_al_cappello_rosso_45.5975_8.6378,Bar Pizzeria Al Cappello Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_pizzeria_al_cappello_rosso_45.5975_8.6378.json,custom
45.597507,8.635973,ov_bar_interno_15_45.5975_8.6360,Bar Interno 15,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_interno_15_45.5975_8.6360.json,custom
45.597577,8.634268,ov_caffe_teatro_45.5976_8.6343,Caffe Teatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/caffe_teatro_45.5976_8.6343.json,custom
45.598480,8.635766,ov_damama_45.5985_8.6358,Damama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/damama_45.5985_8.6358.json,custom
45.598473,8.635795,ov_i_2_ladroni_45.5985_8.6358,I 2 Ladroni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/i_2_ladroni_45.5985_8.6358.json,custom
45.599513,8.636131,ov_blue_cafe_45.5995_8.6361,Blue Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/blue_cafe_45.5995_8.6361.json,custom
45.599087,8.634861,ov_kessy_bar_45.5991_8.6349,Kessy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/kessy_bar_45.5991_8.6349.json,custom
45.599958,8.637835,ov_il_verdi_45.6000_8.6378,Il Verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_verdi_45.6000_8.6378.json,custom
45.596096,8.635667,ov_la_brasiliana_45.5961_8.6357,La Brasiliana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/la_brasiliana_45.5961_8.6357.json,custom
45.596377,8.626980,ov_gaia_lounge_bar_e_ristorante_45.5964_8.6270,Gaia Lounge Bar e Ristorante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/gaia_lounge_bar_e_ristorante_45.5964_8.6270.json,custom
45.596704,8.637445,ov_bar_caff__vittoria_45.5967_8.6374,Bar Caffè Vittoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_caff_vittoria_45.5967_8.6374.json,custom
45.593054,8.646782,ov_break_bar_45.5931_8.6468,Break Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/break_bar_45.5931_8.6468.json,custom
45.591745,8.654581,ov_ristobar_sogno_d_oro__45.5917_8.6546,Ristobar sogno d'oro.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ristobar_sogno_doro_45.5917_8.6546.json,custom
45.588646,8.647084,ov_bar_sala_slot_la_rotonda_45.5886_8.6471,Bar Sala Slot La Rotonda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/bar_sala_slot_la_rotonda_45.5886_8.6471.json,custom
45.590068,8.643010,ov_pitagora_cafe_45.5901_8.6430,Pitagora Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/pitagora_cafe_45.5901_8.6430.json,custom
45.615645,8.647079,ov_the_poitin_stil_45.6156_8.6471,The Poitin Stil,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/the_poitin_stil_45.6156_8.6471.json,custom
45.596786,8.637559,osm_due_baci_45.5968_8.6376,Due Baci,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/due_baci_45.5968_8.6376.json,custom
45.596254,8.637208,osm_fratelli_macondo_45.5963_8.6372,Fratelli Macondo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/fratelli_macondo_45.5963_8.6372.json,custom
45.599258,8.631286,osm_il_menestrello_bistrot_45.5993_8.6313,Il Menestrello Bistrot,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_menestrello_bistrot_45.5993_8.6313.json,custom
45.598067,8.634471,osm_coffee_break_bar_45.5981_8.6345,Coffee Break Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/coffee_break_bar_45.5981_8.6345.json,custom
45.597460,8.635924,osm_interno_15_45.5975_8.6359,Interno 15,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/interno_15_45.5975_8.6359.json,custom
45.598628,8.638540,ov_asd_ginnastica_twirling_oleggio_45.5986_8.6385,ASD Ginnastica Twirling Oleggio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/asd_ginnastica_twirling_oleggio_45.5986_8.6385.json,custom
45.599745,8.633261,ov_l_albero_dei_karismi___yoga_oleggio_45.5997_8.6333,L'albero dei Karismi | Yoga Oleggio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/lalbero_dei_karismi_yoga_oleggio_45.5997_8.6333.json,custom
45.595100,8.635170,ov_aquam_oleggio_45.5951_8.6352,Aquam Oleggio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/aquam_oleggio_45.5951_8.6352.json,custom
45.589731,8.611965,ov_scuderia_del_gordon_a_s_d__45.5897_8.6120,Scuderia del Gordon A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/scuderia_del_gordon_asd_45.5897_8.6120.json,custom
45.589605,8.639871,ov_oleggio_benefit_societ__sportiva_diletta_45.5896_8.6399,Oleggio Benefit Società Sportiva Dilettantistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/oleggio_benefit_societ_sportiva_dilettan_45.5896_8.6399.json,custom
45.589590,8.640076,ov_il_laboratorio_della_schiena_45.5896_8.6401,IL Laboratorio Della Schiena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/il_laboratorio_della_schiena_45.5896_8.6401.json,custom
45.595896,8.638716,ov_museo_civico_etnografico_archeologico_c__45.5959_8.6387,Museo Civico Etnografico Archeologico C.G. Fanchini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/museo_civico_etnografico_archeologico_cg_45.5959_8.6387.json,custom
45.596523,8.638287,ov_museo_d_arte_religiosa_45.5965_8.6383,Museo d'Arte Religiosa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/museo_darte_religiosa_45.5965_8.6383.json,custom
45.601826,8.637656,osm_ufficio_postale_di_oleggio_45.6018_8.6377,Ufficio postale di Oleggio,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/ufficio_postale_di_oleggio_45.6018_8.6377.json,custom
45.595797,8.638609,ov_biblioteca_civica_julitta_45.5958_8.6386,Biblioteca Civica Julitta,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/biblioteca_civica_julitta_45.5958_8.6386.json,custom
45.593263,8.642720,ov_libreria_girapagina_45.5933_8.6427,Libreria Girapagina,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/oleggio/pages/libreria_girapagina_45.5933_8.6427.json,custom
