# lat,lng,id,name,building_type,type,url,page_type
# cortemaggiore -- Tutti
44.994250,9.928650,ov_ospedale_di_cortemaggiore_44.9943_9.9286,Ospedale di Cortemaggiore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/ospedale_di_cortemaggiore_44.9943_9.9286.json,custom
45.006909,9.876392,ov_trattoria_angenna_45.0069_9.8764,Trattoria Angenna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/trattoria_angenna_45.0069_9.8764.json,custom
45.008278,9.871852,ov_la_tavola_rotonda_45.0083_9.8719,La Tavola Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/la_tavola_rotonda_45.0083_9.8719.json,custom
45.008461,9.871990,ov_pedra_nuova_45.0085_9.8720,Pedra Nuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/pedra_nuova_45.0085_9.8720.json,custom
44.985601,9.926775,ov_blue_bar_44.9856_9.9268,Blue Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/blue_bar_44.9856_9.9268.json,custom
44.986049,9.926542,ov_sonilife_cafe_44.9860_9.9265,SoniLife Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/sonilife_cafe_44.9860_9.9265.json,custom
44.990930,9.928530,ov__ngel_caf__44.9909_9.9285,Àngel café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/ngel_caf_44.9909_9.9285.json,custom
44.991140,9.928690,ov_legend_pub_cortemaggiore_44.9911_9.9287,Legend Pub Cortemaggiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/legend_pub_cortemaggiore_44.9911_9.9287.json,custom
44.996437,9.930765,ov_mood_44.9964_9.9308,Mood,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/mood_44.9964_9.9308.json,custom
44.995597,9.931206,ov_bar_gelateria_artigianale_44.9956_9.9312,Bar Gelateria Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/bar_gelateria_artigianale_44.9956_9.9312.json,custom
44.995255,9.931188,ov_sueno_caffe_44.9953_9.9312,Sueno Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/sueno_caffe_44.9953_9.9312.json,custom
44.996968,9.928026,ov_caffe_imperiale_bar_44.9970_9.9280,Caffe'imperiale Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/caffeimperiale_bar_44.9970_9.9280.json,custom
44.997463,9.931976,ov_bar_marvin_44.9975_9.9320,Bar Marvin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/bar_marvin_44.9975_9.9320.json,custom
44.997130,9.932130,ov_arci_cortemaggiore_44.9971_9.9321,Arci Cortemaggiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/arci_cortemaggiore_44.9971_9.9321.json,custom
44.997766,9.934787,ov_enjoy_fitness_center_44.9978_9.9348,Enjoy Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/enjoy_fitness_center_44.9978_9.9348.json,custom
45.008506,9.872007,ov_castello_di_chiavenna_landi_45.0085_9.8720,Castello di Chiavenna Landi,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/castello_di_chiavenna_landi_45.0085_9.8720.json,custom
44.994666,9.930439,ov_biblioteca_comunale_di_cortemaggiore_44.9947_9.9304,Biblioteca Comunale di Cortemaggiore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cortemaggiore/pages/biblioteca_comunale_di_cortemaggiore_44.9947_9.9304.json,custom
