# lat,lng,id,name,building_type,type
# Terlizzi -- Tutti
41.129978,16.542702,ov_borgo_35_41.1300_16.5427,Borgo 35,RESTAURANT,bar_cafe
41.129110,16.542934,ov_sviniamo_41.1291_16.5429,Sviniamo,RESTAURANT,bar_cafe
41.128935,16.540991,ov_banana_41.1289_16.5410,Banana,RESTAURANT,bar_cafe
41.128829,16.541422,ov_marinelli_privilege_bar_41.1288_16.5414,Marinelli Privilege Bar,RESTAURANT,bar_cafe
41.128741,16.540847,ov_chapeau_cafe_41.1287_16.5408,Chapeau Cafe,RESTAURANT,bar_cafe
41.128788,16.541173,ov_marinico_caffe_h24_41.1288_16.5412,Marinico Caffe H24,RESTAURANT,bar_cafe
41.128937,16.541850,ov_cordiale_41.1289_16.5419,Cordiale,RESTAURANT,bar_cafe
41.128816,16.536841,ov_il_cibo_degli_dei_41.1288_16.5368,Il Cibo Degli Dei,RESTAURANT,bar_cafe
41.109365,16.528931,ov_next_stop_snc_41.1094_16.5289,Next Stop Snc,RESTAURANT,bar_cafe
41.135260,16.540850,ov_mat_bistrot_41.1353_16.5408,MAT bistrot,RESTAURANT,bar_cafe
41.133160,16.542160,ov_cafe_aladdin_41.1332_16.5422,Cafe Aladdin,RESTAURANT,bar_cafe
41.132848,16.539650,ov_caffetteria_elide_41.1328_16.5397,Caffetteria Elide,RESTAURANT,bar_cafe
41.116536,16.582208,ov_sovero_snack_41.1165_16.5822,Sovero snack,RESTAURANT,bar_cafe
41.117137,16.579724,ov_suberito_rooms_bar_41.1171_16.5797,Suberito rooms&bar,RESTAURANT,bar_cafe
41.126781,16.546520,ov_wimm_cafe_41.1268_16.5465,Wimm Cafe,RESTAURANT,bar_cafe
41.126469,16.551890,ov_boycott_il_rifugio_locale_41.1265_16.5519,Boycott Il Rifugio Locale,RESTAURANT,bar_cafe
41.127230,16.548607,ov_bar_pizzeria_europa_41.1272_16.5486,Bar Pizzeria Europa,RESTAURANT,bar_cafe
41.128546,16.551572,ov_stowaway_cafe_il_clandestino_41.1285_16.5516,Stowaway Cafe Il Clandestino,RESTAURANT,bar_cafe
41.130931,16.552732,ov_gianicolo_coffee_bar_41.1309_16.5527,Gianicolo Coffee Bar,RESTAURANT,bar_cafe
41.130569,16.551444,ov_harry_s_bar_terlizzi_41.1306_16.5514,Harry's Bar Terlizzi,RESTAURANT,bar_cafe
41.130379,16.548159,ov_cin_cin_bar_41.1304_16.5482,Cin cin Bar,RESTAURANT,bar_cafe
41.130366,16.548728,ov_night_and_day_bar_gelateria_41.1304_16.5487,Night and Day Bar Gelateria,RESTAURANT,bar_cafe
41.130050,16.548240,ov_bar_da_gianna_viale_roma_49_terlizzi_41.1300_16.5482,Bar da gianna viale roma 49 terlizzi,RESTAURANT,bar_cafe
41.130038,16.548831,ov_la_dolce_vita_gelateria_41.1300_16.5488,La Dolce Vita Gelateria,RESTAURANT,bar_cafe
41.130290,16.545989,ov_trelicio_41.1303_16.5460,Trelicio,RESTAURANT,bar_cafe
41.131995,16.548144,ov_plaza_cafe_41.1320_16.5481,Plaza Cafe,RESTAURANT,bar_cafe
41.131856,16.550640,ov_the_drip_41.1319_16.5506,THE DRIP,RESTAURANT,bar_cafe
41.133471,16.547308,ov_bar_veneto_41.1335_16.5473,Bar Veneto,RESTAURANT,bar_cafe
41.133703,16.545940,ov_break_time_41.1337_16.5459,Break Time,RESTAURANT,bar_cafe
41.133848,16.546689,ov_public_cafe_41.1338_16.5467,Public Cafe,RESTAURANT,bar_cafe
41.130407,16.548148,osm_cin_cin_bar_2_0_41.1304_16.5481,Cin Cin Bar 2.0,bar_cafe,bar_cafe
41.127531,16.548560,osm_sprite_41.1275_16.5486,Sprite,bar_cafe,bar_cafe
41.130587,16.551474,osm_harry_s_bar_41.1306_16.5515,Harry's Bar,bar_cafe,bar_cafe
41.130105,16.550790,osm_bar_orchidea_41.1301_16.5508,Bar Orchidea,bar_cafe,bar_cafe
41.130294,16.542908,osm_caff__savoia_41.1303_16.5429,Caffè Savoia,bar_cafe,bar_cafe
41.133813,16.543513,osm_bar_magik_41.1338_16.5435,Bar Magik,bar_cafe,bar_cafe
41.130298,16.538736,osm_l_ancora_41.1303_16.5387,L'Ancora,bar_cafe,bar_cafe
41.132986,16.539648,osm_alter_ego_41.1330_16.5396,Alter ego,bar_cafe,bar_cafe
41.132063,16.538235,osm_caf__maxim_s_41.1321_16.5382,Cafè Maxim's,bar_cafe,bar_cafe
41.131583,16.536695,osm_bet___bar_41.1316_16.5367,Bet & Bar,bar_cafe,bar_cafe
41.130054,16.541105,osm_bar_cattedrale_41.1301_16.5411,Bar Cattedrale,bar_cafe,bar_cafe
41.128579,16.541526,osm_caff__marinelli_41.1286_16.5415,Caffè Marinelli,bar_cafe,bar_cafe
41.128524,16.549606,osm_stasi_bar_41.1285_16.5496,Stasi Bar,bar_cafe,bar_cafe
41.133710,16.545934,osm_break_time_cafe__41.1337_16.5459,Break Time Cafe',bar_cafe,bar_cafe
41.133844,16.545588,osm_the_barr_41.1338_16.5456,The Barr,bar_cafe,bar_cafe
41.129660,16.541522,osm_vintage_caff__41.1297_16.5415,Vintage Caffè,bar_cafe,bar_cafe
41.129508,16.540259,osm_bibap_41.1295_16.5403,Bibap,bar_cafe,bar_cafe
41.129624,16.540795,osm_caminito_41.1296_16.5408,Caminito,bar_cafe,bar_cafe
41.131537,16.538871,osm_dominga_caff__41.1315_16.5389,Dominga Caffè,bar_cafe,bar_cafe
41.133550,16.547358,osm_bar_veneto_41.1335_16.5474,Bar Veneto,bar_cafe,bar_cafe
41.130313,16.544377,osm_soleluna_41.1303_16.5444,SoleLuna,bar_cafe,bar_cafe
41.126837,16.546618,osm_winn_caf__41.1268_16.5466,Winn Café,bar_cafe,bar_cafe
41.129271,16.551590,osm_galaxy_caff__41.1293_16.5516,Galaxy Caffè,bar_cafe,bar_cafe
41.132807,16.539360,osm_caffetteria___beer_shop_eli_de_41.1328_16.5394,Caffetteria - Beer Shop Eliìde,bar_cafe,bar_cafe
41.129188,16.542558,osm_caffetteria_gelateria_michele_de_napoli_41.1292_16.5426,Caffetteria Gelateria Michele De Napoli,bar_cafe,bar_cafe
41.118138,16.549806,osm_ulivi_di_san_giuliano_41.1181_16.5498,Ulivi di San Giuliano,bar_cafe,bar_cafe
41.133840,16.546651,osm_blink_bar_41.1338_16.5467,Blink Bar,bar_cafe,bar_cafe
41.129267,16.548503,osm_dolci_incontri_41.1293_16.5485,Dolci Incontri,bar_cafe,bar_cafe
41.127235,16.548670,osm_pizzeria_piazza_europa_41.1272_16.5487,Pizzeria Piazza Europa,bar_cafe,bar_cafe
41.128857,16.535466,osm_sottocoperta_bar_41.1289_16.5355,Sottocoperta Bar,bar_cafe,bar_cafe
41.129903,16.549698,osm_caff__e_dintorni_41.1299_16.5497,caffè e dintorni,bar_cafe,bar_cafe
41.130094,16.551727,osm_bam132_41.1301_16.5517,Bam132,bar_cafe,bar_cafe
41.130094,16.550182,osm_chicco_d_oro_41.1301_16.5502,Chicco D'oro,bar_cafe,bar_cafe
41.128967,16.538888,osm_bar_millico_41.1290_16.5389,Bar Millico,bar_cafe,bar_cafe
41.126260,16.541057,osm_il_gal__41.1263_16.5411,Il Galè,bar_cafe,bar_cafe
41.128553,16.551793,osm_stowaway_41.1286_16.5518,Stowaway,bar_cafe,bar_cafe
41.131257,16.540687,osm_prosit_caf__41.1313_16.5407,Prosit Cafè,bar_cafe,bar_cafe
41.130912,16.552741,osm_il_gianicolo_41.1309_16.5527,Il Gianicolo,bar_cafe,bar_cafe
41.130094,16.540430,osm_fuoriposto_41.1301_16.5404,Fuoriposto,bar_cafe,bar_cafe
41.128565,16.541345,osm_artemide_41.1286_16.5413,Artemide,bar_cafe,bar_cafe
41.129221,16.542428,osm_dante___divino_convivio_41.1292_16.5424,Dante - Divino Convivio,bar_cafe,bar_cafe
41.130948,16.542318,osm_pausa_caff__41.1309_16.5423,Pausa Caffè,bar_cafe,bar_cafe
41.128673,16.540715,osm_chapeau_41.1287_16.5407,Chapeau,bar_cafe,bar_cafe
41.130434,16.546481,osm_three_angels_41.1304_16.5465,Three Angels,bar_cafe,bar_cafe
41.131941,16.544039,osm_caff__galitelli_41.1319_16.5440,Caffè Galitelli,bar_cafe,bar_cafe
41.129913,16.542514,osm_borgo35_41.1299_16.5425,Borgo35,bar_cafe,bar_cafe
41.130352,16.541159,osm_botanico_41.1304_16.5412,Botanico,bar_cafe,bar_cafe
41.134739,16.541623,osm_famila_bistrot_41.1347_16.5416,Famila Bistrot,bar_cafe,bar_cafe
41.132146,16.548364,osm_plaza_caf__41.1321_16.5484,Plaza cafè,bar_cafe,bar_cafe
41.129606,16.537223,osm_zona_75_41.1296_16.5372,Zona 75,bar_cafe,bar_cafe
41.130175,16.548686,osm_gelateria_il_desiderio_41.1302_16.5487,Gelateria Il Desiderio,bar_cafe,bar_cafe
41.130178,16.547188,osm_gelateria_da_andrea_41.1302_16.5472,Gelateria Da Andrea,bar_cafe,bar_cafe
41.117139,16.579822,osm_suberito_41.1171_16.5798,Suberito,bar_cafe,bar_cafe
41.130792,16.519566,ov_campetti_salvatore_41.1308_16.5196,Campetti Salvatore,GYM,palestra
41.131023,16.520251,ov_terlizzi_sporting_center_41.1310_16.5203,Terlizzi Sporting Center,GYM,palestra
41.132391,16.542916,ov_oltreleondeasd_41.1324_16.5429,OltreLeOndeASD,GYM,palestra
41.131250,16.545512,ov_fit_lab_personal_training_service_41.1313_16.5455,FIT LAB personal training service,GYM,palestra
41.128642,16.543951,ov_arcadia_centro_discipline_orientali_41.1286_16.5440,Arcadia Centro Discipline Orientali,GYM,palestra
41.127933,16.544513,ov_fitness_studio_41.1279_16.5445,Fitness Studio,GYM,palestra
41.129107,16.535249,ov_villa__romanazzi_carducci__bari_41.1291_16.5352,Villa  Romanazzi Carducci  Bari,GYM,palestra
41.133170,16.541575,ov_new_fitness_academy_41.1332_16.5416,New Fitness Academy,GYM,palestra
41.123830,16.550050,ov_kombateam_puglia_41.1238_16.5500,Kombateam Puglia,GYM,palestra
41.125439,16.547099,ov_danzarte_41.1254_16.5471,Danzarte,GYM,palestra
41.125920,16.550580,ov_activity_center___dance_fitness_41.1259_16.5506,Activity Center - Dance&Fitness,GYM,palestra
41.125940,16.550606,ov_siente_y_baila_conmigo_41.1259_16.5506,Siente y Baila conmigo,GYM,palestra
41.127160,16.548330,ov_rainbow_ludoteca_41.1272_16.5483,rainbow ludoteca,GYM,palestra
41.127393,16.545869,ov_abi_dance_41.1274_16.5459,ABI Dance,GYM,palestra
41.129305,16.551291,ov_adrit_danceclass_41.1293_16.5513,AdriT Danceclass,GYM,palestra
41.129727,16.547573,ov_magic_dance_1_41.1297_16.5476,Magic Dance 1,GYM,palestra
41.130043,16.548081,ov_blu_shark_diving_41.1300_16.5481,Blu Shark Diving,GYM,palestra
41.131009,16.546550,ov_dna_danza_41.1310_16.5465,Dna Danza,GYM,palestra
41.132406,16.547083,ov_planet_fitness_gym_41.1324_16.5471,Planet Fitness Gym,GYM,palestra
41.129039,16.542673,ov_pinacoteca_michele_de_napoli_41.1290_16.5427,Pinacoteca Michele de Napoli,MUSEUM,monumento
41.129283,16.541495,ov_edicola_rara_41.1293_16.5415,Edicola RaRa,MUSEUM,monumento
