# lat,lng,id,name,building_type,type,url,page_type
# Francavilla Fontana -- Tutti
40.539555,17.576892,osm_pronto_soccorso_ospedale_francavilla_fon_40.5396_17.5769,Pronto Soccorso Ospedale Francavilla Fontana,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pronto_soccorso_ospedale_francavilla_fon_40.5396_17.5769.json,custom
40.529529,17.584051,ov_pizzeria_queen_s_40.5295_17.5841,Pizzeria Queen's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_queens_40.5295_17.5841.json,custom
40.529466,17.584504,ov_pescheria_l_aragosta_40.5295_17.5845,Pescheria l'aragosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pescheria_laragosta_40.5295_17.5845.json,custom
40.529790,17.583666,ov_mordi___fuggi_40.5298_17.5837,Mordi & Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/mordi_fuggi_40.5298_17.5837.json,custom
40.529926,17.583479,ov_la_bottega_del_pizzaiolo_40.5299_17.5835,La bottega del pizzaiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_bottega_del_pizzaiolo_40.5299_17.5835.json,custom
40.529246,17.584650,ov_hamburgo_food_drink_40.5292_17.5846,Hamburgo Food&Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/hamburgo_fooddrink_40.5292_17.5846.json,custom
40.528513,17.586542,ov_l_arco_dei_sapori_40.5285_17.5865,L'Arco Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/larco_dei_sapori_40.5285_17.5865.json,custom
40.527431,17.582336,ov_al_piccolo_mondo_40.5274_17.5823,Al Piccolo Mondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/al_piccolo_mondo_40.5274_17.5823.json,custom
40.526880,17.583149,ov_casa_resta_40.5269_17.5831,Casa Resta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/casa_resta_40.5269_17.5831.json,custom
40.527870,17.580560,ov_pyro_s_food_40.5279_17.5806,Pyro's Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pyros_food_40.5279_17.5806.json,custom
40.528434,17.580419,ov_pizzeria_da_gianni_di_caliandro_giovanni_40.5284_17.5804,Pizzeria da Gianni di Caliandro Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_da_gianni_di_caliandro_giovanni_40.5284_17.5804.json,custom
40.528435,17.582901,ov_amare_fish___food_40.5284_17.5829,Amare Fish & Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/amare_fish_food_40.5284_17.5829.json,custom
40.528799,17.582457,ov_la_locanda_dei_marinai_40.5288_17.5825,La locanda dei marinai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_locanda_dei_marinai_40.5288_17.5825.json,custom
40.528778,17.582407,ov_trattoria_pizzeria_la_strettula_40.5288_17.5824,Trattoria Pizzeria La Strettula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trattoria_pizzeria_la_strettula_40.5288_17.5824.json,custom
40.531947,17.575352,ov_borgo_pizza_40.5319_17.5754,Borgo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/borgo_pizza_40.5319_17.5754.json,custom
40.533320,17.582664,ov_porta_roccella_40.5333_17.5827,Porta Roccella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/porta_roccella_40.5333_17.5827.json,custom
40.532207,17.583476,ov_il_rosso_piccante_40.5322_17.5835,Il Rosso Piccante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/il_rosso_piccante_40.5322_17.5835.json,custom
40.532585,17.585100,ov_la_rustichella_40.5326_17.5851,La Rustichella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_rustichella_40.5326_17.5851.json,custom
40.533108,17.585185,ov_pizzeria_paninoteca_briciole_40.5331_17.5852,Pizzeria Paninoteca Briciole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_paninoteca_briciole_40.5331_17.5852.json,custom
40.533571,17.581678,ov_patres_40.5336_17.5817,Patres,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/patres_40.5336_17.5817.json,custom
40.533979,17.581096,ov_pizzeria_amore___passione_40.5340_17.5811,Pizzeria Amore & Passione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_amore_passione_40.5340_17.5811.json,custom
40.536269,17.582760,ov_pizzeria_la_buona_luna_40.5363_17.5828,Pizzeria La Buona Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pizzeria_la_buona_luna_40.5363_17.5828.json,custom
40.535233,17.578544,ov_la_fenice_40.5352_17.5785,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_fenice_40.5352_17.5785.json,custom
40.558361,17.594538,ov_level_up_ristopub_pizzeria_40.5584_17.5945,Level Up Ristopub Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/level_up_ristopub_pizzeria_40.5584_17.5945.json,custom
40.555420,17.594280,ov_da_mery_dace_pizzeria_40.5554_17.5943,Da Mery dace pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/da_mery_dace_pizzeria_40.5554_17.5943.json,custom
40.548669,17.571493,ov_coimbra_brothers___francavilla_fontana_40.5487_17.5715,Coimbra Brothers - Francavilla Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/coimbra_brothers_-_francavilla_fontana_40.5487_17.5715.json,custom
40.581723,17.615686,ov_ristorante_villareale_40.5817_17.6157,Ristorante Villareale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/ristorante_villareale_40.5817_17.6157.json,custom
40.581613,17.615365,ov_villa_reale_40.5816_17.6154,Villa Reale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/villa_reale_40.5816_17.6154.json,custom
40.574418,17.581125,ov_farm_stay_tredicina_40.5744_17.5811,Farm Stay Tredicina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/farm_stay_tredicina_40.5744_17.5811.json,custom
40.559621,17.659463,ov_masseria_giulio_40.5596_17.6595,Masseria Giulio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/masseria_giulio_40.5596_17.6595.json,custom
40.536762,17.647369,ov_autogrill_40.5368_17.6474,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/autogrill_40.5368_17.6474.json,custom
40.526632,17.588721,osm_moku_sushi_40.5266_17.5887,Moku Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/moku_sushi_40.5266_17.5887.json,custom
40.529482,17.584130,osm_queen_s_40.5295_17.5841,Queen's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/queens_40.5295_17.5841.json,custom
40.527143,17.588226,osm_kebabberia_sabri_40.5271_17.5882,Kebabberia sabri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/kebabberia_sabri_40.5271_17.5882.json,custom
40.526995,17.588360,osm_new_pizza_40.5270_17.5884,New Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/new_pizza_40.5270_17.5884.json,custom
40.525960,17.584043,osm_uma_40.5260_17.5840,UMA,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/uma_40.5260_17.5840.json,custom
40.531317,17.583210,osm_bracito_pizza___grill_40.5313_17.5832,Bracito Pizza & Grill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bracito_pizza_grill_40.5313_17.5832.json,custom
40.531430,17.581844,osm_il_ghiottone_40.5314_17.5818,Il Ghiottone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/il_ghiottone_40.5314_17.5818.json,custom
40.525156,17.586716,osm_quinto_borgo___ristorante_pizzeria_brace_40.5252_17.5867,Quinto Borgo - Ristorante Pizzeria Braceria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/quinto_borgo_-_ristorante_pizzeria_brace_40.5252_17.5867.json,custom
40.534668,17.577889,osm_blu_food_street_food__da_marco__40.5347_17.5779,Blu Food Street Food (da Marco),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/blu_food_street_food_da_marco_40.5347_17.5779.json,custom
40.535191,17.578470,osm_la_fenice_40.5352_17.5785,La Fenice,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/la_fenice_40.5352_17.5785.json,custom
40.529526,17.605201,osm_lucignolo_40.5295_17.6052,Lucignolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/lucignolo_40.5295_17.6052.json,custom
40.531900,17.577722,osm_di_coste_macelleria_braceria_40.5319_17.5777,di Coste Macelleria&Braceria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/di_coste_macelleriabraceria_40.5319_17.5777.json,custom
40.533426,17.581631,osm_patres_40.5334_17.5816,Patres,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/patres_40.5334_17.5816.json,custom
40.529935,17.582370,osm_tavernacolo_40.5299_17.5824,Tavernacolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/tavernacolo_40.5299_17.5824.json,custom
40.531665,17.584058,osm_trecentogradi_fast_food_40.5317_17.5841,Trecentogradi fast food,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/trecentogradi_fast_food_40.5317_17.5841.json,custom
40.533930,17.552370,ov_emidea_40.5339_17.5524,Emidea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/emidea_40.5339_17.5524.json,custom
40.532932,17.556443,ov_caff__fadi_40.5329_17.5564,Caffè Fadi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/caff_fadi_40.5329_17.5564.json,custom
40.525810,17.577320,ov_idunn_caf__40.5258_17.5773,IDUNN CAFÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/idunn_caf_40.5258_17.5773.json,custom
40.524319,17.582693,ov_avenue_coffee_bar_40.5243_17.5827,Avenue Coffee Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/avenue_coffee_bar_40.5243_17.5827.json,custom
40.525741,17.579858,ov_green_bar_40.5257_17.5799,Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/green_bar_40.5257_17.5799.json,custom
40.524204,17.584318,ov_dandy_40.5242_17.5843,Dandy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/dandy_40.5242_17.5843.json,custom
40.526115,17.587556,ov_bar_sphinx_40.5261_17.5876,Bar Sphinx,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_sphinx_40.5261_17.5876.json,custom
40.523926,17.593104,ov_sardano_cafe_40.5239_17.5931,Sardano Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/sardano_cafe_40.5239_17.5931.json,custom
40.524056,17.593072,ov_thomas_experience_bar_40.5241_17.5931,Thomas experience bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/thomas_experience_bar_40.5241_17.5931.json,custom
40.529382,17.608622,ov_phoenyx_caf__40.5294_17.6086,Phoenyx cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/phoenyx_caf_40.5294_17.6086.json,custom
40.534320,17.587286,ov_bar_mayla_40.5343_17.5873,Bar Mayla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_mayla_40.5343_17.5873.json,custom
40.532149,17.593834,ov_keep_calm_cafe_40.5321_17.5938,Keep Calm Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/keep_calm_cafe_40.5321_17.5938.json,custom
40.531104,17.600837,ov_capobianco_flavia_40.5311_17.6008,Capobianco Flavia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/capobianco_flavia_40.5311_17.6008.json,custom
40.531946,17.590413,ov_pasticceria_dolci_conforti_40.5319_17.5904,Pasticceria Dolci Conforti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/pasticceria_dolci_conforti_40.5319_17.5904.json,custom
40.531766,17.590378,ov_bar_savoia_40.5318_17.5904,Bar Savoia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_savoia_40.5318_17.5904.json,custom
40.532011,17.586883,ov_bar_nico_di_lodedo_domenico___caffetteri_40.5320_17.5869,Bar Nico Di Lodedo Domenico...caffetteria gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_nico_di_lodedo_domenicocaffetteria_g_40.5320_17.5869.json,custom
40.531972,17.584408,ov_nuovo_bar_del_corso_40.5320_17.5844,Nuovo Bar Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/nuovo_bar_del_corso_40.5320_17.5844.json,custom
40.531872,17.584115,ov_punto_97_40.5319_17.5841,Punto 97,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/punto_97_40.5319_17.5841.json,custom
40.531580,17.581868,ov_old_street_40.5316_17.5819,Old Street,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/old_street_40.5316_17.5819.json,custom
40.531565,17.581921,ov_d_vino_drink___food_40.5316_17.5819,D-Vino Drink & Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/d-vino_drink_food_40.5316_17.5819.json,custom
40.531643,17.580957,ov_bar_seventeen_40.5316_17.5810,Bar Seventeen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_seventeen_40.5316_17.5810.json,custom
40.531159,17.581230,ov_bar_aurora_40.5312_17.5812,Bar Aurora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/bar_aurora_40.5312_17.5812.json,custom
40.530563,17.582726,ov_mida_cocktail_bar_40.5306_17.5827,MIDA Cocktail bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/francavilla_fontana/pages/mida_cocktail_bar_40.5306_17.5827.json,custom
