# lat,lng,id,name,building_type,type,url,page_type
# Ferentino -- Tutti
41.690981,13.254951,ov_ospedale_civile_centralino_41.6910_13.2550,Ospedale Civile Centralino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ospedale_civile_centralino_41.6910_13.2550.json,custom
41.689087,13.255527,ov_enosteria_morosini_41.6891_13.2555,Enosteria Morosini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/enosteria_morosini_41.6891_13.2555.json,custom
41.661112,13.249343,ov_bar_pizzeria_break_time_41.6611_13.2493,Bar Pizzeria Break Time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_pizzeria_break_time_41.6611_13.2493.json,custom
41.655948,13.242657,ov_bar_ristorante_blue_moon_41.6559_13.2427,Bar ristorante BLUE MOON,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_ristorante_blue_moon_41.6559_13.2427.json,custom
41.654102,13.227106,ov_ristorante_alicocco_ferentino_41.6541_13.2271,Ristorante Alicocco Ferentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_alicocco_ferentino_41.6541_13.2271.json,custom
41.697273,13.238393,ov_c_c_caff__in_cialde_e_capsule_41.6973_13.2384,C&C Caffè in Cialde e Capsule,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/cc_caff_in_cialde_e_capsule_41.6973_13.2384.json,custom
41.695124,13.245388,ov_ars_mediterranea_41.6951_13.2454,ARS Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ars_mediterranea_41.6951_13.2454.json,custom
41.691745,13.246836,ov_borgo_belvedere_41.6917_13.2468,Borgo Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/borgo_belvedere_41.6917_13.2468.json,custom
41.691879,13.247840,ov_el_gaucho_argentino_41.6919_13.2478,El Gaucho Argentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/el_gaucho_argentino_41.6919_13.2478.json,custom
41.692627,13.250728,ov_pasticceria_luciana_41.6926_13.2507,Pasticceria Luciana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pasticceria_luciana_41.6926_13.2507.json,custom
41.693350,13.250100,ov_villa_galassi_41.6934_13.2501,Villa Galassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/villa_galassi_41.6934_13.2501.json,custom
41.692506,13.250339,ov_pizzeria_la_lanterna_41.6925_13.2503,Pizzeria La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_la_lanterna_41.6925_13.2503.json,custom
41.691755,13.250169,ov_pizzeria_il_capriccio_41.6918_13.2502,Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_il_capriccio_41.6918_13.2502.json,custom
41.692054,13.253756,ov_dolce_e_salato_41.6921_13.2538,Dolce e Salato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/dolce_e_salato_41.6921_13.2538.json,custom
41.692258,13.253638,ov_il_massimo_della_pizza_41.6923_13.2536,Il Massimo Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/il_massimo_della_pizza_41.6923_13.2536.json,custom
41.692108,13.255580,ov_trattoria_consolare_41.6921_13.2556,Trattoria Consolare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/trattoria_consolare_41.6921_13.2556.json,custom
41.689930,13.252682,ov_pizza_d_arte_41.6899_13.2527,Pizza d'Arte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizza_darte_41.6899_13.2527.json,custom
41.689369,13.254341,ov_green_alley_41.6894_13.2543,Green Alley,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/green_alley_41.6894_13.2543.json,custom
41.689280,13.254950,ov_agriturismo_le_spighe_ferentino_fr_41.6893_13.2549,Agriturismo Le Spighe Ferentino-FR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/agriturismo_le_spighe_ferentino-fr_41.6893_13.2549.json,custom
41.690131,13.260337,ov_pizzeria_da_anna_41.6901_13.2603,Pizzeria Da Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_da_anna_41.6901_13.2603.json,custom
41.689300,13.260435,ov_pizzeria_il_capriccio_41.6893_13.2604,Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_il_capriccio_41.6893_13.2604.json,custom
41.696307,13.266613,ov_la_taverna_41.6963_13.2666,La Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/la_taverna_41.6963_13.2666.json,custom
41.695776,13.257085,ov_scrocchia_pizzeria_41.6958_13.2571,Scrocchia Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/scrocchia_pizzeria_41.6958_13.2571.json,custom
41.694499,13.254856,ov_vascello_41.6945_13.2549,Vascello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/vascello_41.6945_13.2549.json,custom
41.694221,13.254437,ov_pix_burger___spasa_bakery_lab_41.6942_13.2544,Pix Burger | Spasa Bakery Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pix_burger_spasa_bakery_lab_41.6942_13.2544.json,custom
41.702624,13.259392,ov_l_angolo_della_pizza_41.7026_13.2594,L'Angolo della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/langolo_della_pizza_41.7026_13.2594.json,custom
41.703572,13.262950,ov_ristorante_domitilla_41.7036_13.2629,Ristorante Domitilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_domitilla_41.7036_13.2629.json,custom
41.716442,13.227836,ov_ristorante_la_fenice_ferentino_41.7164_13.2278,Ristorante la Fenice Ferentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_la_fenice_ferentino_41.7164_13.2278.json,custom
41.710466,13.218088,ov_tot__e_peppino_in_villa_galassi_41.7105_13.2181,Totò e Peppino in Villa Galassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/tot_e_peppino_in_villa_galassi_41.7105_13.2181.json,custom
41.646103,13.265314,ov_trattoria_bar_al_traguardo_41.6461_13.2653,Trattoria Bar Al Traguardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/trattoria_bar_al_traguardo_41.6461_13.2653.json,custom
41.640743,13.266852,ov_froneri_italia_41.6407_13.2669,Froneri Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/froneri_italia_41.6407_13.2669.json,custom
41.757900,13.217570,osm_da_gino_41.7579_13.2176,Da Gino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/da_gino_41.7579_13.2176.json,custom
41.695105,13.235500,osm_tot__e_peppino_pizzeria_ristorante_41.6951_13.2355,Totò e Peppino Pizzeria Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/tot_e_peppino_pizzeria_ristorante_41.6951_13.2355.json,custom
41.753214,13.246417,osm_ristorante_la_romana_41.7532_13.2464,Ristorante La Romana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ristorante_la_romana_41.7532_13.2464.json,custom
41.662399,13.307254,ov_people_cafe_41.6624_13.3073,People Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/people_cafe_41.6624_13.3073.json,custom
41.682668,13.271224,ov_caffetteria_chris_41.6827_13.2712,Caffetteria Chris,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/caffetteria_chris_41.6827_13.2712.json,custom
41.687570,13.276620,ov_al_ritrovo_41.6876_13.2766,Al Ritrovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/al_ritrovo_41.6876_13.2766.json,custom
41.687570,13.276620,ov_cofee__break_41.6876_13.2766,Cofee' BREAK,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/cofee_break_41.6876_13.2766.json,custom
41.687460,13.263980,ov_bar_la_roana_41.6875_13.2640,Bar La Roana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_la_roana_41.6875_13.2640.json,custom
41.688368,13.265098,ov_bar_franca_41.6884_13.2651,Bar Franca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_franca_41.6884_13.2651.json,custom
41.679679,13.254122,ov_bar_romano_41.6797_13.2541,Bar Romano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_romano_41.6797_13.2541.json,custom
41.670502,13.255492,ov_bar_il_sesto_senso_41.6705_13.2555,Bar Il Sesto Senso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_il_sesto_senso_41.6705_13.2555.json,custom
41.655817,13.248913,ov_bar_station_41.6558_13.2489,Bar Station,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_station_41.6558_13.2489.json,custom
41.664748,13.232153,ov_bar_cocco_davide_41.6647_13.2322,Bar Cocco Davide,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_cocco_davide_41.6647_13.2322.json,custom
41.695612,13.235258,ov_happy_bar_41.6956_13.2353,Happy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/happy_bar_41.6956_13.2353.json,custom
41.695306,13.237309,ov_bentley_pub_41.6953_13.2373,Bentley Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bentley_pub_41.6953_13.2373.json,custom
41.696550,13.238770,ov_bar_caffetteria_al_poker_41.6966_13.2388,Bar Caffetteria Al Poker,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_caffetteria_al_poker_41.6966_13.2388.json,custom
41.692363,13.241687,ov_fashion_cafe_41.6924_13.2417,Fashion Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/fashion_cafe_41.6924_13.2417.json,custom
41.690942,13.251187,ov_pizzeria_teresa_41.6909_13.2512,Pizzeria Teresa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pizzeria_teresa_41.6909_13.2512.json,custom
41.693370,13.250050,ov_bar_casilina___ferentino_41.6934_13.2500,BAR Casilina - Ferentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_casilina_-_ferentino_41.6934_13.2500.json,custom
41.693450,13.249900,ov_cantine_mida_41.6934_13.2499,Cantine Mida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/cantine_mida_41.6934_13.2499.json,custom
41.692016,13.250328,ov_bar_di_marco_41.6920_13.2503,Bar Di Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_di_marco_41.6920_13.2503.json,custom
41.692202,13.254780,ov_pix_41.6922_13.2548,PIX,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/pix_41.6922_13.2548.json,custom
41.692360,13.253684,ov_caff__matteotti_41.6924_13.2537,Caffè Matteotti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/caff_matteotti_41.6924_13.2537.json,custom
41.693037,13.252866,ov_vila_clube_41.6930_13.2529,Vila Clube,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/vila_clube_41.6930_13.2529.json,custom
41.693377,13.253902,ov_baricentro_41.6934_13.2539,Baricentro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/baricentro_41.6934_13.2539.json,custom
41.689840,13.252600,ov_caff__shop_ferentino_41.6898_13.2526,Caffè Shop Ferentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/caff_shop_ferentino_41.6898_13.2526.json,custom
41.689690,13.253060,ov_lady_bar___coffee_shop_41.6897_13.2531,Lady Bar - Coffee Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/lady_bar_-_coffee_shop_41.6897_13.2531.json,custom
41.689200,13.254990,ov_sandy_bar___ferentino_41.6892_13.2550,Sandy Bar - Ferentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/sandy_bar_-_ferentino_41.6892_13.2550.json,custom
41.696779,13.257903,ov_bar_giorgi_41.6968_13.2579,Bar Giorgi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_giorgi_41.6968_13.2579.json,custom
41.695430,13.256399,ov_bar_dei_gelsi_41.6954_13.2564,Bar Dei Gelsi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_dei_gelsi_41.6954_13.2564.json,custom
41.694757,13.255555,ov_jigen_s_smoke_41.6948_13.2556,Jigen's Smoke,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/jigens_smoke_41.6948_13.2556.json,custom
41.694170,13.253831,ov_caff__dell_arco_41.6942_13.2538,Caffè dell Arco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/caff_dell_arco_41.6942_13.2538.json,custom
41.694300,13.249510,ov_bentley_first_41.6943_13.2495,Bentley First,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bentley_first_41.6943_13.2495.json,custom
41.709801,13.218755,ov_bar_romano_41.7098_13.2188,Bar Romano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/bar_romano_41.7098_13.2188.json,custom
41.715145,13.207082,ov_the_bentley_first_irish_pub_41.7151_13.2071,The Bentley First Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/the_bentley_first_irish_pub_41.7151_13.2071.json,custom
41.648060,13.254790,ov_la_fonte_caff____ferentino_41.6481_13.2548,La Fonte Caffè - Ferentino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/la_fonte_caff_-_ferentino_41.6481_13.2548.json,custom
41.622511,13.385306,ov_gran_caffe_biberon_srl_41.6225_13.3853,Gran Caffe Biberon Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/gran_caffe_biberon_srl_41.6225_13.3853.json,custom
41.691768,13.251104,osm_la_locanda_del_birraio_41.6918_13.2511,La Locanda del Birraio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/la_locanda_del_birraio_41.6918_13.2511.json,custom
41.684980,13.269725,ov_di_pinto_academy_41.6850_13.2697,Di Pinto Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/di_pinto_academy_41.6850_13.2697.json,custom
41.688930,13.261480,ov_antares_ferentino_41.6889_13.2615,Antares Ferentino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/antares_ferentino_41.6889_13.2615.json,custom
41.683494,13.252245,ov_il_tempio_del_benessere_41.6835_13.2522,Il Tempio Del Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/il_tempio_del_benessere_41.6835_13.2522.json,custom
41.666447,13.202605,ov_poligono_di_tiro_accademia_legio_silent_41.6664_13.2026,Poligono di Tiro Accademia Legio Silent,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/poligono_di_tiro_accademia_legio_silent_41.6664_13.2026.json,custom
41.698080,13.238121,ov_palazzetto_dello_sport_41.6981_13.2381,Palazzetto dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/palazzetto_dello_sport_41.6981_13.2381.json,custom
41.698078,13.238457,ov_palasport_ponte_grande_41.6981_13.2385,Palasport Ponte Grande,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/palasport_ponte_grande_41.6981_13.2385.json,custom
41.696550,13.238770,ov_my_best_self_coaching___personal_trainin_41.6966_13.2388,My Best Self Coaching & Personal Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/my_best_self_coaching_personal_training_41.6966_13.2388.json,custom
41.695001,13.245698,ov_laura_ciccone_ssd_backstage_41.6950_13.2457,Laura Ciccone SSD Backstage,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/laura_ciccone_ssd_backstage_41.6950_13.2457.json,custom
41.692573,13.251405,ov_iron_kingdom_studio_fitness_41.6926_13.2514,Iron Kingdom Studio Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/iron_kingdom_studio_fitness_41.6926_13.2514.json,custom
41.692552,13.250891,ov_perfili_golf_indoor_41.6926_13.2509,Perfili Golf Indoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/perfili_golf_indoor_41.6926_13.2509.json,custom
41.690594,13.254511,ov_ps_training_center_41.6906_13.2545,PS Training Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/ps_training_center_41.6906_13.2545.json,custom
41.689280,13.254950,ov_centro_sportivo_la_torre_41.6893_13.2549,Centro Sportivo La Torre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/centro_sportivo_la_torre_41.6893_13.2549.json,custom
41.690851,13.260742,ov_palestra_i_t_i_s_41.6909_13.2607,Palestra I.T.I.S,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/palestra_itis_41.6909_13.2607.json,custom
41.694540,13.249460,ov_riding_club_le_terme_41.6945_13.2495,Riding Club Le Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/riding_club_le_terme_41.6945_13.2495.json,custom
41.698399,13.226210,ov_acsd___aps_veering_gym_41.6984_13.2262,Acsd - Aps Veering Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/acsd_-_aps_veering_gym_41.6984_13.2262.json,custom
41.704880,13.225893,ov_calcetto_pele_41.7049_13.2259,Calcetto Pele,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/calcetto_pele_41.7049_13.2259.json,custom
41.693145,13.255867,ov_museo_diocesano_ferentino_41.6931_13.2559,Museo Diocesano Ferentino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/museo_diocesano_ferentino_41.6931_13.2559.json,custom
41.686713,13.266899,osm_poste_italiane___ferentino_stazione_41.6867_13.2669,Poste Italiane – Ferentino stazione,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/poste_italiane_ferentino_stazione_41.6867_13.2669.json,custom
41.692078,13.253975,ov_archivio_e_biblioteca_diocesani_di_frosi_41.6921_13.2540,Archivio e Biblioteca Diocesani di Frosinone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ferentino/pages/archivio_e_biblioteca_diocesani_di_frosi_41.6921_13.2540.json,custom
