# lat,lng,id,name,building_type,type,url,page_type
# Roccapiemonte -- Tutti
40.765157,14.692981,ov_clinica_villa_montesano_40.7652_14.6930,Clinica Villa Montesano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/clinica_villa_montesano_40.7652_14.6930.json,custom
40.763218,14.691854,ov_ristorante_da_carlo_40.7632_14.6919,Ristorante Da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/ristorante_da_carlo_40.7632_14.6919.json,custom
40.762744,14.692196,ov_pizzeria_villano_40.7627_14.6922,Pizzeria Villano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeria_villano_40.7627_14.6922.json,custom
40.762617,14.692153,ov_drunk_sheep___beer_bread_burger_40.7626_14.6922,Drunk Sheep - Beer Bread Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/drunk_sheep_-_beer_bread_burger_40.7626_14.6922.json,custom
40.761626,14.694374,ov_wrapup_40.7616_14.6944,Wrapup,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/wrapup_40.7616_14.6944.json,custom
40.758570,14.692196,ov_add__gabriele_2_9_40.7586_14.6922,Addó Gabriele 2.9,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/add_gabriele_29_40.7586_14.6922.json,custom
40.758036,14.691792,ov_giallo_pasta_40.7580_14.6918,Giallo Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/giallo_pasta_40.7580_14.6918.json,custom
40.757995,14.691473,ov_antica_ricetta_40.7580_14.6915,Antica Ricetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/antica_ricetta_40.7580_14.6915.json,custom
40.757977,14.691547,ov_mario_s_pizza_roccapiemonte_40.7580_14.6915,Mario's Pizza Roccapiemonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/marios_pizza_roccapiemonte_40.7580_14.6915.json,custom
40.753943,14.688709,ov_pizzeria_da_tonino_40.7539_14.6887,Pizzeria da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/pizzeria_da_tonino_40.7539_14.6887.json,custom
40.753690,14.688620,ov_nonno_alberto_ristorante___braceria_40.7537_14.6886,Nonno Alberto ristorante & braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/nonno_alberto_ristorante_braceria_40.7537_14.6886.json,custom
40.762423,14.683271,ov_happyness_caffe_40.7624_14.6833,Happyness Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/happyness_caffe_40.7624_14.6833.json,custom
40.762803,14.682636,ov_loungebar_dueacaf__40.7628_14.6826,Loungebar Dueacafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/loungebar_dueacaf_40.7628_14.6826.json,custom
40.766145,14.673924,ov_lady_zeppola_40.7661_14.6739,Lady Zeppola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/lady_zeppola_40.7661_14.6739.json,custom
40.765860,14.674632,ov_bar_polichetti_40.7659_14.6746,Bar Polichetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_polichetti_40.7659_14.6746.json,custom
40.764789,14.677767,ov_locanda_major_stanleybet_pub_40.7648_14.6778,Locanda Major Stanleybet Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/locanda_major_stanleybet_pub_40.7648_14.6778.json,custom
40.763860,14.696464,ov_bar_colosseo_40.7639_14.6965,Bar Colosseo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_colosseo_40.7639_14.6965.json,custom
40.762264,14.692426,ov_piazza_zanardelli_40.7623_14.6924,Piazza Zanardelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/piazza_zanardelli_40.7623_14.6924.json,custom
40.762665,14.692451,ov_antico_caff__40.7627_14.6925,Antico Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/antico_caff_40.7627_14.6925.json,custom
40.763707,14.694204,ov_la_marisella_40.7637_14.6942,La Marisella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/la_marisella_40.7637_14.6942.json,custom
40.762649,14.692192,ov_caffe_della_piazza_40.7626_14.6922,Caffe della Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/caffe_della_piazza_40.7626_14.6922.json,custom
40.760343,14.688802,ov_bar_incontro_40.7603_14.6888,Bar Incontro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_incontro_40.7603_14.6888.json,custom
40.758621,14.692296,ov_bar_ponte_40.7586_14.6923,Bar Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_ponte_40.7586_14.6923.json,custom
40.757092,14.691349,ov_bar_pasticceria_dari_sweet_handmade_40.7571_14.6913,Bar Pasticceria Dari Sweet Handmade,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_pasticceria_dari_sweet_handmade_40.7571_14.6913.json,custom
40.756241,14.690561,ov_bar_pasticceria_ideal_40.7562_14.6906,Bar Pasticceria Ideal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/bar_pasticceria_ideal_40.7562_14.6906.json,custom
40.755010,14.689620,ov_maturo_caf__40.7550_14.6896,Maturo Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/maturo_caf_40.7550_14.6896.json,custom
40.762366,14.683378,ov_grimaldiness_40.7624_14.6834,Grimaldiness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/grimaldiness_40.7624_14.6834.json,custom
40.763780,14.697081,ov_new_evolution_fighters_40.7638_14.6971,New Evolution Fighters,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/new_evolution_fighters_40.7638_14.6971.json,custom
40.763971,14.693057,ov_new_atlas_40.7640_14.6931,New Atlas,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/new_atlas_40.7640_14.6931.json,custom
40.759693,14.690695,ov_evolution_fighters_roccapiemonte_corso_m_40.7597_14.6907,Evolution Fighters Roccapiemonte Corso Mario Pagano 89,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/evolution_fighters_roccapiemonte_corso_m_40.7597_14.6907.json,custom
40.761880,14.694120,ov_museo_dell_occhiale_salerno_40.7619_14.6941,Museo dell'Occhiale Salerno,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/roccapiemonte/pages/museo_dellocchiale_salerno_40.7619_14.6941.json,custom
