# lat,lng,id,name,building_type,type,url,page_type
# santa_margherita_ligure -- Tutti
44.332920,9.213639,ov_levante_44.3329_9.2136,Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/levante_44.3329_9.2136.json,custom
44.333136,9.213081,ov_ristorante_pizzeria_da_gennaro_44.3331_9.2131,Ristorante Pizzeria Da Gennaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_pizzeria_da_gennaro_44.3331_9.2131.json,custom
44.333320,9.212973,ov_hoshy_sushi_lab_44.3333_9.2130,Hoshy Sushi Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/hoshy_sushi_lab_44.3333_9.2130.json,custom
44.333414,9.212951,ov_master_ristorante_american_bar_44.3334_9.2130,Master Ristorante American Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/master_ristorante_american_bar_44.3334_9.2130.json,custom
44.331379,9.212803,ov_ristorante_trattoria_la_cambusa_44.3314_9.2128,Ristorante Trattoria La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_trattoria_la_cambusa_44.3314_9.2128.json,custom
44.331832,9.210175,ov_the_coffee_house___villa_durazzo_44.3318_9.2102,The Coffee House - Villa Durazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/the_coffee_house_-_villa_durazzo_44.3318_9.2102.json,custom
44.331923,9.213675,ov_ristorante_da_alfredo_44.3319_9.2137,Ristorante Da Alfredo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_da_alfredo_44.3319_9.2137.json,custom
44.331729,9.213241,ov_ristorante_casanova___santa_margherita_l_44.3317_9.2132,Ristorante Casanova - Santa Margherita Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_casanova_-_santa_margherita_l_44.3317_9.2132.json,custom
44.327902,9.215061,ov_ristorante_vistamare_44.3279_9.2151,Ristorante Vistamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_vistamare_44.3279_9.2151.json,custom
44.327852,9.215094,ov_portofino_44.3279_9.2151,Portofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/portofino_44.3279_9.2151.json,custom
44.329106,9.215464,ov_a_riccione_santa_margherita_44.3291_9.2155,A'Riccione Santa Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ariccione_santa_margherita_44.3291_9.2155.json,custom
44.329130,9.214868,ov_skipper_44.3291_9.2149,Skipper,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/skipper_44.3291_9.2149.json,custom
44.329169,9.214924,ov_l_altro_eden_44.3292_9.2149,L'Altro Eden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/laltro_eden_44.3292_9.2149.json,custom
44.329196,9.215015,ov_osteria_pandenus_santa_margherita_ligure_44.3292_9.2150,Osteria Pandenus Santa Margherita Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/osteria_pandenus_santa_margherita_ligure_44.3292_9.2150.json,custom
44.329248,9.215486,ov_al_mare_ristorante_44.3292_9.2155,Al Mare Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/al_mare_ristorante_44.3292_9.2155.json,custom
44.329433,9.215440,ov_santa_marina_yachts_44.3294_9.2154,Santa Marina Yachts,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/santa_marina_yachts_44.3294_9.2154.json,custom
44.329420,9.212453,ov_zi_ninella_ristorante_gourmet_44.3294_9.2125,Zi Ninella Ristorante Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/zi_ninella_ristorante_gourmet_44.3294_9.2125.json,custom
44.329345,9.213652,ov_ristorante_pado_44.3293_9.2137,Ristorante Pado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_pado_44.3293_9.2137.json,custom
44.329224,9.213700,ov_yacht_bar_44.3292_9.2137,Yacht Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/yacht_bar_44.3292_9.2137.json,custom
44.329022,9.213893,ov_la_paranza_da_marina_44.3290_9.2139,La Paranza da Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/la_paranza_da_marina_44.3290_9.2139.json,custom
44.329123,9.213265,ov_osteria_n_7_44.3291_9.2133,Osteria N 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/osteria_n_7_44.3291_9.2133.json,custom
44.329245,9.212070,ov_ristorante_il_faro_44.3292_9.2121,Ristorante Il Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_il_faro_44.3292_9.2121.json,custom
44.329671,9.212214,ov_la_cesarina_44.3297_9.2122,La Cesarina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/la_cesarina_44.3297_9.2122.json,custom
44.330263,9.212316,ov_da___battj_44.3303_9.2123,Da ö Battj,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/da_battj_44.3303_9.2123.json,custom
44.329970,9.212778,ov_trattoria_dei_pescatori_44.3300_9.2128,Trattoria dei Pescatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/trattoria_dei_pescatori_44.3300_9.2128.json,custom
44.329680,9.216090,ov_event_beach_la_vida_y_el_gusto_44.3297_9.2161,Event Beach La Vida Y El Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/event_beach_la_vida_y_el_gusto_44.3297_9.2161.json,custom
44.330377,9.212574,ov_ristorante_beppe_achilli_44.3304_9.2126,Ristorante Beppe Achilli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santa_margherita_ligure/pages/ristorante_beppe_achilli_44.3304_9.2126.json,custom
