# lat,lng,id,name,building_type,type,url,page_type
# follonica -- Tutti
42.645403,12.464738,ov_biblioteca_comunale_di_greve_in_chianti__42.6454_12.4647,Biblioteca Comunale di Greve in Chianti Carlo e Massimo Bald,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/biblioteca_comunale_di_greve_in_chianti__42.6454_12.4647.json,custom
42.918530,10.763960,ov_il_grappolo_vini_42.9185_10.7640,Il Grappolo Vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_grappolo_vini_42.9185_10.7640.json,custom
42.918635,10.761955,ov_pizzeria_senzuno_42.9186_10.7620,Pizzeria Senzuno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_senzuno_42.9186_10.7620.json,custom
42.918877,10.761340,ov_fast_food_senz1_42.9189_10.7613,Fast Food Senz1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/fast_food_senz1_42.9189_10.7613.json,custom
42.918803,10.761525,ov_freestyle_food_42.9188_10.7615,FreeStyle Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/freestyle_food_42.9188_10.7615.json,custom
42.919128,10.762419,ov_massimo_pesca_e_gioia_frigge_42.9191_10.7624,Massimo Pesca e Gioia Frigge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/massimo_pesca_e_gioia_frigge_42.9191_10.7624.json,custom
42.919282,10.759781,ov_maso_ristorante_42.9193_10.7598,Maso Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/maso_ristorante_42.9193_10.7598.json,custom
42.919901,10.757152,ov_l_arca_42.9199_10.7572,L'Arca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/larca_42.9199_10.7572.json,custom
42.919902,10.757824,ov_ristorante_cinese_oriente_42.9199_10.7578,Ristorante Cinese Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_cinese_oriente_42.9199_10.7578.json,custom
42.920704,10.759691,ov_kisoro_sushi_42.9207_10.7597,Kisoro Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/kisoro_sushi_42.9207_10.7597.json,custom
42.920240,10.757356,ov_aloha_pizza___restaurant_42.9202_10.7574,Aloha Pizza & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/aloha_pizza_restaurant_42.9202_10.7574.json,custom
42.920238,10.757431,ov_il_gattopardo___follonica_42.9202_10.7574,Il Gattopardo - Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_gattopardo_-_follonica_42.9202_10.7574.json,custom
42.921009,10.755827,ov_ristorante_pizzeria_la_locanda_dei_caval_42.9210_10.7558,Ristorante Pizzeria La Locanda dei Cavalieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_pizzeria_la_locanda_dei_caval_42.9210_10.7558.json,custom
42.921450,10.759295,ov_yankees_42.9214_10.7593,Yankees,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/yankees_42.9214_10.7593.json,custom
42.921017,10.757390,ov_green_and_go_42.9210_10.7574,Green and Go,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/green_and_go_42.9210_10.7574.json,custom
42.921016,10.756918,ov_istanbul_kebab_house_42.9210_10.7569,Istanbul Kebab House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/istanbul_kebab_house_42.9210_10.7569.json,custom
42.920954,10.757060,ov_pizzeria_f_lli_ballerini_42.9210_10.7571,Pizzeria F.lli Ballerini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_flli_ballerini_42.9210_10.7571.json,custom
42.920927,10.760208,ov_ristorante_pizzeria_le_due_isole_folloni_42.9209_10.7602,Ristorante Pizzeria Le Due Isole Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_pizzeria_le_due_isole_folloni_42.9209_10.7602.json,custom
42.921530,10.759529,ov_john_bistecchino_42.9215_10.7595,John Bistecchino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/john_bistecchino_42.9215_10.7595.json,custom
42.921805,10.759518,ov_bottega_cirimangio_42.9218_10.7595,Bottega Cirimangio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/bottega_cirimangio_42.9218_10.7595.json,custom
42.922224,10.757623,ov_antica_hostaria_trattorie_martini_42.9222_10.7576,Antica Hostaria Trattorie Martini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/antica_hostaria_trattorie_martini_42.9222_10.7576.json,custom
42.922195,10.757165,ov_ristorante_trattoria_il_mare_42.9222_10.7572,Ristorante Trattoria Il Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_trattoria_il_mare_42.9222_10.7572.json,custom
42.922122,10.757112,ov_john_tartarino_42.9221_10.7571,John Tartarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/john_tartarino_42.9221_10.7571.json,custom
42.921820,10.758388,ov_doga_bistrot_42.9218_10.7584,DOGA Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/doga_bistrot_42.9218_10.7584.json,custom
42.921790,10.756998,ov_limonaia_pizzeria_e_trattoria_toscana_42.9218_10.7570,Limonaia Pizzeria e Trattoria Toscana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/limonaia_pizzeria_e_trattoria_toscana_42.9218_10.7570.json,custom
42.921760,10.757580,ov_pizzeria_pepe_nero_42.9218_10.7576,Pizzeria Pepe Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_pepe_nero_42.9218_10.7576.json,custom
42.921813,10.757739,ov_rifrullo_pizza_42.9218_10.7577,Rifrullo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/rifrullo_pizza_42.9218_10.7577.json,custom
42.921884,10.757328,ov_unico___trattoria_urbana_42.9219_10.7573,UNICO - Trattoria urbana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/unico_-_trattoria_urbana_42.9219_10.7573.json,custom
42.921831,10.754849,ov_rotta_vera_42__42.9218_10.7548,Rotta Vera 42°,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/rotta_vera_42_42.9218_10.7548.json,custom
42.921916,10.755216,ov_il_sottomarino_42.9219_10.7552,Il Sottomarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_sottomarino_42.9219_10.7552.json,custom
42.921918,10.754977,ov_anima___core_42.9219_10.7550,Anima & Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/anima_core_42.9219_10.7550.json,custom
42.921918,10.754976,ov_macondo_sensory_experience_42.9219_10.7550,Macondo sensory experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/macondo_sensory_experience_42.9219_10.7550.json,custom
42.921928,10.754660,ov_ardiccioni_mare_42.9219_10.7547,Ardiccioni Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ardiccioni_mare_42.9219_10.7547.json,custom
42.922007,10.754787,ov_salvia_e_rosmarino_42.9220_10.7548,Salvia e Rosmarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/salvia_e_rosmarino_42.9220_10.7548.json,custom
42.922221,10.754931,ov_anima_fvsion_42.9222_10.7549,Anima Fvsion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/anima_fvsion_42.9222_10.7549.json,custom
42.923220,10.751949,ov_ristorante_la_baracca_42.9232_10.7519,Ristorante La Baracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_la_baracca_42.9232_10.7519.json,custom
42.922662,10.753116,ov_pizzeria_da_mario_42.9227_10.7531,Pizzeria Da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_da_mario_42.9227_10.7531.json,custom
42.922796,10.752999,ov_vesuvio_42.9228_10.7530,Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/vesuvio_42.9228_10.7530.json,custom
42.922449,10.753929,ov_ristorantino_l_ombra_42.9224_10.7539,Ristorantino L'Ombra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorantino_lombra_42.9224_10.7539.json,custom
42.922466,10.754013,ov_il_filibustiere___follonica__la_terrazza_42.9225_10.7540,Il Filibustiere - Follonica (La Terrazza),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_filibustiere_-_follonica_la_terrazza_42.9225_10.7540.json,custom
42.922364,10.754017,ov_osteria_del_mare_follonica_42.9224_10.7540,Osteria del mare Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/osteria_del_mare_follonica_42.9224_10.7540.json,custom
42.922668,10.755433,ov_dal__59_42.9227_10.7554,Dal ‘59,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/dal_59_42.9227_10.7554.json,custom
42.922739,10.755625,ov_il_caribia_2_42.9227_10.7556,Il Caribia 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_caribia_2_42.9227_10.7556.json,custom
42.922900,10.757051,ov_osteria23_42.9229_10.7571,osteria23,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/osteria23_42.9229_10.7571.json,custom
42.922941,10.758343,ov_da_santarino_42.9229_10.7583,Da Santarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/da_santarino_42.9229_10.7583.json,custom
42.922452,10.758665,ov_moma_42.9225_10.7587,Moma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/moma_42.9225_10.7587.json,custom
42.922579,10.758644,ov_ristorante_lo_scarrozzo_42.9226_10.7586,Ristorante Lo Scarrozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_lo_scarrozzo_42.9226_10.7586.json,custom
42.922480,10.756969,ov_la_bruschetteria_42.9225_10.7570,La Bruschetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_bruschetteria_42.9225_10.7570.json,custom
42.922725,10.759436,ov_pizzeria_il_semaforo_42.9227_10.7594,Pizzeria Il Semaforo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_il_semaforo_42.9227_10.7594.json,custom
42.923288,10.759965,ov_soulfuric_store_42.9233_10.7600,Soulfuric store,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/soulfuric_store_42.9233_10.7600.json,custom
42.923662,10.758138,ov_la_perla_del_golfo_42.9237_10.7581,La Perla del Golfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_perla_del_golfo_42.9237_10.7581.json,custom
42.923394,10.758517,ov_da_cuore_42.9234_10.7585,Da Cuore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/da_cuore_42.9234_10.7585.json,custom
42.923322,10.754442,ov_giangusto_42.9233_10.7544,GianGusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/giangusto_42.9233_10.7544.json,custom
42.923981,10.757938,ov_marrini_osteria_enogastronomica_42.9240_10.7579,Marrini Osteria EnoGastronomica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/marrini_osteria_enogastronomica_42.9240_10.7579.json,custom
42.923917,10.759630,ov_osteria_il_trabaccolo_42.9239_10.7596,Osteria il Trabaccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/osteria_il_trabaccolo_42.9239_10.7596.json,custom
42.923979,10.762015,ov_following_42.9240_10.7620,Following,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/following_42.9240_10.7620.json,custom
42.924960,10.764022,ov_da_gastone_42.9250_10.7640,Da Gastone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/da_gastone_42.9250_10.7640.json,custom
42.924547,10.756080,ov_la_tavernetta_42.9245_10.7561,La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_tavernetta_42.9245_10.7561.json,custom
42.924889,10.755953,ov_pizzeria_oasi_in_citta_42.9249_10.7560,Pizzeria Oasi in Citta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_oasi_in_citta_42.9249_10.7560.json,custom
42.924757,10.752733,ov_bar_pizzeria_e_spaghetteria_il_pino_42.9248_10.7527,Bar Pizzeria e Spaghetteria il Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/bar_pizzeria_e_spaghetteria_il_pino_42.9248_10.7527.json,custom
42.923881,10.752211,ov_pista_dei_pini_42.9239_10.7522,Pista dei Pini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pista_dei_pini_42.9239_10.7522.json,custom
42.923988,10.750893,ov_friggimi______sapori_di_mare_42.9240_10.7509,Friggimi'®️ | Sapori di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/friggimi_sapori_di_mare_42.9240_10.7509.json,custom
42.923942,10.750981,ov_rifrullo_summer_42.9239_10.7510,Rifrullo Summer,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/rifrullo_summer_42.9239_10.7510.json,custom
42.923854,10.751239,ov_zenzero_fusion_follonica_42.9239_10.7512,Zenzero Fusion Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/zenzero_fusion_follonica_42.9239_10.7512.json,custom
42.924031,10.750946,ov_le_terrazze_ristorante_pizzeria_cocktail_42.9240_10.7509,Le Terrazze ristorante-pizzeria-cocktail bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/le_terrazze_ristorante-pizzeria-cocktail_42.9240_10.7509.json,custom
42.924920,10.748860,ov_deh_gustibus_follonica_42.9249_10.7489,Deh Gustibus Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/deh_gustibus_follonica_42.9249_10.7489.json,custom
42.925324,10.747942,ov_crudo_divino_42.9253_10.7479,Crudo Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/crudo_divino_42.9253_10.7479.json,custom
42.926025,10.748578,ov_sbocciodromo_42.9260_10.7486,Sbocciodromo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/sbocciodromo_42.9260_10.7486.json,custom
42.926314,10.750979,ov_spuntino___pane___schiaccia___vino_42.9263_10.7510,SPUNTINO - Pane · Schiaccia · Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/spuntino_-_pane_schiaccia_vino_42.9263_10.7510.json,custom
42.926324,10.750930,ov_pinseria_etrusca_42.9263_10.7509,Pinseria Etrusca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pinseria_etrusca_42.9263_10.7509.json,custom
42.926084,10.751888,ov_pizzeria_popeye_42.9261_10.7519,Pizzeria Popeye,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_popeye_42.9261_10.7519.json,custom
42.925582,10.753821,ov_atuttapansa_42.9256_10.7538,Atuttapansa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/atuttapansa_42.9256_10.7538.json,custom
42.925237,10.755088,ov_poke_fitmeal_42.9252_10.7551,Poke Fitmeal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/poke_fitmeal_42.9252_10.7551.json,custom
42.925105,10.754988,ov_la_lanterna_42.9251_10.7550,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_lanterna_42.9251_10.7550.json,custom
42.925679,10.755212,ov_pasticceria_pecchia_follonica_42.9257_10.7552,Pasticceria Pecchia Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pasticceria_pecchia_follonica_42.9257_10.7552.json,custom
42.926070,10.756406,ov_gran_caff__della_stazione_42.9261_10.7564,Gran Caffè della Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/gran_caff_della_stazione_42.9261_10.7564.json,custom
42.925848,10.755511,ov_pizzeria_la_stazione_42.9258_10.7555,Pizzeria La Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_la_stazione_42.9258_10.7555.json,custom
42.926455,10.754449,ov_officina_gastronomica_42.9265_10.7544,Officina Gastronomica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/officina_gastronomica_42.9265_10.7544.json,custom
42.926764,10.749873,ov_rosticceria_da_torello_42.9268_10.7499,Rosticceria Da Torello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/rosticceria_da_torello_42.9268_10.7499.json,custom
42.927084,10.748411,ov_pino_pizza_42.9271_10.7484,Pino pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pino_pizza_42.9271_10.7484.json,custom
42.927142,10.748138,ov_il_beccofino_42.9271_10.7481,Il Beccofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/il_beccofino_42.9271_10.7481.json,custom
42.926802,10.746235,ov_la_taverna_di_pulcinella_42.9268_10.7462,La Taverna di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/la_taverna_di_pulcinella_42.9268_10.7462.json,custom
42.926770,10.745320,ov_casa_mia_ristorante_42.9268_10.7453,Casa Mia Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/casa_mia_ristorante_42.9268_10.7453.json,custom
42.926713,10.745296,ov_ultima_spiaggia_42.9267_10.7453,Ultima Spiaggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ultima_spiaggia_42.9267_10.7453.json,custom
42.927280,10.745805,ov_sagre_pallavolo_follonica_42.9273_10.7458,Sagre Pallavolo Follonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/sagre_pallavolo_follonica_42.9273_10.7458.json,custom
42.927282,10.746919,ov_follonica_litoranea_42.9273_10.7469,FOLLONICA LITORANEA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/follonica_litoranea_42.9273_10.7469.json,custom
42.927453,10.747760,ov_winner_s_gallery_42.9275_10.7478,Winner's Gallery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/winners_gallery_42.9275_10.7478.json,custom
42.927524,10.746134,ov_pizzeria_aio_42.9275_10.7461,Pizzeria Aio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_aio_42.9275_10.7461.json,custom
42.928671,10.752799,ov_pizzeria_la_167_42.9287_10.7528,Pizzeria La 167,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzeria_la_167_42.9287_10.7528.json,custom
42.930656,10.735276,ov_pizzosta_42.9307_10.7353,Pizzosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/pizzosta_42.9307_10.7353.json,custom
42.930650,10.734869,ov_mamma_mia_42.9306_10.7349,Mamma Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/mamma_mia_42.9306_10.7349.json,custom
42.930260,10.736009,ov_ristorante_oasi_42.9303_10.7360,Ristorante Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_oasi_42.9303_10.7360.json,custom
42.929625,10.738477,ov_lanternina_dal_1967_42.9296_10.7385,Lanternina dal 1967,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/lanternina_dal_1967_42.9296_10.7385.json,custom
42.929651,10.738445,ov_ristorante_pizzeria_lanternina_42.9297_10.7384,Ristorante Pizzeria Lanternina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/ristorante_pizzeria_lanternina_42.9297_10.7384.json,custom
42.928330,10.741981,ov_deh_gustibus_42.9283_10.7420,Deh Gustibus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/follonica/pages/deh_gustibus_42.9283_10.7420.json,custom
