# lat,lng,id,name,building_type,type,url,page_type
# Corbetta -- Tutti
45.474370,8.919190,ov_body_academy_45.4744_8.9192,Body academy,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/body_academy_45.4744_8.9192.json,custom
45.467659,8.913314,ov_ristorante_pizzeria_santo_stefano_2_45.4677_8.9133,Ristorante Pizzeria Santo Stefano 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ristorante_pizzeria_santo_stefano_2_45.4677_8.9133.json,custom
45.467764,8.919883,ov_croce_di_malta_45.4678_8.9199,Croce di Malta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/croce_di_malta_45.4678_8.9199.json,custom
45.468161,8.919228,ov_il_cacciatore_45.4682_8.9192,Il Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/il_cacciatore_45.4682_8.9192.json,custom
45.467874,8.919894,ov_pizzeria_santa_maria_45.4679_8.9199,Pizzeria Santa Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pizzeria_santa_maria_45.4679_8.9199.json,custom
45.468210,8.921630,ov_villa_massari_45.4682_8.9216,Villa Massari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/villa_massari_45.4682_8.9216.json,custom
45.467640,8.921478,ov_bistrot_bar_ristorante_corbetta_45.4676_8.9215,Bistrot Bar Ristorante Corbetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/bistrot_bar_ristorante_corbetta_45.4676_8.9215.json,custom
45.468251,8.917591,ov_camelia_pizzeria_contemporanea_45.4683_8.9176,Camelia Pizzeria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/camelia_pizzeria_contemporanea_45.4683_8.9176.json,custom
45.468308,8.917649,ov_isola_del_sapore_45.4683_8.9176,Isola del sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/isola_del_sapore_45.4683_8.9176.json,custom
45.465494,8.919815,ov_osteria_din_don_dan_45.4655_8.9198,Osteria Din Don Dan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/osteria_din_don_dan_45.4655_8.9198.json,custom
45.466652,8.919396,ov_sherbet_ristorante_45.4667_8.9194,Sherbet ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/sherbet_ristorante_45.4667_8.9194.json,custom
45.466987,8.911110,ov_angolo_7b_45.4670_8.9111,Angolo 7B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/angolo_7b_45.4670_8.9111.json,custom
45.463300,8.910980,ov_e20_45.4633_8.9110,E20,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/e20_45.4633_8.9110.json,custom
45.460798,8.918218,ov_il_cortile_di_gabry_45.4608_8.9182,Il Cortile di Gabry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/il_cortile_di_gabry_45.4608_8.9182.json,custom
45.459477,8.939224,ov_piccolo_mondo_antico_45.4595_8.9392,Piccolo Mondo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/piccolo_mondo_antico_45.4595_8.9392.json,custom
45.453731,8.905098,ov_agriturismo_cascina_conta_45.4537_8.9051,Agriturismo Cascina Conta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/agriturismo_cascina_conta_45.4537_8.9051.json,custom
45.513348,9.305472,ov_autogrill_45.5133_9.3055,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/autogrill_45.5133_9.3055.json,custom
45.462370,8.910785,osm_al_60_45.4624_8.9108,Al 60,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/al_60_45.4624_8.9108.json,custom
45.448557,8.933453,ov_ale_caf__45.4486_8.9335,Ale Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ale_caf_45.4486_8.9335.json,custom
45.447308,8.934832,ov_introini_norma_45.4473_8.9348,Introini Norma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/introini_norma_45.4473_8.9348.json,custom
45.473140,8.936339,ov_birreria_il_porco_45.4731_8.9363,Birreria Il Porco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/birreria_il_porco_45.4731_8.9363.json,custom
45.471233,8.907738,ov_bar_tabacchi_ping_ling_45.4712_8.9077,Bar Tabacchi Ping-Ling,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/bar_tabacchi_ping-ling_45.4712_8.9077.json,custom
45.470707,8.911679,ov_angolo_bar_cafe_45.4707_8.9117,Angolo Bar Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/angolo_bar_cafe_45.4707_8.9117.json,custom
45.470758,8.910260,ov_mundus_tarco_45.4708_8.9103,Mundus Tarco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/mundus_tarco_45.4708_8.9103.json,custom
45.470700,8.910285,ov_icaro_live_bar_45.4707_8.9103,Icaro Live Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/icaro_live_bar_45.4707_8.9103.json,custom
45.469917,8.901248,ov_extra_time_45.4699_8.9012,Extra Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/extra_time_45.4699_8.9012.json,custom
45.468670,8.914659,ov_tiffany_cafe_45.4687_8.9147,Tiffany Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/tiffany_cafe_45.4687_8.9147.json,custom
45.468220,8.912040,ov_al_baretto___corbetta_45.4682_8.9120,Al Baretto - Corbetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/al_baretto_-_corbetta_45.4682_8.9120.json,custom
45.467738,8.920161,ov_caff__del_corso_45.4677_8.9202,Caffè del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/caff_del_corso_45.4677_8.9202.json,custom
45.468031,8.920363,ov_hello_caf__45.4680_8.9204,Hello Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/hello_caf_45.4680_8.9204.json,custom
45.468888,8.923496,ov_kalispera_cafe_45.4689_8.9235,Kalispera Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/kalispera_cafe_45.4689_8.9235.json,custom
45.469213,8.920083,ov_la_tita___bar_colombo_45.4692_8.9201,La Tita - Bar Colombo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/la_tita_-_bar_colombo_45.4692_8.9201.json,custom
45.469335,8.922138,ov_il_chiosco_bar_cafe_45.4693_8.9221,Il Chiosco Bar Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/il_chiosco_bar_cafe_45.4693_8.9221.json,custom
45.469488,8.921535,ov_lounge_bar_flavio_45.4695_8.9215,Lounge Bar Flavio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/lounge_bar_flavio_45.4695_8.9215.json,custom
45.466007,8.922632,ov_van_gogh_45.4660_8.9226,Van Gogh,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/van_gogh_45.4660_8.9226.json,custom
45.467127,8.921667,ov_pasquee_45.4671_8.9217,Pasquee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pasquee_45.4671_8.9217.json,custom
45.466577,8.920411,ov_la_bottega_del_caffe_45.4666_8.9204,La Bottega del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/la_bottega_del_caffe_45.4666_8.9204.json,custom
45.467277,8.920412,ov_pasticceria_gelateria_caffetteria_porrin_45.4673_8.9204,Pasticceria Gelateria Caffetteria Porrino Gian Paolo L'arte ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pasticceria_gelateria_caffetteria_porrin_45.4673_8.9204.json,custom
45.467194,8.911199,ov_bar_marsala_45.4672_8.9112,Bar marsala,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/bar_marsala_45.4672_8.9112.json,custom
45.480803,8.937371,ov_corbetta_park_milano_45.4808_8.9374,Corbetta Park Milano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/corbetta_park_milano_45.4808_8.9374.json,custom
45.476131,8.924052,ov_jo__dance_45.4761_8.9241,Jo' Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/jo_dance_45.4761_8.9241.json,custom
45.474248,8.925514,ov_ondaverde_servizi_srl_45.4742_8.9255,Ondaverde Servizi Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/ondaverde_servizi_srl_45.4742_8.9255.json,custom
45.470578,8.912158,ov_pegaso_atletic_club_45.4706_8.9122,Pegaso Atletic Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/pegaso_atletic_club_45.4706_8.9122.json,custom
45.468160,8.917220,ov_cooperativa_silvabella___sede_di_corbett_45.4682_8.9172,Cooperativa Silvabella - Sede di Corbetta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/cooperativa_silvabella_-_sede_di_corbett_45.4682_8.9172.json,custom
45.469737,8.922748,ov_scuola_di_ballo_vip_dance_45.4697_8.9227,Scuola di Ballo Vip Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/scuola_di_ballo_vip_dance_45.4697_8.9227.json,custom
45.466091,8.918526,ov_centro_yoga_viveka_45.4661_8.9185,Centro Yoga Viveka,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/centro_yoga_viveka_45.4661_8.9185.json,custom
45.466794,8.919512,ov_studio_bio_ben_essere_45.4668_8.9195,Studio Bio Ben Essere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/studio_bio_ben_essere_45.4668_8.9195.json,custom
45.465038,8.916260,ov_palestra_comunale_antonio_balzarotti_45.4650_8.9163,Palestra Comunale Antonio Balzarotti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/palestra_comunale_antonio_balzarotti_45.4650_8.9163.json,custom
45.463622,8.908934,ov_fitfam_sport___conditioning_45.4636_8.9089,Fitfam Sport & Conditioning,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/fitfam_sport_conditioning_45.4636_8.9089.json,custom
45.461921,8.908711,ov_inflame_corbetta_45.4619_8.9087,Inflame Corbetta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/inflame_corbetta_45.4619_8.9087.json,custom
45.461914,8.908625,osm_dynamic_training_lab_45.4619_8.9086,Dynamic Training LAB,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/dynamic_training_lab_45.4619_8.9086.json,custom
45.494122,8.792152,ov_castello_di_corbetta_45.4941_8.7922,Castello di Corbetta,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/castello_di_corbetta_45.4941_8.7922.json,custom
45.466393,8.919389,ov_casa_e_museo_pisani_dossi_45.4664_8.9194,Casa e Museo Pisani Dossi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/casa_e_museo_pisani_dossi_45.4664_8.9194.json,custom
45.468779,8.916460,osm_poste_italiane_45.4688_8.9165,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/poste_italiane_45.4688_8.9165.json,custom
45.469411,8.918813,ov_biblioteca_comunale_45.4694_8.9188,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/corbetta/pages/biblioteca_comunale_45.4694_8.9188.json,custom
