# lat,lng,id,name,building_type,type,url,page_type
# Volta Mantovana -- Tutti
45.319592,10.669111,osm_corte_zuccona_45.3196_10.6691,Corte Zuccona,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/corte_zuccona_45.3196_10.6691.json,custom
45.309085,10.700367,osm_ristorante_al_vecchio_mulino_45.3091_10.7004,Ristorante Al Vecchio Mulino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ristorante_al_vecchio_mulino_45.3091_10.7004.json,custom
45.323378,10.708913,osm_agriturismo_cascina_boschi___ristorante__45.3234_10.7089,Agriturismo Cascina Boschi - Ristorante e Bed & Breakfast,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_cascina_boschi_-_ristorante__45.3234_10.7089.json,custom
45.345122,10.657050,osm_agriturismo_corte_civa_45.3451_10.6570,Agriturismo Corte Civa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_corte_civa_45.3451_10.6570.json,custom
45.316802,10.658607,osm_hotel_ristorante_la_valle_45.3168_10.6586,Hotel Ristorante La Valle,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/hotel_ristorante_la_valle_45.3168_10.6586.json,custom
45.293751,10.717346,osm_la_fontana_45.2938_10.7173,La Fontana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/la_fontana_45.2938_10.7173.json,custom
45.301284,10.712934,osm_da_rita_45.3013_10.7129,Da Rita,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/da_rita_45.3013_10.7129.json,custom
45.297685,10.653794,osm_agriturismo_addis_abeba_45.2977_10.6538,Agriturismo Addis Abeba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_addis_abeba_45.2977_10.6538.json,custom
45.304546,10.656125,osm_agriturismo_c__roma_45.3045_10.6561,Agriturismo Cà Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_c_roma_45.3045_10.6561.json,custom
45.313029,10.649999,osm_agriturismo_corte_aquileia_45.3130_10.6500,Agriturismo Corte Aquileia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/agriturismo_corte_aquileia_45.3130_10.6500.json,custom
45.304211,10.641342,osm_trattoria_al_cervo_45.3042_10.6413,Trattoria Al Cervo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/trattoria_al_cervo_45.3042_10.6413.json,custom
45.309138,10.699529,osm_villa_dei_mulini_45.3091_10.6995,Villa dei Mulini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/villa_dei_mulini_45.3091_10.6995.json,custom
45.345334,10.674696,osm_trattoria_pizzeria__c_era_una_volta_45.3453_10.6747,Trattoria pizzeria  c'era una volta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/trattoria_pizzeria_cera_una_volta_45.3453_10.6747.json,custom
45.340048,10.664642,osm_ristorante_sqola_45.3400_10.6646,Ristorante Sqola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/ristorante_sqola_45.3400_10.6646.json,custom
45.325756,10.658118,osm_la_buca_di_bacco_45.3258_10.6581,La Buca di Bacco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/la_buca_di_bacco_45.3258_10.6581.json,custom
45.311318,10.659452,ov_bar_tabacchi_la_volta_buona_45.3113_10.6595,Bar Tabacchi La Volta Buona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/bar_tabacchi_la_volta_buona_45.3113_10.6595.json,custom
45.315674,10.652795,ov_trendy_bar_45.3157_10.6528,Trendy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/trendy_bar_45.3157_10.6528.json,custom
45.320240,10.658865,ov_enoteca_gonzaga_45.3202_10.6589,Enoteca Gonzaga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/enoteca_gonzaga_45.3202_10.6589.json,custom
45.321068,10.660104,ov_luca_piva_taste_bar_45.3211_10.6601,Luca Piva Taste Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/luca_piva_taste_bar_45.3211_10.6601.json,custom
45.320729,10.660590,ov_latte_rum_45.3207_10.6606,Latte Rum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/latte_rum_45.3207_10.6606.json,custom
45.321993,10.662963,ov_freesco___cocktail___food_45.3220_10.6630,Freesco - Cocktail & Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/freesco_-_cocktail_food_45.3220_10.6630.json,custom
45.323934,10.663931,ov_bar_roma_da_corrado_45.3239_10.6639,Bar Roma Da Corrado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/bar_roma_da_corrado_45.3239_10.6639.json,custom
45.324290,10.657282,ov_chioschetto_dei_giardini_45.3243_10.6573,Chioschetto dei Giardini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/chioschetto_dei_giardini_45.3243_10.6573.json,custom
45.328770,10.653870,ov_eros_cafe_45.3288_10.6539,Eros Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/eros_cafe_45.3288_10.6539.json,custom
45.353412,10.681432,ov_bar_piccard_45.3534_10.6814,Bar Piccard,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/bar_piccard_45.3534_10.6814.json,custom
45.319981,10.667868,ov_pasticceria_caffetteria_bar_l_aurora_45.3200_10.6679,Pasticceria Caffetteria Bar l'Aurora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/pasticceria_caffetteria_bar_laurora_45.3200_10.6679.json,custom
45.318820,10.668260,ov_birrificio_panochi_45.3188_10.6683,Birrificio Panochi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/birrificio_panochi_45.3188_10.6683.json,custom
45.304870,10.680850,ov_il_chiosco_dei_mulini_45.3049_10.6808,Il Chiosco dei Mulini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/il_chiosco_dei_mulini_45.3049_10.6808.json,custom
45.320728,10.660639,osm_latte___rhum_45.3207_10.6606,Latte & Rhum,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/latte_rhum_45.3207_10.6606.json,custom
45.320429,10.660543,osm_caff__cavriani_45.3204_10.6605,Caffè Cavriani,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/caff_cavriani_45.3204_10.6605.json,custom
45.322924,10.660064,osm_l_officina_45.3229_10.6601,L'Officina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/lofficina_45.3229_10.6601.json,custom
45.322549,10.659506,osm_caff__garibaldi_45.3225_10.6595,Caffè Garibaldi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/caff_garibaldi_45.3225_10.6595.json,custom
45.322037,10.659656,osm_plaza_caf__45.3220_10.6597,Plaza Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/plaza_caf_45.3220_10.6597.json,custom
45.320067,10.667618,osm_grifondoro_45.3201_10.6676,Grifondoro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/grifondoro_45.3201_10.6676.json,custom
45.321845,10.658038,osm_bar_commercio_45.3218_10.6580,Bar Commercio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/volta_mantovana/pages/bar_commercio_45.3218_10.6580.json,custom
